inputName,m,n
values_11,2036415812,1003968247
values_19,2036415812,1266832705
values_12,2036415812,851097689
values_38,1358684711,1196083914
values_81,263908254,1003968247
values_5,1363789289,1063558981
values_40,1584900953,1633203706
values_70,2055060600,1633203706
values_23,978246973,1059034896
values_72,2055060600,851097689
values_79,2055060600,1266832705
values_78,2055060600,1196083914
values_87,263908254,2021387862
values_6,1363789289,534633493
values_68,2042764413,1196083914
values_69,2042764413,1266832705
values_1,1363789289,1003968247
values_45,1584900953,1063558981
values_33,1358684711,1059034896
values_15,2036415812,1063558981
values_93,1285299075,1059034896
values_24,978246973,127934292
values_25,978246973,1063558981
values_26,978246973,534633493
values_48,1584900953,1196083914
values_71,2055060600,1003968247
values_76,2055060600,534633493
values_7,1363789289,2021387862
values_50,69741194,1633203706
values_22,978246973,851097689
values_4,1363789289,127934292
values_32,1358684711,851097689
values_77,2055060600,2021387862
values_91,1285299075,1003968247
values_42,1584900953,851097689
values_13,2036415812,1059034896
values_41,1584900953,1003968247
values_55,69741194,1063558981
values_31,1358684711,1003968247
values_66,2042764413,534633493
values_65,2042764413,1063558981
values_62,2042764413,851097689
values_21,978246973,1003968247
values_95,1285299075,1063558981
values_84,263908254,127934292
values_58,69741194,1196083914
values_64,2042764413,127934292
values_83,263908254,1059034896
values_94,1285299075,127934292
values_0,1363789289,1633203706
values_99,1285299075,1266832705
values_96,1285299075,534633493
values_67,2042764413,2021387862
values_61,2042764413,1003968247
values_43,1584900953,1059034896
values_2,1363789289,851097689
values_54,69741194,127934292
values_30,1358684711,1633203706
values_59,69741194,1266832705
values_85,263908254,1063558981
values_74,2055060600,127934292
values_90,1285299075,1633203706
values_18,2036415812,1196083914
values_52,69741194,851097689
values_44,1584900953,127934292
values_17,2036415812,2021387862
values_36,1358684711,534633493
values_49,1584900953,1266832705
values_86,263908254,534633493
values_37,1358684711,2021387862
values_56,69741194,534633493
values_63,2042764413,1059034896
values_35,1358684711,1063558981
values_97,1285299075,2021387862
values_75,2055060600,1063558981
values_57,69741194,2021387862
values_88,263908254,1196083914
values_10,2036415812,1633203706
values_53,69741194,1059034896
values_8,1363789289,1196083914
values_39,1358684711,1266832705
values_47,1584900953,2021387862
values_60,2042764413,1633203706
values_89,263908254,1266832705
values_51,69741194,1003968247
values_14,2036415812,127934292
values_28,978246973,1196083914
values_16,2036415812,534633493
values_34,1358684711,127934292
values_82,263908254,851097689
values_46,1584900953,534633493
values_27,978246973,2021387862
values_20,978246973,1633203706
values_9,1363789289,1266832705
values_92,1285299075,851097689
values_3,1363789289,1059034896
values_98,1285299075,1196083914
values_29,978246973,1266832705
values_80,263908254,1633203706
values_73,2055060600,1059034896
