inputName,size
11,27
19,17
12,13
38,14
81,9
5,24
40,5
70,4
23,32
72,14
79,9
78,16
87,8
6,8
68,14
69,19
1,11
45,29
33,11
15,17
93,10
24,23
25,13
26,21
48,31
71,29
76,23
7,25
50,16
22,5
4,13
32,14
77,2
91,31
42,2
13,8
41,9
55,30
31,18
66,19
65,28
62,13
21,23
95,19
84,16
58,23
64,5
83,9
94,7
0,25
99,12
96,25
67,8
61,28
43,26
2,20
54,12
30,13
59,31
85,20
74,10
90,25
18,16
52,15
44,17
17,6
36,28
49,15
86,2
37,25
56,4
63,23
35,30
97,14
75,27
57,8
88,3
10,13
53,27
8,30
39,19
47,24
60,3
89,17
51,27
14,25
28,2
16,14
34,27
82,29
46,30
27,26
20,21
9,16
92,15
3,9
98,4
29,16
80,16
73,16
