inputName,goal
11,6
19,221
12,125
38,113
81,6
5,189
40,10
70,10
23,13
72,125
79,221
78,113
87,216
6,247
68,113
69,221
1,6
45,189
33,13
15,189
93,13
24,209
25,189
26,247
48,113
71,6
76,247
7,216
50,10
22,125
4,209
32,125
77,216
91,6
42,125
13,13
41,6
55,189
31,6
66,247
65,189
62,125
21,6
95,189
84,209
58,113
64,209
83,13
94,209
0,10
99,221
96,247
67,216
61,6
43,13
2,125
54,209
30,10
59,221
85,189
74,209
90,10
18,113
52,125
44,209
17,216
36,247
49,221
86,247
37,216
56,247
63,13
35,189
97,216
75,189
57,216
88,113
10,10
53,13
8,113
39,221
47,216
60,10
89,221
51,6
14,209
28,113
16,247
34,209
82,125
46,247
27,216
20,10
9,221
92,125
3,13
98,113
29,221
80,10
73,13
