inputName,m,n
values_11,74,11
values_19,74,86
values_12,74,46
values_38,102,59
values_81,109,11
values_5,53,116
values_40,37,82
values_70,59,82
values_23,87,86
values_72,59,46
values_79,59,86
values_78,59,59
values_87,109,69
values_6,53,70
values_68,38,59
values_69,38,86
values_1,53,11
values_45,37,116
values_33,102,86
values_15,74,116
values_93,120,86
values_24,87,37
values_25,87,116
values_26,87,70
values_48,37,59
values_71,59,11
values_76,59,70
values_7,53,69
values_50,87,82
values_22,87,46
values_4,53,37
values_32,102,46
values_77,59,69
values_91,120,11
values_42,37,46
values_13,74,86
values_41,37,11
values_55,87,116
values_31,102,11
values_66,38,70
values_65,38,116
values_62,38,46
values_21,87,11
values_95,120,116
values_84,109,37
values_58,87,59
values_64,38,37
values_83,109,86
values_94,120,37
values_0,53,82
values_99,120,86
values_96,120,70
values_67,38,69
values_61,38,11
values_43,37,86
values_2,53,46
values_54,87,37
values_30,102,82
values_59,87,86
values_85,109,116
values_74,59,37
values_90,120,82
values_18,74,59
values_52,87,46
values_44,37,37
values_17,74,69
values_36,102,70
values_49,37,86
values_86,109,70
values_37,102,69
values_56,87,70
values_63,38,86
values_35,102,116
values_97,120,69
values_75,59,116
values_57,87,69
values_88,109,59
values_10,74,82
values_53,87,86
values_8,53,59
values_39,102,86
values_47,37,69
values_60,38,82
values_89,109,86
values_51,87,11
values_14,74,37
values_28,87,59
values_16,74,70
values_34,102,37
values_82,109,46
values_46,37,70
values_27,87,69
values_20,87,82
values_9,53,86
values_92,120,46
values_3,53,86
values_98,120,59
values_29,87,86
values_80,109,82
values_73,59,86
