inputName,m,n
11,6,72
19,6,21
12,6,5
38,124,127
81,86,72
5,67,55
40,119,112
70,73,112
23,11,107
72,73,5
79,73,21
78,73,127
87,86,75
6,67,87
68,36,127
69,36,21
1,67,72
45,119,55
33,124,107
15,6,55
93,56,107
24,11,70
25,11,55
26,11,87
48,119,127
71,73,72
76,73,87
7,67,75
50,77,112
22,11,5
4,67,70
32,124,5
77,73,75
91,56,72
42,119,5
13,6,107
41,119,72
55,77,55
31,124,72
66,36,87
65,36,55
62,36,5
21,11,72
95,56,55
84,86,70
58,77,127
64,36,70
83,86,107
94,56,70
0,67,112
99,56,21
96,56,87
67,36,75
61,36,72
43,119,107
2,67,5
54,77,70
30,124,112
59,77,21
85,86,55
74,73,70
90,56,112
18,6,127
52,77,5
44,119,70
17,6,75
36,124,87
49,119,21
86,86,87
37,124,75
56,77,87
63,36,107
35,124,55
97,56,75
75,73,55
57,77,75
88,86,127
10,6,112
53,77,107
8,67,127
39,124,21
47,119,75
60,36,112
89,86,21
51,77,72
14,6,70
28,11,127
16,6,87
34,124,70
82,86,5
46,119,87
27,11,75
20,11,112
9,67,21
92,56,5
3,67,107
98,56,127
29,11,21
80,86,112
73,73,107
