inputName,goal
11,135
19,118
12,78
38,131
81,135
5,60
40,145
70,145
23,120
72,78
79,118
78,131
87,222
6,14
68,131
69,118
1,135
45,60
33,120
15,60
93,120
24,140
25,60
26,14
48,131
71,135
76,14
7,222
50,145
22,78
4,140
32,78
77,222
91,135
42,78
13,120
41,135
55,60
31,135
66,14
65,60
62,78
21,135
95,60
84,140
58,131
64,140
83,120
94,140
0,145
99,118
96,14
67,222
61,135
43,120
2,78
54,140
30,145
59,118
85,60
74,140
90,145
18,131
52,78
44,140
17,222
36,14
49,118
86,14
37,222
56,14
63,120
35,60
97,222
75,60
57,222
88,131
10,145
53,120
8,131
39,118
47,222
60,145
89,118
51,135
14,140
28,131
16,14
34,140
82,78
46,14
27,222
20,145
9,118
92,78
3,120
98,131
29,118
80,145
73,120
