inputName,size
11,4
19,21
12,2
38,32
81,3
5,6
40,27
70,19
23,26
72,28
79,9
78,3
87,14
6,26
68,31
69,25
1,31
45,25
33,20
15,7
93,13
24,21
25,26
26,15
48,21
71,28
76,3
7,25
50,21
22,5
4,12
32,4
77,32
91,26
42,25
13,15
41,12
55,18
31,29
66,4
65,26
62,14
21,25
95,15
84,18
58,26
64,5
83,27
94,4
0,5
99,21
96,13
67,25
61,23
43,23
2,7
54,27
30,18
59,29
85,25
74,21
90,7
18,20
52,21
44,13
17,21
36,2
49,3
86,12
37,3
56,32
63,8
35,29
97,15
75,9
57,32
88,16
10,11
53,16
8,14
39,22
47,29
60,7
89,21
51,2
14,16
28,32
16,9
34,21
82,31
46,14
27,4
20,14
9,32
92,29
3,18
98,16
29,19
80,29
73,7
