inputName,m,n
11,111,37
19,111,65
12,111,83
38,74,123
81,25,37
5,125,123
40,59,45
70,53,45
23,5,81
72,53,83
79,53,65
78,53,123
87,25,46
6,125,7
68,122,123
69,122,65
1,125,37
45,59,123
33,74,81
15,111,123
93,73,81
24,5,111
25,5,123
26,5,7
48,59,123
71,53,37
76,53,7
7,125,46
50,32,45
22,5,83
4,125,111
32,74,83
77,53,46
91,73,37
42,59,83
13,111,81
41,59,37
55,32,123
31,74,37
66,122,7
65,122,123
62,122,83
21,5,37
95,73,123
84,25,111
58,32,123
64,122,111
83,25,81
94,73,111
0,125,45
99,73,65
96,73,7
67,122,46
61,122,37
43,59,81
2,125,83
54,32,111
30,74,45
59,32,65
85,25,123
74,53,111
90,73,45
18,111,123
52,32,83
44,59,111
17,111,46
36,74,7
49,59,65
86,25,7
37,74,46
56,32,7
63,122,81
35,74,123
97,73,46
75,53,123
57,32,46
88,25,123
10,111,45
53,32,81
8,125,123
39,74,65
47,59,46
60,122,45
89,25,65
51,32,37
14,111,111
28,5,123
16,111,7
34,74,111
82,25,83
46,59,7
27,5,46
20,5,45
9,125,65
92,73,83
3,125,81
98,73,123
29,5,65
80,25,45
73,53,81
