inputName,key
11,363752805
19,1101546057
12,1144461879
38,1353495641
81,363752805
5,1870107864
40,-1539093238
70,-1539093238
23,-1890239953
72,1144461879
79,1101546057
78,1353495641
87,26392578
6,998990411
68,1353495641
69,1101546057
1,363752805
45,1870107864
33,-1890239953
15,1870107864
93,-1890239953
24,27145006
25,1870107864
26,998990411
48,1353495641
71,363752805
76,998990411
7,26392578
50,-1539093238
22,1144461879
4,27145006
32,1144461879
77,26392578
91,363752805
42,1144461879
13,-1890239953
41,363752805
55,1870107864
31,363752805
66,998990411
65,1870107864
62,1144461879
21,363752805
95,1870107864
84,27145006
58,1353495641
64,27145006
83,-1890239953
94,27145006
0,-1539093238
99,1101546057
96,998990411
67,26392578
61,363752805
43,-1890239953
2,1144461879
54,27145006
30,-1539093238
59,1101546057
85,1870107864
74,27145006
90,-1539093238
18,1353495641
52,1144461879
44,27145006
17,26392578
36,998990411
49,1101546057
86,998990411
37,26392578
56,998990411
63,-1890239953
35,1870107864
97,26392578
75,1870107864
57,26392578
88,1353495641
10,-1539093238
53,-1890239953
8,1353495641
39,1101546057
47,26392578
60,-1539093238
89,1101546057
51,363752805
14,27145006
28,1353495641
16,998990411
34,27145006
82,1144461879
46,998990411
27,26392578
20,-1539093238
9,1101546057
92,1144461879
3,-1890239953
98,1353495641
29,1101546057
80,-1539093238
73,-1890239953
