inputName,size
11,3
19,11
12,22
38,10
81,18
5,16
40,14
70,17
23,19
72,10
79,14
78,9
87,4
6,13
68,22
69,21
1,11
45,18
33,16
15,9
93,4
24,16
25,7
26,6
48,10
71,17
76,6
7,10
50,20
22,19
4,5
32,8
77,17
91,8
42,4
13,18
41,22
55,3
31,2
66,8
65,4
62,6
21,17
95,19
84,12
58,9
64,15
83,13
94,6
0,17
99,21
96,7
67,3
61,10
43,5
2,11
54,14
30,9
59,16
85,9
74,12
90,6
18,18
52,10
44,3
17,13
36,6
49,3
86,9
37,21
56,4
63,8
35,16
97,9
75,8
57,3
88,7
10,11
53,3
8,8
39,8
47,4
60,3
89,13
51,19
14,3
28,11
16,11
34,19
82,21
46,13
27,10
20,19
9,14
92,22
3,10
98,22
29,10
80,8
73,22
