inputName,size,a[size][size]
values_11,8,"[[-8328552712373906809, 5082973722318762640, -4401981194345416096, 1907266661125167056, 8843162442615091523, -4877846062607135740, -3540798227165741074, 1135996945928880096],[-3458326769370659995, 9198061226239027484, 9018824779563262569, -4596443978187815495, -7755686566899043977, -541509583834666784, 2144808633394410014, -6401035678081207536],[-1176777454077043632, 1929203652247516298, -3223144915587081898, -6721600919835309475, -4235191504020492184, -8740501733697780493, -6580154238663643634, 5877710889123854284],[-7324710902565830478, -5218695530851196530, 275529748308384984, -6746016584990610689, 6170553370843424572, 4295704155855300118, -7103151215099714232, -5811834636622175216],[-7496654268993285691, -7996378850462496964, -5494700832125746946, -2006676087366983121, 2095796765942384494, 8530222700703246583, 3883441095001230331, -5826206481960837055],[-5392999915122342011, -6400796163805886129, 2836790177897692975, 1503234326879180958, -7771997915965390693, -6491865417035525926, 1102606755829082571, 3594720763622651861],[-3849070198271567934, -4515238175775616524, -4126776053364067882, -2221384907501167712, 5705988674311944437, -7644961934830716025, 92417068909315474, -5221300894966545750],[-8231329357137722334, -5138972233827568401, 2255128605184277765, 1426245418673161163, -3596517788074749164, 8737666770457624414, -3358057789648977639, -4578821509925737941]]"
values_19,6,"[[8265983303697595938, 3040471155678061201, -7751739858820267905, 6271849415053041962, -2028538942683634381, 2769062412013420168],[2467118474361756455, -3197631657621700373, -8879278278378906859, 1514054365059571943, -5773182279567306433, -1175459967382815635],[-3842297611478716500, 7040441120627065841, -2788161001837748889, -4175573963386553494, -1257926523698621572, -2448058742600938707],[-7781816053801872057, 5739437773599316318, -1270123579155522631, -1422760761888798661, 1689119063474329973, -3873719156071019837],[-423799379552853903, 5512989292687973450, 3236608457855590542, -326725420472192563, -5904094390134727160, 8964451428477244983],[-1830160421099468970, 2356144434634117776, -3410865695363975466, -3512791157024614094, -5319816069549054832, 226125302032269996]]"
values_12,14,"[[-1049587890577266757, -7836878695590093081, 7404302229522547549, 3957907560621655040, 8693728603740112202, -6178041770835891171, 7617086346476736879, -4901596964672271501, 767541887661509304, -424679197786908018, 1209214247344270672, -5323317149624338623, 192531032126069361, 5564240831697172192],[5670802746114344678, 14869782089909852, -8460225822967537353, -3991258864360308511, -6623593958979206526, -8260659905687101635, 1424484163519530668, -3644247113570282395, -5130509316749209247, -7162638392370109495, 8834155469936985626, 5492217736217841839, -3301571624338224485, 8969687123143377971],[-3645655416162780253, 5000739455241376480, -3698508749307382570, -3703278822679901729, 1422190201495231309, 8400095681724174301, -1378316681571509439, -8669788306238101006, -441108534752311479, 5630137411691425563, 6452962408915004113, 2805046250127801052, 4256064290885916741, 6882707003893798288],[7180398560889422831, -5806129548474059145, -1099394883306328132, -3329807713092482499, 2110064487186387494, 7948920990942650221, 4436909668776902285, -195104956661988862, 1261994938802900390, 1259634073018834581, -1605023048826382271, 7092851388490294932, 3191986676608437302, 3718006694037772924],[-5417903557837151269, -4406258999636829185, -8125942612282566328, -4201631571161356386, 4872728284142757543, 5049225455003719612, 2486678323334408091, 309635514305183196, 9111472721937026017, -6539068252418683407, 7232693306735815681, 3884434035226907684, 8903499739928717239, 279361293534744597],[-5880938930549885359, 7498102579520711433, 3859355718318919944, 1409721317817467006, -93248833199662041, -5848763924899569852, 4518483877545204046, -4470485340117998165, 5496052564697959596, -2631015525795402071, -4062767636314494211, 778018078360277305, 2328348232713097014, 7023268139783574944],[7063282158265779949, -6386432319620005896, 8901271786923165220, 6508050934958292666, 2852703613060450398, 6125909639268152879, -6149552654924688415, 4480674654887479546, -8252279144894731245, -5110012424444401188, 5362776294590959419, -5389193038941133045, 5448400078994795340, 5969589258323315320],[6100419211328914874, -2712219640247156568, 8878565279626212089, 4392654752954265548, 8790500062092796778, -8995987920679814722, -3098182500651732768, -8801085805968337392, -6225018619579658994, 3312326723185317164, 3404912947089202554, 4567674839582850011, -6795920182463082279, -1171220128137315736],[1141738509601050989, 3126680625581941582, 4227525281405196787, 2518227774774892819, -7630371817787976865, 2174903060877792646, -5904886035639430948, 3291854177094690274, -9220252487008211765, -5576769827163049272, -3769206846176963302, 3258294874879171736, -6616795556075040776, -7479280025244806876],[-4890243469017860052, 2584752965832061513, 3433719287505333072, -8602624851895173275, -8510663343837151046, -1116518379821850798, 2151211878827984778, -4941351125786578890, 1864406846738529682, -6701897219617381996, -9036011305890089328, -537793633451127108, -7805184862175822463, 5423823503334942005],[-2190158605013173140, 4677187628220608304, 6587596517288930521, 685050020521145157, 748019006901782949, -5132797873179844711, -2365485486402185100, -414696013658112051, 8309978008093172252, 8529020700932418747, -7474544201963779816, 1520796857399009766, -7592701431694717143, -1299871560510658696],[7154281013553773170, 3212472797902542324, 8268165028121187073, -767662122781013661, -5497025110164293011, -8695524418107480660, -6527826212460317639, -5527093553111670476, -8536541534619326474, 4126152398705342043, 6374345615876237783, -5051039180320768562, 7987148286081915493, -4754671632098660678],[3514415532832489773, 530745358573517064, 2632010256532770647, -1931010133267382551, -6842068708439802763, -1199806378435982889, 4448746398533432288, 9213224687639520085, 2184166220004925007, -6863209726783504473, -9149364299666221936, 2536413805982111557, -2072751579569525542, 4376874265748321217],[-94915582465095758, 1348105352591621286, 6650876828896558737, -6761451868390513836, 8606720652288296053, 3184077707500607351, 1445072969442896825, 7052450957350037958, 4992271431343910309, -8353930864136176119, -379673604828712679, -6053348107382964154, -7383520874088936143, -2498649241701823537]]"
values_38,6,"[[-7390438105091151779, 5059184920859318093, 2930994685535611138, -3114085864997729867, -4021339542131021273, -2609014191316719100],[-6197343459218291142, 1855195252794938519, 2598374815544181047, -5410676448845529890, -8312937653582299866, 731521643571791283],[-2861813756038813684, 5219806049279171939, 1055062205925548764, -577685242112518477, -4431059115817528714, 6099926390653802640],[7490723180429259275, 4871514415821566607, -265364630676162594, 762765028193057896, 2261708888802774842, 2282804236227954791],[7739294153740917683, 766781077744962606, -4422252315128328774, 8778497513785790407, -2501783578437646799, -8986741245408406631],[-2167357261868972020, -5902482769381878133, 9178957351157227232, -138627664661917765, 6651911096207073965, 8835448033676073784]]"
values_81,6,"[[-6075625418716579291, -6946608979859650095, 3938322993324801701, -3357546046731553412, -4471206057244358079, -5523487727115808958],[5053505346562643948, -8109180892991817991, 1021029020332051302, -5164690822431893681, 4693330614993963917, 134176696000119359],[5471337614443305982, 2292205244542036521, -2404014890170120081, -2915876358912386004, 2735478888068625509, 1580410356412907475],[-5880471605979328339, 2034762977352660181, 7468255536365134853, 6742464147159152896, 1183914206874974011, -8572082765284824347],[-8099325869796593359, 3250794119796979525, 5925997057179472029, -1853345793244008802, -2094754819705719901, 7477263056362239152],[-157152827119389375, -6082453821525707268, -3007884952753623152, 8140542944931675602, 4786252832407605805, 7469274831063189848]]"
values_5,4,"[[-5755869529340662324, 5745527043066065017, 4958293250878562454, -8119216457541051675],[-7423725365439596037, -3751737186333275274, 1013790279384155835, -6795550280512608100],[828306470224657446, 7133165659268204595, 3107543835263552045, 6523748096740823256],[-2763380904704903708, 3630670807940772033, 5819667994818588637, -8797026211302211961]]"
values_40,5,"[[1523002645910002921, -2690664791888893052, -4099086898242548720, -7329799581542759457, -4478192429544064102],[6849779255274165235, -1093217931867609664, -2383715927282114721, 1089548936627435153, 8341476407335188979],[-8811797300326319629, -1014690335853093625, 6838246862500137128, -5322726937186608712, -6006597435023085847],[-6433226157815666547, 6868714476609685239, -9101606368945958982, -5784407345439039670, 4705623551538159247],[-788231056218004763, 4823682724744841168, 2804839347972746267, 7427739218591125287, -1827713453988174467]]"
values_70,10,"[[-7466770461668772803, 8152723305307412909, 663020762600111231, -8262643181379689965, 4360170209883012365, 4984853693964715647, -2491349631744782987, 6426951414502982969, -3204920273099838068, 5046209032070898143],[2982714213009013791, -8750074125500171616, 8808039970647691323, 1801329239533874826, 8584274709104730294, -4517657447188069184, 5085547190932970842, -5813507588615722277, -7004228825516629799, -4853594111831858324],[-4298229258375119268, -6285762745893851079, -1392340102737897425, 4026647085474809002, -747080883447947777, 4884720102787401632, -5911339336121212037, -7612761860464581430, 8174307270738602800, -2236510711025578633],[-5843410342275466587, -6304236313443985196, 2979008120069261888, 7903677726985714492, -6110913297892587161, -2773010962182861256, -5668349847753438803, -4601636625146852544, 1190011645530296176, -1923585966437021835],[8256749857212486996, 7612734925109624018, -1213800270256880524, 1471941480689806838, -9204781961583805988, -8796972536390363488, -1936939515757579137, -166141372572952243, 3320330698215442451, -4362557833912159807],[-4326648057469676345, -3250417150165197587, 5149138184633733794, 7900227893419275903, -2409956560439578249, -8527860236958198057, 3833048029099329255, -7393217695976340028, 463271900258239358, 7837551888853522743],[2848211339357241226, 7352500104004057065, -1918726046409822589, 4790211462554364159, -3239371415410726268, 1363464343791460024, -3849395179215060258, -7085240673600988867, -8681267476257862321, 5714859007128415371],[8744517253217746715, -8294704281316100558, -4639740715373208736, 5311744338942140627, 6909936718626837573, -995207989046086257, 5592272935810222945, -8219916579232425537, -1751376902169436312, 3685595824395406770],[7583028779846931161, 2156343161415679000, 9165513886629987516, 1610280493892085071, -1148685620610804121, -5322653798015644865, 149461554647799780, -3831602152437330637, -8846829284441272783, 50047499088202208],[-6956046100853549957, -3495003582560220056, -1530573195780506758, 8095047631201897143, 8675749395412590000, 502098190388502851, -1194115097732444904, 5799905971843554960, 6687539199000643136, 8448534601296183767]]"
values_23,7,"[[7989872227676588629, 6569369954224067350, -8450127869895357989, 7336886508344340052, 723591694183682861, -3528842658829209214, 1659288029550513854],[8106385941060978039, 7660469687771112265, -7987923239967760009, 4066963283649557956, 3761484430292560629, -7580751467751543548, -3382523746503063611],[-666694520166184044, -4632552213833385613, 6446518165049935430, -523220507365703241, 3025394446723543860, -2502647112809418914, 480316871778009889],[5343975960135042271, 6732300653252228039, -6820240313234712401, 6296069633363118452, -8652161007930579931, -2316654061629455243, -2836772421107924502],[-3626091091924917462, -4861503158669579810, -2731401301975110191, 2482528174622266618, 7762452501983244727, 1832818213201916983, -6660572263110335819],[675927516669267185, -3861223705696197428, -5720179654394022839, 5436226430438660, -3141665201446805056, 4998107145710283716, 4199282104309962031],[-2234026701976187036, -8961241837356456792, 3816246835000878073, 426804933555264151, -8797110606981621061, -7311483205029145366, -6311024231106695933]]"
values_72,15,"[[7879355166374742982, 5197625755237118805, -1073997049712511030, -3886158039250271781, -8965957536823528052, 9015012815096173303, 8612556351263782505, -8567189805941526128, 596916789784990776, -7514651298165319028, 3467382936774924061, 5640033606294317070, 5628199449485786120, -2166306821122559168, -704147842541280191],[833838886336946119, 8117522396115000855, 2413015455172329943, -8023171513942462095, -8183485539139446118, 4526979089782924723, -7419891111359135412, -7592922997526761045, -184689719569842462, 1039013359943127950, 2835904143706528727, 3306208976399144655, 3550015788465979468, 1585090163484134304, -2156630114774974783],[3530297316743135687, -7940573308733111481, 7627782576320942319, -3453370085717256467, 6872448035306671094, 4800550489717741624, 2651450376160195089, -1625496005528928582, 4850173010680147304, 7246622644225014380, 2952344372266052486, 5820867117277123009, -7723218381047516874, 9211562688652655515, 157024908511244762],[-827598186051131553, 1997087870869803240, 1263420754921668625, 7339890861062786161, 6667872032708134888, -4675217833422882446, -8297109064512147770, 3083686407765111512, 4151507002284632601, 4329286627709113498, -1424836267537108637, -4310824163449619900, 4136445930792996669, -8255255908840171755, -5084545103745560068],[-4656652680417672132, -2026948449654909978, 998400667584958775, -8622436844272948229, -1900844876879695215, -5466134698966797362, -7826446278196504129, -2979506447677077542, 1193016349842435258, -3287737283553387701, 4600005324635746854, 8944986457818714263, -8729184400946869194, 8615836399632271985, -7208323220153668517],[-603214658066379406, 5885186343159862671, 2175018302135062525, 2023053938732817359, 6004588007001875463, 5645930447411222514, 8183231579180450639, 8843296361334967033, -723329361024727398, -117309062522515563, -187547004092524666, 2219606912882615025, -2226371637572368041, 8437838289939080506, 5298883257735417585],[-1101826070147372672, 1015125812487257774, -5841488140587416602, -5808242741220199067, -5918194691219294235, 2937403461057111016, -4505575758496319801, -4007195991937157984, -73423600614364020, -4766188674861194884, 856230062362759773, 4721882201322773509, 3866760238155358136, 3195487822968800792, -8804095728562668830],[-7947741487652057647, -6532164578307444266, 2265584217671411573, -2833593169372097606, 8071355509531675669, 8214777743034256356, -8214987047095986489, 6409948964455071217, -99258249534555768, 3954510331759992507, 6694421856702923044, 8988460128452167109, 6993533122705262586, 7534106534855944724, 134366337687508730],[3829807126146326773, 1025495966467162027, 4914744105760315474, -4152328334358300587, 2543694301224376551, -9076420766700995409, -4572087695921672655, -7969621317778479741, -7958367119627205464, 1172139623473695068, -4462607534406311175, 955932076076728353, 2904899457615766233, 3692503352701691719, 412602629165700772],[-5293061744402942175, -3604870548171449919, -7331862448051877276, 4614289412883922516, 8279647701465682783, 3512172304473769568, 7973019059285267416, -8276846978405020878, 3711812256704152491, -6913842600979851804, 6373059080340207611, 602132700198691621, -8529742034824336085, -5728778603459160409, 5972575333350614385],[8627962887527565432, -7508549138562492060, 6610246824864974040, -6464724143066433880, -3869644992510527240, 5658602774703437687, 3771552813971884816, 8921124043893322270, -4481437134788770502, 5464610652878194986, -6364316539147012556, -1785056249580415787, -10769596246456089, 3456404173832938551, 4835399898275032038],[-1359370181837476270, -4423739307954293499, 3397783040043153381, 7497782023368687834, -2981304027857995659, 3110220442083178887, 1965496259816080543, 3099032224811563527, 1600864399404288209, -6591507842214261851, -3697594293623453455, 2370330886065908932, -378276779949964101, -7643466574172643915, 6380147239262103855],[5383293417916848701, 8670590010832003911, 8454226501819258001, 6364106999148405482, -5050987236083418267, -99474869448579151, 1896775292475572879, 8792292263138579578, 6614602716363839689, 6997742318806445516, -7107451461295460859, 8687688436081839859, 6015966758405266009, 7724618850586077067, 4459120988411783160],[-4253747713615200951, -6550013581502955802, 7677996928922363097, -9146416451997753014, 8227610735721235909, -4889785627248570122, 4012928048564777353, -2446546204493051526, -6104272472338391243, 7043238223037798184, 4714023355193436174, -1150102159331999930, -2005918470282762654, -1120006102902265890, -7671490125282580568],[-456648402206334079, 1689548590254616349, 4301129432024318347, 1351737890209655803, -4379448209705516120, -1425605977129029961, -3435426017604064761, 680675098106506070, 4279513516781267276, -8773119860866534072, 4250184269977886133, 1946489253099518637, -1377614709626042574, -1923032386818501714, -3748854208230492826]]"
