inputName,goal
11,161
19,251
12,180
38,191
81,161
5,237
40,24
70,24
23,177
72,180
79,251
78,191
87,217
6,116
68,191
69,251
1,161
45,237
33,177
15,237
93,177
24,137
25,237
26,116
48,191
71,161
76,116
7,217
50,24
22,180
4,137
32,180
77,217
91,161
42,180
13,177
41,161
55,237
31,161
66,116
65,237
62,180
21,161
95,237
84,137
58,191
64,137
83,177
94,137
0,24
99,251
96,116
67,217
61,161
43,177
2,180
54,137
30,24
59,251
85,237
74,137
90,24
18,191
52,180
44,137
17,217
36,116
49,251
86,116
37,217
56,116
63,177
35,237
97,217
75,237
57,217
88,191
10,24
53,177
8,191
39,251
47,217
60,24
89,251
51,161
14,137
28,191
16,116
34,137
82,180
46,116
27,217
20,24
9,251
92,180
3,177
98,191
29,251
80,24
73,177
