inputName,goal
11,100
19,6
12,72
38,29
81,100
5,77
40,96
70,96
23,200
72,72
79,6
78,29
87,149
6,44
68,29
69,6
1,100
45,77
33,200
15,77
93,200
24,248
25,77
26,44
48,29
71,100
76,44
7,149
50,96
22,72
4,248
32,72
77,149
91,100
42,72
13,200
41,100
55,77
31,100
66,44
65,77
62,72
21,100
95,77
84,248
58,29
64,248
83,200
94,248
0,96
99,6
96,44
67,149
61,100
43,200
2,72
54,248
30,96
59,6
85,77
74,248
90,96
18,29
52,72
44,248
17,149
36,44
49,6
86,44
37,149
56,44
63,200
35,77
97,149
75,77
57,149
88,29
10,96
53,200
8,29
39,6
47,149
60,96
89,6
51,100
14,248
28,29
16,44
34,248
82,72
46,44
27,149
20,96
9,6
92,72
3,200
98,29
29,6
80,96
73,200
