inputName,size,available[size],allocated[size][size],max[size][size]
values_11,4,"{4149658729749976027, 777451155815158650, 779758289890622319, 4197748061443794581","[[2039118847796677705, 8880454047430268292, 1447641025288098867, 5975388045842061743],[6347813834045976078, 2235574503640479560, 3622231543111130451, 6374237653281967036],[4424536902731547791, 2464786931901398451, 4218205426423006045, 3508951412912261118],[7387879427503190245, 234655739465102750, 6378077612348989613, 173974453250964549]]","[[3330546812727500105, 3048857331877236740, 2044840146111033940, 4896305561888973602],[4363753390229173640, 4453055668779925583, 814121326167006233, 1996587144692519467],[3131370000296207350, 3850216664528113562, 6806406536044506405, 7290050628897159553],[7012279810414167042, 3854739045051899657, 4347302262051473756, 5200741171445382342]]"
values_19,5,"{2310008828684750954, 6072240903674361273, 8961074368289339362, 4362346769082259979, 8617129983607633399","[[1893709885666986845, 6614527550777480435, 5369691452591525138, 6633400674302191099, 3204153794660107196],[6051680508556266672, 8043295373460117067, 565814365655598438, 5810742725646242170, 5899964606493356993],[2880298501649127425, 5333055328657268701, 3678951777100066900, 2336340533670763975, 8794908361019135833],[1993756514251204493, 7726102908755491496, 5249248425616822223, 1740136012867807658, 3230139007323850694],[6883879916887318722, 4040202968887115350, 2107771609233004018, 4240220013152155452, 517816985168712136]]","[[1845750357702913816, 1360486279658068675, 161662335112397984, 3695425362365310125, 8040744316021224834],[3208475356619132988, 439836305306986332, 7669928015303045504, 8477906072786674223, 7246847959691180680],[2778576444056570539, 1766719622551559487, 531744100319118358, 3107427182402528845, 7190046312838670252],[6506414686874391996, 2524229994806845238, 5186615183731608725, 8733855134304610624, 7068070742746321732],[6256716847579198209, 8516512238023053573, 7585581995776053974, 5920353824385849868, 1855693104968797774]]"
values_12,5,"{6674226359550478237, 6796833456433104171, 7563405202210586584, 5724049403782459541, 2571864700059719351","[[6465472401864789900, 6085252128101147675, 1258573995071507820, 8189392486950034276, 185234506791634049],[6149073763967081542, 7743306647593330851, 8959274076656751255, 3476500719456834020, 8886165450462642650],[7531349526276176041, 5540635730009488496, 6471071710489462772, 4677021617685049183, 2257125155693205144],[5608409005243952138, 8984798205740314421, 3432503769143022235, 2135982025939623962, 1723051348607677359],[8121902215331343458, 4242714642377024918, 8732427413520288397, 1084774475916369231, 2822434953970788442]]","[[8708399423727096393, 3780591405905984784, 4295140188356946940, 6000289220231368920, 7616980089930329141],[7521421515861137298, 8532652967709156844, 8958078944957035128, 5546258093578518675, 1556410071576754409],[797321377449236432, 6049030823175815063, 5686485983749973050, 8484826245458729337, 6969228329974634821],[5839360983897337864, 1734738282433291781, 5014406947911891599, 8927581535862393763, 5984430964679815665],[1388552924162036847, 1377752962399923284, 5691545143750039559, 6603834111951489531, 7838438293399969928]]"
values_38,6,"{7308163891047199149, 8438852914876899337, 5739695797678935513, 3676404841622611606, 999565445538655723, 3510502211429449693","[[3218539534615413726, 7598027138662775250, 2914456356158903074, 8626632734862966362, 8993697150573788798, 5341279594580019158],[165934011138914022, 893036733431571427, 2420679644711680122, 8763694562473330890, 8777553920653551896, 1378393692319750234],[6727372331540116004, 5465000608090079368, 8011056767396515730, 503512571078704298, 1598789654094156009, 6351942248894364846],[7093791832734034453, 9075759434365133798, 4994043316309016511, 8027163252239262513, 106396586469474625, 6306526475087125968],[2134855964792865561, 2000149032612382759, 7105440862886195153, 880994797797646622, 147152849748804977, 7887017391255545020],[2605401517246295959, 2908580560053078311, 8254561588439552235, 4788464921299755354, 3780295841862653251, 8731775312852158631]]","[[7256654399230851432, 5465088436018615162, 5225646626906971105, 3426232022930658396, 7852631790162266390, 7206796271435369060],[7587728774861648411, 2276085005158077421, 556556454233349649, 2677271052624703569, 8174825045503087578, 5593208278590021395],[2675091179595982590, 6304034690648639135, 8153033207494489909, 6761610342720632689, 5722744294289295802, 650306547600815520],[2657279198136303844, 3583186968464513712, 3466118858862838807, 3068828151591284307, 1932649663552461105, 1959655433347700688],[152273034212513103, 873071216681242493, 6154810441676734848, 3816444763953050273, 6103067660940979291, 3372041907142696965],[8579472053274977070, 1122556713428389768, 1342024375147861086, 3469793119329808256, 2606990364118614901, 8740851112528111937]]"
values_81,6,"{1285762639515239473, 5124367445884792843, 7173978239901365540, 6445693362166389470, 1759335676033250347, 1121336519976655446","[[7511183774930670408, 8729146142067438897, 2758083745702300807, 4717699830780917314, 4423744349298172592, 7740111504132174531],[6560071628642078307, 778452151653746038, 1293885151204852943, 7779200358233774713, 5021556103840953536, 4171318547279793819],[7067972840339521439, 8931660338651858450, 4763714658545953295, 545132492431601176, 6481818122378109951, 3744901225737746023],[8817227706142554197, 184486036641626775, 5223026277743836958, 5344808211079950553, 5496702044577550058, 43006654778492756],[8492516993849773715, 4700221406357144120, 8573935760877847984, 4275005153397346963, 6673808540209738799, 2955714911961667007],[7438556721827905931, 1743039725354532805, 7054515494889765994, 3154839823885808380, 2046282310954605491, 1960990536093275387]]","[[3931083057149680987, 2384019792739643484, 5202510447813146341, 2933050453850745456, 2589656208400138404, 2217384409401189883],[141739641923949459, 4939258285824794779, 5833405509551034161, 6992790636656676349, 1511635743745043055, 3018908702126163599],[2888114115588268517, 4842994346484360269, 6160345225364167190, 5807537486959005042, 9007607022741828684, 8367697735240007800],[48514182325842132, 4201859574277698330, 3595417574910264550, 7207967451168585801, 4279396497877809929, 8381220394969897220],[4159687729430046499, 7192868899539420220, 802403706323117039, 3191309153642096399, 369289281877405165, 8650513123991737293],[8291426568094339561, 2028341000412613730, 1261755078536706996, 863479334868310565, 5400971132479866981, 3788119771877829853]]"
values_5,2,"{1367214678281102071, 8764103200666369149","[[5729951501989010875, 4324943780783713626],[2389551006616703547, 125946861790988502]]","[[6797872179209171569, 3688649450331577912],[318425610884327596, 1483491730586989300]]"
values_40,9,"{5918562021888867462, 2331135321327844538, 1674250382503595530, 4894867727297908179, 3550722188348532293, 1758803483322181840, 4808339987693267508, 4716101587824705319, 1582413386587693351","[[1763928234655399350, 3287330857035447817, 1119039206443300470, 4165187630644230899, 3956642742115878389, 2083771091811683152, 198099715527735593, 3188475761325528350, 6509218266423243903],[8439490702386466896, 4689320606965910781, 8801043656741230021, 5734520055262011000, 1161760145770446802, 1960076240646703605, 7692855605968190014, 5077011356033574151, 2048792591812869630],[6301998945224078140, 6490172044656274642, 1462299624841191781, 547395433880714353, 7495108911160799842, 8651744939745286156, 7846279571944776037, 1070955934308090531, 4860747924616619852],[3757350151758232182, 8574599414437119951, 7940271076539893084, 5360518714750182336, 2985183815337870697, 1413746030130064728, 6184072741625706512, 5512913051853751384, 9154912693919439228],[4695158489992686514, 3436395499878161398, 3282897451581851749, 4503866151153854409, 7803893851096635554, 4789086031515659498, 2123967745249653352, 3811387467517433740, 223833105852376512],[4291247524222199555, 7277245982967692883, 6086147136703285631, 141024566109499726, 4463043657649343661, 2265523116258576208, 5972401968887338547, 5529100897187330659, 2335976300414594494],[1318511804538799759, 8875078584681438337, 5931517517511129514, 8504023515266083394, 5181825828756241893, 8374805698156875465, 421826754494531253, 1907893240212976877, 6535394721143111493],[3584281207559377591, 8878665054759913040, 1551289700151460483, 1144642350824413120, 8718506905132964887, 7539638111945226558, 9185679913189700361, 5312450522083290185, 8601716776506421475],[3978134522998656447, 1711443475535394426, 2660143875281880813, 7275402291036415302, 5698838786866708014, 7516352493393090069, 5620842418245608826, 5109255249459762947, 6013249800406026969]]","[[1571457217713927639, 270475950077199619, 4323489978663374566, 7601816847073236561, 6102891906735533234, 2699593688173308684, 1211728527276201766, 1082342116087271268, 4512674459617179575],[8418612715552756496, 5332283363693028692, 3754960581980688401, 5231282679244216261, 9007311168253156075, 3704309876749137693, 1583722493377170362, 5608481669900675109, 3650533383779425724],[5397887140252144196, 2330249413027622214, 6427800592177547843, 988827460161247254, 7862157538275911681, 3609064290661567262, 6653122296082810978, 2565081115309028826, 6101846138039564907],[8161207780951668975, 5293248691051368184, 5805177566328391918, 4830443141625387574, 6506095533993114892, 9118764827082024636, 148484419948671509, 2896872025589692583, 5058912161441677816],[5586788992378872815, 7692701425027671811, 6615803043428728579, 9074187987235392127, 5442735464993593727, 5847664776403414157, 7928283665102099160, 943874749630227268, 3111832945920193316],[7478793505291387440, 8736030078780832261, 6245849784628640096, 1361662905300700493, 7719167632778349628, 1505495366274288135, 6895730833307463230, 4461447924939424590, 4567070238876741572],[502284585637065579, 5280773728975554977, 8268604439963870456, 5890852945050371937, 2103999362845099707, 1001795658390794276, 4741408184472051458, 3464328958541768025, 7371291837896396461],[8307734942611609332, 3398339933168665746, 7268735584259483716, 140425358896738590, 2311773419780215878, 7326533453152201423, 1276506786527553756, 1427343758059905728, 7032257591278638245],[6808850279593066124, 4211392687819432428, 8162022962985039373, 7177187294203950386, 636125609716442607, 4754142555840234888, 1493154512087075861, 8756638444658735429, 65642827899560420]]"
values_70,3,"{8834791297528538303, 8778939854756428145, 7297385080351491501","[[2450031253584462564, 244573829314832073, 20581425333303582],[5394864810341821321, 7477569318216534055, 4092666133712837708],[8658169591492406475, 238808998568820104, 1069196029110796588]]","[[269821619796754759, 1995783286794069511, 9002513002061452922],[1152112751619573943, 6389867029763256497, 1423436478038273327],[7874088369410082761, 7917953755576592080, 3204909595296746876]]"
values_23,2,"{6947809122651642950, 8548807095002983185","[[502307128377205546, 6371399953550446592],[3862173059083728916, 7828992410134213825]]","[[5685990435314247247, 305777073472087892],[9155618795793775065, 6052966382935561467]]"
values_72,2,"{4820826185477712319, 1159692428608330051","[[6409676108836721982, 8616248453197708628],[4166408642540793714, 4871938140919594726]]","[[8227333260893560079, 1966235289731489557],[8227354164167065370, 5436466560184940497]]"
