inputName,goal
11,172
19,179
12,226
38,187
81,172
5,209
40,143
70,143
23,59
72,226
79,179
78,187
87,202
6,159
68,187
69,179
1,172
45,209
33,59
15,209
93,59
24,146
25,209
26,159
48,187
71,172
76,159
7,202
50,143
22,226
4,146
32,226
77,202
91,172
42,226
13,59
41,172
55,209
31,172
66,159
65,209
62,226
21,172
95,209
84,146
58,187
64,146
83,59
94,146
0,143
99,179
96,159
67,202
61,172
43,59
2,226
54,146
30,143
59,179
85,209
74,146
90,143
18,187
52,226
44,146
17,202
36,159
49,179
86,159
37,202
56,159
63,59
35,209
97,202
75,209
57,202
88,187
10,143
53,59
8,187
39,179
47,202
60,143
89,179
51,172
14,146
28,187
16,159
34,146
82,226
46,159
27,202
20,143
9,179
92,226
3,59
98,187
29,179
80,143
73,59
