inputName,goal
11,163
19,16
12,81
38,55
81,163
5,60
40,215
70,215
23,103
72,81
79,16
78,55
87,185
6,47
68,55
69,16
1,163
45,60
33,103
15,60
93,103
24,157
25,60
26,47
48,55
71,163
76,47
7,185
50,215
22,81
4,157
32,81
77,185
91,163
42,81
13,103
41,163
55,60
31,163
66,47
65,60
62,81
21,163
95,60
84,157
58,55
64,157
83,103
94,157
0,215
99,16
96,47
67,185
61,163
43,103
2,81
54,157
30,215
59,16
85,60
74,157
90,215
18,55
52,81
44,157
17,185
36,47
49,16
86,47
37,185
56,47
63,103
35,60
97,185
75,60
57,185
88,55
10,215
53,103
8,55
39,16
47,185
60,215
89,16
51,163
14,157
28,55
16,47
34,157
82,81
46,47
27,185
20,215
9,16
92,81
3,103
98,55
29,16
80,215
73,103
