inputName,goal
11,197
19,47
12,79
38,120
81,197
5,155
40,164
70,164
23,122
72,79
79,47
78,120
87,101
6,196
68,120
69,47
1,197
45,155
33,122
15,155
93,122
24,24
25,155
26,196
48,120
71,197
76,196
7,101
50,164
22,79
4,24
32,79
77,101
91,197
42,79
13,122
41,197
55,155
31,197
66,196
65,155
62,79
21,197
95,155
84,24
58,120
64,24
83,122
94,24
0,164
99,47
96,196
67,101
61,197
43,122
2,79
54,24
30,164
59,47
85,155
74,24
90,164
18,120
52,79
44,24
17,101
36,196
49,47
86,196
37,101
56,196
63,122
35,155
97,101
75,155
57,101
88,120
10,164
53,122
8,120
39,47
47,101
60,164
89,47
51,197
14,24
28,120
16,196
34,24
82,79
46,196
27,101
20,164
9,47
92,79
3,122
98,120
29,47
80,164
73,122
