inputName,m,n
11,2637867728230266289,3243569128099429692
19,2637867728230266289,7310856110522107405
12,2637867728230266289,3227882450329857508
38,6193340516060447343,1136043316900399937
81,5717716768132065386,3243569128099429692
5,1742614338622126875,4244867148972486591
40,4975461495093916835,1520545882451785761
70,7735916853571528220,1520545882451785761
23,35658646521460378,5897257021613468578
72,7735916853571528220,3227882450329857508
79,7735916853571528220,7310856110522107405
78,7735916853571528220,1136043316900399937
87,5717716768132065386,8608023139725239398
6,1742614338622126875,893797991324657552
68,8149752357777351327,1136043316900399937
69,8149752357777351327,7310856110522107405
1,1742614338622126875,3243569128099429692
45,4975461495093916835,4244867148972486591
33,6193340516060447343,5897257021613468578
15,2637867728230266289,4244867148972486591
93,5955384083604117343,5897257021613468578
24,35658646521460378,3316913746390424601
25,35658646521460378,4244867148972486591
26,35658646521460378,893797991324657552
48,4975461495093916835,1136043316900399937
71,7735916853571528220,3243569128099429692
76,7735916853571528220,893797991324657552
7,1742614338622126875,8608023139725239398
50,161076521082584146,1520545882451785761
22,35658646521460378,3227882450329857508
4,1742614338622126875,3316913746390424601
32,6193340516060447343,3227882450329857508
77,7735916853571528220,8608023139725239398
91,5955384083604117343,3243569128099429692
42,4975461495093916835,3227882450329857508
13,2637867728230266289,5897257021613468578
41,4975461495093916835,3243569128099429692
55,161076521082584146,4244867148972486591
31,6193340516060447343,3243569128099429692
66,8149752357777351327,893797991324657552
65,8149752357777351327,4244867148972486591
62,8149752357777351327,3227882450329857508
21,35658646521460378,3243569128099429692
95,5955384083604117343,4244867148972486591
84,5717716768132065386,3316913746390424601
58,161076521082584146,1136043316900399937
64,8149752357777351327,3316913746390424601
83,5717716768132065386,5897257021613468578
94,5955384083604117343,3316913746390424601
0,1742614338622126875,1520545882451785761
99,5955384083604117343,7310856110522107405
96,5955384083604117343,893797991324657552
67,8149752357777351327,8608023139725239398
61,8149752357777351327,3243569128099429692
43,4975461495093916835,5897257021613468578
2,1742614338622126875,3227882450329857508
54,161076521082584146,3316913746390424601
30,6193340516060447343,1520545882451785761
59,161076521082584146,7310856110522107405
85,5717716768132065386,4244867148972486591
74,7735916853571528220,3316913746390424601
90,5955384083604117343,1520545882451785761
18,2637867728230266289,1136043316900399937
52,161076521082584146,3227882450329857508
44,4975461495093916835,3316913746390424601
17,2637867728230266289,8608023139725239398
36,6193340516060447343,893797991324657552
49,4975461495093916835,7310856110522107405
86,5717716768132065386,893797991324657552
37,6193340516060447343,8608023139725239398
56,161076521082584146,893797991324657552
63,8149752357777351327,5897257021613468578
35,6193340516060447343,4244867148972486591
97,5955384083604117343,8608023139725239398
75,7735916853571528220,4244867148972486591
57,161076521082584146,8608023139725239398
88,5717716768132065386,1136043316900399937
10,2637867728230266289,1520545882451785761
53,161076521082584146,5897257021613468578
8,1742614338622126875,1136043316900399937
39,6193340516060447343,7310856110522107405
47,4975461495093916835,8608023139725239398
60,8149752357777351327,1520545882451785761
89,5717716768132065386,7310856110522107405
51,161076521082584146,3243569128099429692
14,2637867728230266289,3316913746390424601
28,35658646521460378,1136043316900399937
16,2637867728230266289,893797991324657552
34,6193340516060447343,3316913746390424601
82,5717716768132065386,3227882450329857508
46,4975461495093916835,893797991324657552
27,35658646521460378,8608023139725239398
20,35658646521460378,1520545882451785761
9,1742614338622126875,7310856110522107405
92,5955384083604117343,3227882450329857508
3,1742614338622126875,5897257021613468578
98,5955384083604117343,1136043316900399937
29,35658646521460378,7310856110522107405
80,5717716768132065386,1520545882451785761
73,7735916853571528220,5897257021613468578
