inputName,n,key,arr[n]
values_11,9,88,"{-27, -114, 88, -110, -15, 91, -50, 27, 6"
values_19,9,-95,"{32, -100, -19, 48, -111, -63, -7, 82, 30"
values_12,9,-99,"{123, 79, 71, 16, 71, -20, -125, -73, -105"
values_38,7,-120,"{61, 122, -113, -100, 54, -62, -105"
values_81,18,88,"{-86, -112, -92, 2, -73, 45, 5, -34, -26, 22, -77, 13, 86, -108, 98, -98, -51, -45"
values_5,26,74,"{-67, -15, 14, -61, 123, -2, -98, -44, 64, -86, 38, -93, 6, -118, -94, -67, 60, 68, 61, 42, 52, -94, -67, 20, -7, 80"
values_40,19,48,"{-10, 19, -87, 72, -1, 123, 93, 27, -21, -84, -61, 1, -63, -105, -32, 124, 87, -121, -85"
values_70,26,48,"{-23, -80, 54, -57, 121, -73, -112, 32, 127, 13, -46, 85, 26, -75, 81, 46, -123, -113, -55, -29, 54, 89, 120, -112, 87, -67"
values_23,30,81,"{-22, -70, -107, 109, -100, -26, 124, 46, 67, 44, 36, -70, 94, -69, -11, 102, 11, -48, 56, -121, 0, 29, -60, -60, -44, 100, 60, 25, 90, -79"
values_72,26,-99,"{-60, 59, 61, 33, 126, -18, -110, 24, 20, 21, -114, 51, -56, -104, -38, -69, 32, 71, -58, -24, 108, -60, -36, -53, 58, 30"
values_79,26,-95,"{-113, -72, 19, 88, -65, -66, -111, 70, 21, 114, 49, -106, 79, 84, -128, -5, 95, 96, 86, 117, -96, -17, 124, 9, 101, 66"
values_78,26,-120,"{-99, -62, 71, -47, 70, -123, 3, 83, -53, 121, -24, 12, 52, -43, -94, 23, -95, -17, 17, -68, 119, -49, -61, -81, -56, -106"
values_87,18,80,"{69, -93, 11, -65, 34, 71, -11, -113, 1, -56, -97, 86, 115, 113, 63, -50, 9, -69"
values_6,26,70,"{-21, 49, 67, 29, 55, -58, -1, -88, -16, 68, 94, -88, 24, 59, 121, 108, -16, 60, -33, -55, 125, 20, -93, 49, 105, -10"
values_68,27,-120,"{40, -10, -47, -85, 127, -43, 34, 87, -101, 40, 63, -116, 70, 56, 63, -71, 100, 123, 46, 100, -112, 36, 46, 103, -25, 74, -24"
values_69,27,-95,"{-79, 38, 50, -7, -105, 4, 16, 39, -94, 99, 0, -101, 120, -90, -20, -128, -33, -84, 1, -78, 101, -120, -47, 114, -46, -14, 101"
values_1,26,88,"{54, 36, -68, -16, 102, 126, -48, -36, 43, -83, 9, 46, -85, 47, -67, -25, 21, -40, 63, 115, -125, 31, 43, 92, -53, -69"
values_45,19,74,"{22, 42, -75, 75, 10, 2, -51, -106, -68, 29, -72, 24, -106, -19, -43, 87, -118, 68, 45"
values_33,7,81,"{-35, -105, 16, -89, 1, -111, 66"
values_15,9,74,"{-126, 67, 76, 117, -77, 52, -41, -80, -79"
values_93,23,81,"{-23, -44, -49, 58, -19, 17, -46, -51, 107, 112, 103, 9, 76, -56, -72, 108, -27, -32, 103, 101, -64, 88, -20"
values_24,30,29,"{-86, 100, 15, -24, 76, -109, 15, -57, -106, 5, 31, 60, 16, 29, 34, -111, 66, 41, -118, -45, 66, -39, 19, 33, 99, -116, 38, 30, -35, -125"
values_25,30,74,"{27, -6, -54, -64, 10, 62, -39, -59, -69, 10, 94, 113, -39, 116, 21, 79, 75, -59, -113, -115, -115, -91, -33, -85, 23, -59, 66, 26, -85, 116"
values_26,30,70,"{-114, 18, 115, -108, 57, 55, -67, -15, -92, 112, 115, -16, -77, -77, 110, -44, -26, -112, -106, 127, 46, 79, -34, -107, -60, 62, -29, 83, -54, -91"
values_48,19,-120,"{9, -20, 82, -58, 117, 77, -51, 99, -125, -61, 12, 121, 34, -104, 104, -126, -76, 49, 90"
values_71,26,88,"{-33, -59, 23, 58, 28, -78, -79, -36, -109, -26, 19, -73, 35, 77, -80, -2, -43, 75, 44, 89, 35, 31, 42, -125, 66, 61"
values_76,26,70,"{-3, -71, 66, 40, -47, 125, -97, 18, -48, -4, -121, 71, -122, -91, -52, -8, 111, -117, 29, -72, -44, -64, -56, 27, 28, 62"
values_7,26,80,"{22, -28, -116, -78, 26, 65, -120, 10, -87, 53, -81, -59, 35, 92, -128, 25, 62, -73, 65, 2, -73, -73, -128, 89, 15, 26"
values_50,29,48,"{-110, 119, 43, -77, 112, 67, -32, -75, 21, 125, -6, -8, -1, -78, 101, 110, 68, -65, 40, 62, 77, -93, -56, -77, 94, -57, 49, 28, 99"
values_22,30,-99,"{-6, -98, -37, 83, 68, 109, 65, 109, 3, 72, 89, -25, 59, 71, -105, 91, -22, 55, 70, -15, -15, -1, 5, -28, 54, -119, -106, 84, 127, 35"
values_4,26,29,"{97, -94, -17, 102, 29, -21, -78, -90, -8, -5, -19, 70, -120, -75, 107, -119, 83, -49, 75, 12, -71, -126, 92, 41, 108, 120"
values_32,7,-99,"{-120, 112, 124, -17, 33, -47, 12"
values_77,26,80,"{6, -125, 94, 99, 87, -125, 70, 120, -127, -51, 3, 52, -81, 24, -60, -10, 32, 18, 78, 105, -109, -63, 36, -62, 57, 60"
values_91,23,88,"{-39, 113, -12, 48, 65, 106, 102, 38, 29, -127, 112, -93, -110, 84, 101, 87, -49, -66, 103, -73, -102, 66, -82"
values_42,19,-99,"{-43, 114, -38, -54, -119, -58, 49, 89, 122, -96, 43, 13, -62, -50, -15, -118, 82, 44, -36"
values_13,9,81,"{8, -87, -30, 56, -77, -65, -115, 6, -6"
values_41,19,88,"{-8, -75, -11, -3, 26, 63, -8, -94, 46, 106, 82, -22, -21, 22, 103, 11, 127, 68, -110"
values_55,29,74,"{110, 92, -9, 53, -54, 37, -117, -88, -96, -17, 107, -40, 126, 48, -93, -21, 21, -83, -62, -55, 99, 25, 98, -33, 10, 121, 116, 58, 49"
values_31,7,88,"{77, -83, -71, 102, 30, -16, -127"
values_66,27,70,"{-49, -14, 84, -118, -119, 114, -101, -99, 96, 45, -2, 25, -21, -118, 99, 33, 17, -2, 71, 106, 31, -56, -117, -112, -72, 32, 125"
values_65,27,74,"{-43, -92, -118, 0, -22, 10, -43, 81, 17, -45, -82, 120, -109, 76, 125, 38, -7, 49, 104, 111, -118, 7, 18, -86, 72, -52, -46"
values_62,27,-99,"{-95, -112, 125, 103, 69, 93, 81, 40, 63, 21, 20, -46, 112, 76, -13, -113, -75, 100, -60, -35, 63, -7, -17, -77, -4, -79, 0"
values_21,30,88,"{-112, 108, 119, 71, 123, 83, -128, 16, 106, -15, -107, 12, 47, 38, -87, 5, 29, 40, 5, -38, -18, -21, 89, 88, 33, -20, -61, -59, 80, 93"
values_95,23,74,"{8, -31, 113, 91, -29, 75, -24, -89, -9, -48, -64, -33, 3, -23, 59, 103, -59, 52, 19, -120, -29, 38, 49"
values_84,18,29,"{-100, 43, -122, 105, -116, 33, -44, 125, -31, -67, -94, -96, -46, -42, 52, -99, 110, 33"
values_58,29,-120,"{41, -86, 29, -7, -62, 113, -47, -36, -15, -21, 46, -112, -100, -20, -39, 38, -82, 102, -58, -63, 12, 72, -96, 45, -127, 60, -25, -47, 70"
values_64,27,29,"{-120, 10, 37, -20, -53, -94, 5, -111, 27, 49, 90, -72, 64, 88, -126, -95, 70, 107, -1, 85, 50, -58, 108, -50, -85, 30, -128"
values_83,18,81,"{-99, 86, -90, -126, -93, 42, 56, 49, -118, -36, 22, 44, 53, 26, -116, 52, -13, -47"
values_94,23,29,"{75, -73, -115, -76, 32, 80, -16, -102, -120, -110, -6, 44, 55, -114, -3, -75, 22, 8, 69, -16, 5, -113, -75"
values_0,26,48,"{-5, 55, 39, 94, 14, 94, 23, 120, 61, 104, 78, 83, 45, -105, 91, -9, 77, 96, 103, 88, -42, -6, -55, -68, -94, -90"
values_99,23,-95,"{-28, 41, 5, -118, 82, 98, -58, 79, -93, 101, 83, 38, -127, 113, -122, -22, 67, 79, -62, 126, -20, -95, 76"
values_96,23,70,"{52, 80, 57, 57, 61, 31, -7, 107, -66, 94, 121, -81, 65, -28, -18, 97, 107, -127, -115, 119, -113, -58, -103"
values_67,27,80,"{-72, 49, 96, 78, -109, -9, 71, -15, -26, 73, -88, -28, 81, 66, -8, -77, -94, 68, 4, -123, 1, -30, -70, 5, -72, 8, -115"
values_61,27,88,"{-69, -101, -80, -125, 124, 111, 44, -94, -49, -38, -47, -121, 5, 121, -64, -82, 113, -73, -55, -120, 4, -86, -32, -52, -124, -35, 10"
values_43,19,81,"{-107, -120, -24, 47, 90, -29, 36, 89, -78, 24, -13, -24, -50, 3, -80, -64, 32, -92, -10"
values_2,26,-99,"{102, 74, 25, -4, -40, -93, -100, -108, -114, -60, -58, -70, -33, 112, 121, -45, 125, 99, 61, -94, -47, -10, -96, 63, -80, 46"
values_54,29,29,"{-57, -101, 21, 95, 1, 101, -122, -71, 8, -98, 65, -45, -28, -59, -76, 0, 105, -49, 114, -83, 123, -98, -6, 114, 62, -69, 122, 112, -49"
values_30,7,48,"{28, 109, 37, 77, 116, -2, 44"
values_59,29,-95,"{-79, 26, 23, -2, -49, -53, 15, 118, -24, 28, 80, 102, -84, 100, -93, -65, 107, -68, 64, 95, -1, -40, 105, 102, -102, -3, 109, 20, -44"
values_85,18,74,"{42, -53, -63, -110, 111, 54, 72, 69, 48, 77, -97, 99, -49, 8, -77, -73, 22, -116"
values_74,26,29,"{110, -23, 25, -118, -53, 70, 118, 37, 0, -74, -90, 42, -113, -15, -26, 118, -54, -10, -125, -125, -113, -81, 37, 117, 62, 22"
values_90,23,48,"{81, 48, -54, -72, -35, -84, 115, -56, -38, -121, -115, -31, 115, 21, 96, 69, -111, 89, 85, -7, 37, 51, 68"
values_18,9,-120,"{-27, -4, -24, 23, 75, 88, 15, 20, 82"
values_52,29,-99,"{-86, -90, -34, 21, 53, -11, 60, 66, 44, -79, 62, 82, -91, -99, 78, 75, 48, -62, -3, -47, 15, -110, -44, 72, -110, -101, 76, -23, 65"
values_44,19,29,"{91, -115, -54, -5, 5, -69, 98, -72, -17, -78, 90, -97, -96, -128, -4, -53, 53, -8, 45"
values_17,9,80,"{-119, 63, 109, -117, -91, 101, -114, 41, -87"
values_36,7,70,"{-49, -77, -85, -96, -98, 77, -123"
values_49,19,-95,"{51, -22, -6, -127, 5, 79, -25, -24, -87, 118, 86, -79, -108, -1, -85, -114, -89, 41, 105"
values_86,18,70,"{-72, 105, 41, 60, -47, -91, -27, 88, 71, 96, 37, 86, 42, -22, -99, 30, -31, -45"
values_37,7,80,"{-83, 58, 6, -44, -11, 16, 93"
values_56,29,70,"{-50, -16, -113, 61, -5, -96, 74, 91, 33, 20, -127, 70, 53, -87, -46, 37, 80, -71, 88, 97, -81, -8, 72, -86, 85, -76, 111, -53, -18"
values_63,27,81,"{74, -126, 34, 20, -85, 52, 77, -115, 87, 109, 43, 37, -85, -82, -116, 14, 22, 33, -25, -128, 39, -119, -46, -62, -96, 101, -25"
values_35,7,74,"{32, -83, -46, 90, -66, 34, 16"
values_97,23,80,"{17, -70, -2, 41, -51, 44, 118, 26, 10, -7, -28, -44, -76, -55, 36, -4, 46, -8, 99, -58, 41, -30, -72"
values_75,26,74,"{74, -45, -13, -8, -9, 21, -88, 111, -18, -34, -102, -21, -1, 110, -65, 10, -66, 24, -24, 41, 14, 83, 51, -93, 118, 125"
values_57,29,80,"{105, 122, -121, 38, 3, -64, -29, -126, 9, -111, -47, 100, 81, 51, -18, 66, 121, 101, 117, 86, 27, 63, -38, 29, -103, -80, 51, 120, 3"
values_88,18,-120,"{-76, -23, 102, -67, 33, 61, -84, 12, 112, 46, -84, 111, -125, -125, 60, -115, 7, 17"
values_10,9,48,"{24, -41, -34, -33, 6, 122, -39, 72, -60"
values_53,29,81,"{76, -73, 28, 25, -39, -69, 36, -24, 97, -62, 87, 41, -83, 18, 7, 88, -1, 4, -113, -4, -8, 24, 36, -58, -8, -63, -61, 17, -62"
values_8,26,-120,"{-2, -57, 33, 2, -25, 18, 124, -85, 70, -20, -16, -53, -98, 70, -14, -128, 62, -77, -82, 11, 36, 102, 0, -87, -18, -81"
values_39,7,-95,"{15, 75, -9, -104, -107, 123, 76"
values_47,19,80,"{-42, -105, 31, -20, -8, -78, -98, -126, -105, 79, -91, -77, -78, 89, -102, 122, -99, 32, 88"
values_60,27,48,"{-48, -116, 53, 77, -62, 15, 95, -26, -34, 44, 55, -41, 16, -116, -49, 119, -67, -89, 82, -122, 48, 94, 67, 88, -45, 67, 48"
values_89,18,-95,"{26, -81, -3, -78, -65, -49, -69, 39, 52, 108, -43, -27, -15, -12, -77, 95, 88, -119"
values_51,29,88,"{116, 0, -77, -10, -113, -2, 75, 85, 111, -58, 73, -108, -70, 20, -7, 76, 88, 21, 7, 39, -70, 47, 25, -118, -88, 123, -125, 21, -103"
values_14,9,29,"{-18, -26, 21, -34, 86, 127, -74, -1, 25"
values_28,30,-120,"{-32, 41, 74, -37, 8, -103, 9, -95, 24, 85, -24, 26, -38, 6, 12, -1, -39, 88, -56, -65, 85, -59, -103, -18, 120, 71, 81, -69, -13, 31"
values_16,9,70,"{51, 45, 126, -66, -19, -71, -85, -74, -28"
values_34,7,29,"{-32, -15, -126, -19, 118, 9, -30"
values_82,18,-99,"{51, -37, 23, 43, 21, 75, 59, -115, 124, -72, 13, -128, 97, 70, -34, 46, 13, -29"
values_46,19,70,"{98, 50, -32, -28, -85, 85, -54, -34, -111, -18, -5, -77, -3, 27, 101, 80, 113, 43, 113"
values_27,30,80,"{46, 18, 11, 34, -79, -9, -109, 5, -111, -57, 70, -19, 41, 51, -76, 38, 113, 38, 15, -13, 61, 110, 101, -62, -44, -128, -64, -51, -95, 115"
values_20,30,48,"{112, 100, -123, 98, -47, -72, 8, -97, -72, -18, 85, -44, -36, 32, -42, 12, -90, 44, 103, 122, 97, -4, -104, 31, 28, -63, 106, -31, -11, 17"
values_9,26,-95,"{62, 1, 29, 102, -127, -93, -114, 122, -105, -77, -16, 53, -51, -79, -26, -4, -84, 58, -7, 80, 38, 85, 1, -9, 11, -38"
values_92,23,-99,"{-14, 56, 27, 25, 76, 78, -50, -21, -74, -7, 124, 97, 28, 124, -52, -49, -72, 37, -13, 14, 91, 96, -18"
values_3,26,81,"{-70, -112, -11, -121, -103, -98, -126, 10, -121, -85, -41, 65, -124, 93, -19, -20, -88, -20, -22, -72, -90, 110, -98, -31, 90, 43"
values_98,23,-120,"{99, 125, -126, 71, -54, 11, -10, -73, -28, -22, -41, -125, 104, 45, -104, 10, 32, -69, 102, 104, -60, 98, -63"
values_29,30,-95,"{104, 59, 105, -33, -98, 68, -94, -75, 25, 1, 79, -53, -18, 119, -7, -32, 114, 25, 22, -62, 48, 15, 109, -53, -70, 118, 105, -128, -52, -122"
values_80,18,48,"{-91, -126, 54, -60, 120, 20, -66, -30, 87, -31, 80, -94, 121, -30, 12, -84, -49, -87"
values_73,26,81,"{69, -73, -39, -3, 19, 53, -79, 79, 118, -102, 30, 18, 13, 79, 7, -54, 28, -103, -42, 61, 114, 74, 95, -16, -57, 96"
