inputName,goal
11,149
19,11
12,245
38,158
81,149
5,233
40,255
70,255
23,14
72,245
79,11
78,158
87,190
6,33
68,158
69,11
1,149
45,233
33,14
15,233
93,14
24,10
25,233
26,33
48,158
71,149
76,33
7,190
50,255
22,245
4,10
32,245
77,190
91,149
42,245
13,14
41,149
55,233
31,149
66,33
65,233
62,245
21,149
95,233
84,10
58,158
64,10
83,14
94,10
0,255
99,11
96,33
67,190
61,149
43,14
2,245
54,10
30,255
59,11
85,233
74,10
90,255
18,158
52,245
44,10
17,190
36,33
49,11
86,33
37,190
56,33
63,14
35,233
97,190
75,233
57,190
88,158
10,255
53,14
8,158
39,11
47,190
60,255
89,11
51,149
14,10
28,158
16,33
34,10
82,245
46,33
27,190
20,255
9,11
92,245
3,14
98,158
29,11
80,255
73,14
