inputName,size
11,32
19,30
12,24
38,27
81,11
5,3
40,16
70,31
23,5
72,13
79,20
78,26
87,18
6,10
68,11
69,16
1,19
45,13
33,30
15,29
93,31
24,16
25,7
26,32
48,12
71,25
76,32
7,15
50,20
22,32
4,17
32,19
77,7
91,22
42,2
13,6
41,13
55,16
31,18
66,31
65,27
62,29
21,5
95,14
84,9
58,16
64,22
83,10
94,31
0,8
99,7
96,5
67,18
61,14
43,4
2,17
54,29
30,21
59,30
85,27
74,31
90,18
18,10
52,12
44,10
17,16
36,17
49,9
86,7
37,8
56,3
63,20
35,3
97,11
75,30
57,20
88,24
10,12
53,16
8,32
39,14
47,29
60,16
89,20
51,7
14,4
28,5
16,14
34,22
82,25
46,14
27,4
20,15
9,28
92,3
3,19
98,6
29,26
80,29
73,15
