inputName,key
11,-18044
19,22243
12,4356
38,-19929
81,-18044
5,27892
40,-2827
70,-2827
23,9877
72,4356
79,22243
78,-19929
87,-15293
6,-9025
68,-19929
69,22243
1,-18044
45,27892
33,9877
15,27892
93,9877
24,13316
25,27892
26,-9025
48,-19929
71,-18044
76,-9025
7,-15293
50,-2827
22,4356
4,13316
32,4356
77,-15293
91,-18044
42,4356
13,9877
41,-18044
55,27892
31,-18044
66,-9025
65,27892
62,4356
21,-18044
95,27892
84,13316
58,-19929
64,13316
83,9877
94,13316
0,-2827
99,22243
96,-9025
67,-15293
61,-18044
43,9877
2,4356
54,13316
30,-2827
59,22243
85,27892
74,13316
90,-2827
18,-19929
52,4356
44,13316
17,-15293
36,-9025
49,22243
86,-9025
37,-15293
56,-9025
63,9877
35,27892
97,-15293
75,27892
57,-15293
88,-19929
10,-2827
53,9877
8,-19929
39,22243
47,-15293
60,-2827
89,22243
51,-18044
14,13316
28,-19929
16,-9025
34,13316
82,4356
46,-9025
27,-15293
20,-2827
9,22243
92,4356
3,9877
98,-19929
29,22243
80,-2827
73,9877
