inputName,m,n
values_11,6,72
values_19,6,21
values_12,6,5
values_38,124,127
values_81,86,72
values_5,67,55
values_40,119,112
values_70,73,112
values_23,11,107
values_72,73,5
values_79,73,21
values_78,73,127
values_87,86,75
values_6,67,87
values_68,36,127
values_69,36,21
values_1,67,72
values_45,119,55
values_33,124,107
values_15,6,55
values_93,56,107
values_24,11,70
values_25,11,55
values_26,11,87
values_48,119,127
values_71,73,72
values_76,73,87
values_7,67,75
values_50,77,112
values_22,11,5
values_4,67,70
values_32,124,5
values_77,73,75
values_91,56,72
values_42,119,5
values_13,6,107
values_41,119,72
values_55,77,55
values_31,124,72
values_66,36,87
values_65,36,55
values_62,36,5
values_21,11,72
values_95,56,55
values_84,86,70
values_58,77,127
values_64,36,70
values_83,86,107
values_94,56,70
values_0,67,112
values_99,56,21
values_96,56,87
values_67,36,75
values_61,36,72
values_43,119,107
values_2,67,5
values_54,77,70
values_30,124,112
values_59,77,21
values_85,86,55
values_74,73,70
values_90,56,112
values_18,6,127
values_52,77,5
values_44,119,70
values_17,6,75
values_36,124,87
values_49,119,21
values_86,86,87
values_37,124,75
values_56,77,87
values_63,36,107
values_35,124,55
values_97,56,75
values_75,73,55
values_57,77,75
values_88,86,127
values_10,6,112
values_53,77,107
values_8,67,127
values_39,124,21
values_47,119,75
values_60,36,112
values_89,86,21
values_51,77,72
values_14,6,70
values_28,11,127
values_16,6,87
values_34,124,70
values_82,86,5
values_46,119,87
values_27,11,75
values_20,11,112
values_9,67,21
values_92,56,5
values_3,67,107
values_98,56,127
values_29,11,21
values_80,86,112
values_73,73,107
