inputName,size
11,23
19,17
12,14
38,5
81,11
5,2
40,14
70,7
23,31
72,13
79,18
78,32
87,21
6,31
68,29
69,3
1,22
45,11
33,3
15,21
93,9
24,10
25,14
26,31
48,23
71,15
76,32
7,4
50,29
22,12
4,26
32,4
77,29
91,29
42,31
13,12
41,19
55,28
31,29
66,26
65,19
62,19
21,24
95,18
84,6
58,13
64,11
83,19
94,26
0,5
99,23
96,16
67,11
61,31
43,7
2,7
54,12
30,17
59,12
85,6
74,31
90,29
18,12
52,25
44,15
17,15
36,2
49,11
86,6
37,26
56,29
63,6
35,16
97,25
75,25
57,30
88,28
10,13
53,27
8,27
39,20
47,10
60,22
89,18
51,28
14,9
28,23
16,25
34,32
82,15
46,16
27,5
20,21
9,3
92,5
3,15
98,26
29,7
80,6
73,28
