inputName,size,a[size][size]
values_11,27,"[[20838, -31970, -30418, 19791, 32408, -1166, 26444, -27234, 21608, 11391, 9236, -3941, 22007, 15633, -1813, 23061, -16657, 13416, 9006, 13033, -10087, 24738, -1264, 26759, 22324, -32717, 22115],[-24202, 25666, -3398, -3030, 21195, -24223, 15627, 13977, -23248, -28155, 3304, -20244, 2963, 10164, -21632, 25362, -9184, 29403, -7858, -32010, -28922, -6126, -26664, -18935, -13789, 30018, -23069],[-12344, -4376, -31426, -2611, -2316, 17578, 31052, -11561, 24703, 2338, 29729, 4595, 3502, -25791, -16659, 8647, 28807, -21416, -27995, 11633, -13760, 2344, 11094, -2744, 2906, -32687, -31042],[23550, 29085, -4577, -25152, 9618, 10888, 31276, 30824, -24124, 4923, 13777, 24699, -25441, -28202, -31093, -11285, 29353, 2053, -4378, -28888, 26461, 17926, -8036, 815, 18557, -4700, -7010],[-12847, -12071, 10620, 550, -18101, 23496, 5098, 16393, -18066, 23317, -26958, 30801, -10634, -519, 8562, 153, -17905, 3051, -25013, -11511, -32349, 195, -23967, -1723, 14673, -26375, 14582],[1599, 11597, -10956, 22356, -13700, -7580, 17427, 16487, -15330, -12829, -26739, -25842, 29798, -19757, -12073, -28354, 13218, -27155, -14115, 7993, 87, -23176, -4735, -10305, -16736, 12509, -18735],[-2768, 4663, 18844, -30660, -8434, 22803, 11440, 10306, -12859, -7601, 7865, 4378, 15405, -4895, -9579, 26617, 18238, -29105, -30525, 4683, 13020, 10282, -2267, -15082, -11290, 3670, 14177],[-3105, 31145, 32377, -18258, -24832, -27339, 6843, -25023, -11654, -16588, 25123, 10979, 22609, -14641, -30367, -5414, 28200, -20364, -28576, -9360, 955, 4439, -16240, -2047, 20383, 31958, -19644],[-29313, -23669, -14644, 23126, -30819, 18385, -15737, -9962, -1043, -23777, 3981, -29040, 14173, -29839, -7994, 28533, -25969, -25669, -16802, 13795, 30348, 155, -1472, -2527, -11400, -12416, -27178],[23394, 16624, -32728, -12746, 27265, 15245, 23458, -27022, 12056, 31612, -7546, 15008, 16153, -23458, -3454, -8515, -32379, -16762, 21980, 3123, 6499, 23315, -31725, 20723, 21860, -19502, 11883],[-21290, -17543, 26351, -4569, 13046, -20677, -18796, 32158, 20428, 29748, -2482, -15797, 30238, -25010, -32574, -21252, 5500, 3838, -31519, -7820, -3014, 3188, 25051, 28696, -15749, 13516, -25346],[26274, 24460, -32271, -20545, 27387, -15642, 30527, 3893, 21261, 2979, -9751, -842, -7525, 2225, -32235, -9617, 16321, -29619, 25204, -5087, -3085, -32671, 22481, -28203, 17729, -20224, 1984],[3628, -6652, -17681, -16464, -16134, -23697, -31282, -31849, 4170, -22988, -27346, 13472, -24728, 14420, -126, 6551, 20559, -17740, 5569, 31196, 32169, -27496, -1110, 20388, -2341, -24542, -14597],[-28593, 20204, -32349, -8690, -1974, 31952, 25662, 22688, 27320, -6668, 19185, 24328, -29527, 22620, -5816, -32106, -3320, 6908, -24132, -24165, -4905, 19859, -4786, 22460, 27984, -14305, -25946],[-24423, -22006, 7713, -25751, 26363, -23981, 1628, -32713, 18640, 2492, 27137, 12190, 11281, 31535, 12769, -22188, -26770, 11215, -1782, 9978, 20344, -7404, 10795, -9181, -14060, -24974, -15036],[-28822, -32440, -9016, 18849, -26399, 11475, 24560, -15636, -8552, 11009, -9014, -10566, 31229, 1068, -12686, 22625, -23833, 8953, -17959, 9544, -10597, -2130, -15781, 18408, 15321, 1767, -14283],[-909, -14959, -5358, -16848, 24896, -3122, -9344, 9911, 1907, -17977, -22127, -24062, 6677, -26926, -9306, 22546, 30590, 29612, 32635, -1819, 13833, 27648, 9778, -20005, 30598, -23846, 5580],[14948, -7156, 25014, -27407, -25005, -25431, -10023, 5426, -16511, 21230, 5676, 11447, 29546, 9350, 15396, 774, -6181, -22788, -13877, -26247, 4773, 23198, 25077, 23652, 3668, 23997, 12042],[-29633, 19375, -25052, 24246, 5175, 4383, -10719, -442, -23712, 10486, -15979, 22942, 8461, -24818, -17798, -8713, -30465, -18058, -30200, -30560, -8713, 23819, 5076, 2665, 141, -15923, -28419],[12589, 2738, -1035, 19291, -24127, -22966, 10652, -29879, 15510, 17458, 538, 24249, 31591, 5691, 22838, -14969, 23541, 27602, -12956, -4700, -12980, 22737, 4151, -28728, 20865, -20772, 30087],[7961, 32540, 20847, -5681, 27066, -22973, 15497, -2624, -11644, -23676, 24911, -6238, -15940, -21893, -567, -5506, 25791, -20312, -10238, 29754, 8860, -28521, -12475, -14687, -8832, -15122, -20388],[-14755, -18536, -7626, 1332, -15246, 14556, 18607, -6617, 4570, -17958, -27994, 8419, 3798, 7874, 15534, -22029, -11461, 11834, 4755, -16697, 8357, 19257, -9139, -8365, 19216, 26162, 20865],[-5914, -31746, 25523, -29964, 3688, -32595, 3102, -14202, 23908, -21419, -19477, -18262, -27594, 21959, 23412, 23801, -21761, -351, -15293, 9778, -8694, -7534, 8339, 9730, -16470, 5711, -17262],[-30926, 24031, -19196, -7589, -12992, 522, -3813, 3630, -22819, 23355, -3565, -31768, -16623, -13170, -8463, 16328, 20845, 13268, -26923, -20839, -21105, 24918, -1628, 26420, -9112, -18825, 9105],[-32401, -12088, 5104, -21526, 7867, 18905, -372, -27012, 28556, 27675, -7672, -2454, 11060, -14927, 5522, 30698, 11613, 6244, -5415, -21804, 11374, -27018, 15230, 9798, -15542, -28522, 29891],[25494, 4279, 3823, 26328, -16904, 2314, 6302, -26957, -16486, -4892, -25751, -30523, -6896, 15023, -1209, 363, 19263, 919, -790, 21316, -3550, 12683, 17024, 3072, -20538, -12950, -30587],[-7227, -2938, -25185, 19216, 168, -17636, -29776, -31398, 24486, -19575, -24229, -17023, -11885, 1060, -4372, 368, 22221, -4377, -533, -17801, -15272, -21157, 13619, 16393, -32738, -32761, 1089]]"
values_19,8,"[[-1836, 8669, -25572, 14226, 26729, -17312, 9205, -13939],[-2436, -27110, 12372, -18269, -13122, 9552, 8887, 18406],[-648, -27568, -16643, 3863, -12454, 13003, -21725, -15822],[8151, -2565, -27495, -26787, -2007, 31261, -5837, -18555],[14317, 23723, -18682, -3909, -20917, 21399, 29278, -9127],[11505, 14589, -8696, 9078, -6657, -13121, -2315, 10801],[-13159, -1137, 11817, -5690, 30590, 11409, 29317, 1887],[-25192, 21331, 9380, 28933, -29037, 26757, -18203, 10721]]"
values_12,20,"[[-8550, 24713, -16564, -16171, -1584, -25280, -12570, -32316, -13473, -10985, -30312, -9077, 24341, -8080, -27393, -23987, 10000, 20813, -13774, -19353],[-31435, 2828, -4697, 9550, 29139, 20347, 2824, 26521, 5055, 26811, 5444, 28052, -28680, 29493, -24201, -17135, 20393, -21614, -2613, 14532],[-21942, 13766, -4908, -1601, -29958, 12057, -23228, -30794, 26462, 13903, -4511, 21845, -4426, 3580, 12424, -2663, -864, -18633, -4070, 31507],[-3251, -26548, -21456, -26687, -12576, 19751, -23607, 19965, -5977, 15324, -23479, 16331, -3785, -23944, -26022, 32683, 6221, -19966, 3380, 28060],[4717, 30812, -19230, 13828, -12776, 17457, 12010, -7197, -26423, -23686, 16733, -5279, 12416, 4186, 5544, -4557, 1812, 32344, 2220, -3506],[-18737, -11454, 24213, 30540, 17894, -5283, -23301, -30110, -26291, 32725, 19500, -4355, -4509, -4285, -19997, 26049, 18605, 13574, -29310, -1345],[-31934, -24175, 25472, 25592, 1486, 23578, -25910, 27182, -13643, 7500, -11449, -12388, -1404, -3122, -31113, 28179, 4337, -26148, -6237, -32283],[-16538, -18745, -13895, 18801, -30218, 21425, -3761, 1973, -29103, 7699, 22065, 17492, 9681, 25269, -5429, 24069, 27328, -31167, -30829, 6012],[-30802, -4165, -5760, 27875, 16140, -28267, 3681, -5970, 1352, 31543, -15790, 3738, 7516, -18574, 16277, -10134, -12527, 21340, 18423, 117],[-22614, -27260, -5790, 18874, 11867, 10998, 4266, -16476, -11231, -28549, 25263, 891, -13959, -15449, -12457, 27232, -4985, 31935, -31086, 23061],[28714, 24857, 9656, -31976, 23093, 24274, -8614, 12127, 336, 32623, 32402, 29979, -14740, 12786, 4625, -25232, 17528, 2182, -13624, -3075],[15874, 9715, -17004, 1456, -32093, 31905, -13702, 23950, 13103, -17374, 8779, 19091, 20110, 20472, 30668, -1255, -5413, 6899, 25225, -16221],[29591, 16110, 11187, -2891, -30207, 21714, 22135, -28355, -17118, 15223, 28300, -19372, -29938, -24162, -8004, -3976, 1585, -26664, 27952, -14447],[5663, 12332, 9352, -11619, 22318, -28950, 5334, 1014, 20514, 28950, -32345, -28511, 15041, 14746, 26659, -31499, -9369, -31687, -32480, 27682],[-14129, 31151, 19838, 8071, 14032, 20538, 1127, -21757, -3362, 16241, 27674, 16621, -7373, -8663, -4159, -15545, 6335, 5653, 23219, -27251],[-2140, -10549, -8125, 28571, 28881, 13251, 23700, 30760, 4867, -9149, -17984, -20813, -9570, 13999, -21156, 18250, -14658, 17957, 9311, 31742],[-29858, -6850, 11857, -286, 25854, 32228, 24508, -26039, -30046, 19562, -17140, -23605, 11359, -14636, 26611, 23808, 1334, 18930, 7013, 14154],[-28687, -32564, -6921, 30931, 27011, 17066, 9051, -23230, 813, -14553, -2009, -4422, 11741, -28931, 6793, -13796, -17855, -6903, -19787, -31633],[3226, -22273, -1122, -32038, 18785, -9472, -14237, -5217, 8029, -8380, 26543, 31076, -20134, 18338, -1754, -19690, -5715, 11190, 5457, -28127],[-30607, -24092, -28363, 13804, -18006, 26342, -13693, 28008, 8499, 23749, -5587, 490, -12378, -31223, -2344, -22840, 27634, -2127, 13971, 27043]]"
values_38,11,"[[-7131, 5890, 18618, -16, -14251, -15375, -17420, -12799, 17634, -13130, -10894],[32649, 28050, -5149, -6360, 28525, -10404, 24527, -26558, -17934, -12121, 32118],[-11588, -5070, 8660, -9810, -27799, -20302, 6977, -32691, 11957, 4242, -4083],[-1735, 32497, 27162, -11500, -29937, -5997, 28451, 9756, 28731, 16511, 32316],[3970, 3603, -15251, -18256, 23287, -27417, 24409, -18473, -1291, -15849, 23749],[-26373, -9895, -20075, 25057, -27745, 10435, 22167, -13660, -4785, -14632, -21701],[-28566, -10375, 30801, 23809, -14594, -16086, -13702, 31943, -10095, -13853, -14069],[-10123, 26222, -6542, -963, 26159, 11856, -1173, 25750, 31043, -32587, -20572],[-8030, 31386, 15522, 26966, 16553, -14847, 24229, -24643, -14129, 5108, 20740],[-28277, 17246, -27311, 6130, 18681, 9440, -24957, -27873, -32438, -6397, 231],[-3722, 9202, 25790, 164, -4161, 30614, -11270, 5891, 9980, -20938, 27280]]"
values_81,8,"[[4849, 6691, 30069, -4955, -14710, 8220, 22328, -4329],[9076, 6922, 24687, 11237, 3205, -20769, -19673, 31697],[-9890, 6368, 7707, -6918, 9502, -13707, 12661, -11950],[20023, -4094, 7886, -30317, -30071, -7601, -13800, -25714],[22470, 22120, -13943, 8175, -9993, -20487, 19830, -23230],[18852, 18584, 27905, 12787, 724, -19517, 19552, 27797],[-11084, 20411, -3175, -32526, -21443, -21188, -5228, 19804],[-30000, -24971, 1868, -3203, -7850, -28004, -12076, -7127]]"
values_5,10,"[[29249, -12716, -24029, -24378, 29618, 17219, -6257, 23104, -2261, -31421],[-26273, 21822, -3861, 32216, 20435, 22625, -23238, 17328, -5098, 23106],[-19085, -11437, 16669, 3306, -5301, 19190, -23982, 25908, 18577, -9178],[-28679, -4578, -30421, -13584, 4213, -21868, -8232, 21672, -31394, 17377],[16636, 5865, 30607, 8116, -29331, -7873, 8444, 26654, -27338, 12621],[-15131, -16797, 19129, -4777, -5549, -23919, 7387, 4448, -3415, -31483],[21265, 23840, -11431, 21948, -2474, 27018, 13564, -1349, -12132, 8769],[-10812, -11712, -27344, 27129, -21222, -26115, 17600, 32136, 22932, -5008],[-5564, -7587, 32091, -18190, -15600, 22492, 31641, 29641, 16046, -8559],[-14597, -4315, 18434, 1746, 30073, 27479, 5098, 25982, 7629, -857]]"
values_40,7,"[[-32451, -30994, -32388, 14378, -17318, -9763, 5169],[-13118, -14138, -26934, -13291, -12749, 2049, -31229],[-27263, 13117, -10884, -21028, -8096, 30590, -1620],[-9049, 32065, -10567, -18462, -22658, -21443, -8067],[20390, 22307, 20076, 5825, 7173, 5348, 5474],[20429, 20005, -5391, -17357, -9057, 15287, 7956],[-8820, 15311, 9610, 7171, 2277, 26295, -7452]]"
values_70,7,"[[-31974, 29359, 29239, -4717, 21405, -11126, 17747],[-25905, -19914, -27827, -7291, 29599, 16025, 24411],[5496, -12357, 26456, 14945, -12106, -22252, 9558],[31066, -2778, 25444, 4549, -5079, -17069, 3482],[-17955, 21192, -23392, -22081, 5186, 11216, -21625],[-31824, 12613, 23817, 10935, 29370, 20068, -695],[-5002, 20445, -12368, -9748, 8361, 9298, -28404]]"
values_23,26,"[[-9883, -23494, -27753, 30958, 27472, 7110, 25234, 18311, 618, 17183, 20566, 20534, -18267, 2418, 24733, -10937, -8115, 12760, 649, -16169, -16830, 13372, -3654, -18551, -7688, -12004],[30132, 29921, -8721, 17134, -32453, 28752, -22527, -25506, -1897, 28961, -27714, -23908, -20135, -31761, 8410, 11526, 27655, -23843, -4338, -6633, 18408, -14685, -28936, 180, 32675, -13199],[5650, 22092, -12368, 32253, 9794, -17967, -10257, -20380, -12556, 31045, -17555, -25752, -9929, 6815, -13261, -10017, -15934, 19198, 16050, 25517, -27837, -32748, 32184, -18445, -1006, -28096],[-14787, -30759, 15163, 14220, 2686, 25299, 28066, 18808, -17865, -4391, 25732, -31613, -5461, -11357, -29244, 13886, -28641, -30166, 6653, -7148, 16597, 23328, 9148, 24131, -12032, -11982],[27789, -3688, -11311, -4031, 25817, -15234, 29663, -28752, 23291, -17216, 1728, -29195, -12694, -30749, -32642, -9650, 21258, 3910, 12298, -6948, 8800, 24397, -21958, 11124, -2368, -24739],[-31303, -12851, 27884, -5130, 17471, -25504, 20792, 459, 16447, 3117, 26836, -5503, -14714, 6995, 13563, 12752, 22570, -6487, -20310, 26283, 28001, -10394, 6981, 13864, -2676, -6651],[-11213, -21153, -29647, 9171, -18487, -2552, 19744, 19040, 2922, -28234, -11564, -14907, 27598, -5155, 28886, -8132, 3269, -16291, 2538, 31108, 19338, -29795, -15965, 28956, -12543, 6499],[-2973, -975, 414, -29777, 23908, -18655, -8133, -5450, 22386, 20803, -26407, 16214, 18318, 19589, 3647, -7869, 23551, 27537, -24238, -6561, 7227, -4411, -3303, -6330, -27654, -28446],[-13943, -7364, 30185, -17703, 13527, 7193, 12073, 26145, 31765, 4347, -11724, -7060, 21220, 6026, -8263, 6141, -19478, -13162, -31454, -14840, 1093, -27032, 8187, 2966, -3877, -20986],[-9154, 18911, 18619, 31253, 28320, 29253, 8019, 5782, 6000, 32175, -31819, -6437, 9301, 21260, 10810, 23348, 138, -1533, 12565, 3976, -22598, 21822, 7851, 13017, 14732, 30013],[-8061, 12731, 7200, -22401, -4087, -1, 7990, -6192, -5295, -8741, 25756, -7895, -3744, 6598, -13824, 21233, -16696, -8170, -282, -32098, 5056, 4368, -26566, 24392, -29933, 8233],[-25144, -9984, -29347, 23330, 9837, -24500, 16951, -6892, -17078, 22357, -22365, -8805, -13523, -23029, -10246, -24055, 20792, 24077, -13936, -7863, 9324, 30885, -16822, 2217, -4829, 16643],[29502, 7587, -2522, -9957, -12827, 12452, -5024, -30173, -31210, 11174, -30154, 12042, 25047, 28145, 5985, -9626, 17592, 12402, -24023, -1464, 18491, -14649, -32025, 29805, 25579, -29397],[8438, -27746, -27844, 31743, 23539, 13780, 31398, -29416, 15736, 14633, -6235, 22110, 2909, 2007, -30091, 25535, -27770, 14597, 30074, 1669, 3367, -22095, 20432, 10240, -19915, 10279],[14121, 13120, -10904, -7105, 11958, 6749, 6867, 22768, -10830, 12054, -15743, -15606, -5115, 6130, -19406, -20885, 16519, -11806, -16456, -21334, 17824, 31795, 2390, 29707, 4913, -4676],[2900, -1696, 18614, 28726, 13083, 10227, -15625, -15035, 18055, 5166, -14331, -20894, -16386, -17852, 8364, 32011, 18090, -23774, -10068, -32065, 16960, -29272, 15173, -13921, 11186, -24271],[-19880, -497, -13600, -4366, -14348, 28916, 29608, -20330, 30995, 30053, 32407, -22457, -17614, 11245, 6539, -21634, -19537, -1497, 4978, 23651, -3950, 21976, 1711, -4180, -32462, 10232],[-19820, 31343, -32501, 5527, -27896, 21719, -3747, 18168, -7316, -6440, 2762, -17248, -29140, 18832, -6141, -16159, 27296, 1183, -14202, 28929, 8410, -27408, -19511, 22693, 12457, -31518],[21923, -12111, 8643, 26778, -25023, -26531, 22011, -20101, 17438, 9738, -8522, -3071, 10604, 1346, -11267, 6094, -30995, -17265, -16003, -25991, 13449, 28012, -9122, 3568, -18975, -6627],[-30309, 27064, -28112, 7796, -22419, -7574, -5518, 574, -1852, 28140, 1245, 25027, 1165, 3685, 4135, -6138, -5066, -25757, 27674, -26290, 31212, -12988, -1588, -1358, -25177, 28750],[18275, -24120, 24869, -12152, 28653, -597, -21339, 19795, -27941, 17968, 7858, -10778, -26477, -29189, -8671, 28748, -20314, 26534, -14814, -9476, 11708, -2239, -77, 31706, 5159, 21899],[28289, -30515, 11493, -11565, -12173, 4950, -16906, 30473, -8712, 16372, 11886, 24755, 20798, 21520, 32493, 5638, -23101, -14175, 10956, -24867, -14860, -26178, 16754, 27726, -13468, -27617],[-227, -28995, -14356, -1013, -31389, -29758, 7997, 14900, 2613, 17150, 17733, 29425, -19891, 674, -4792, -22470, -23027, 30620, -23081, 2742, 31227, -23996, 6113, 31507, 25547, 21706],[-3936, -32207, -23413, 27588, 24014, 2779, 16995, -27833, -2363, -24289, -29399, -24627, 30602, 26925, -32592, 4458, -251, 20403, 22628, 30626, -9369, -18689, 18322, -10043, -8577, 3904],[-15072, -2075, 20135, -5549, -8961, -11661, -31782, 32439, 29905, 28453, -19059, -8513, -26219, 27037, -31832, 20383, -30820, -2126, -24347, -20725, 29941, 14573, -18403, 6968, 1335, -21764],[-18254, 7859, -12870, 10241, -13706, -14206, -30224, -2648, -14398, -6249, -4843, 1, 1414, 13676, -11921, 20368, -19388, 30065, -3102, -22026, 4473, 24355, 21647, 13193, 10723, -8726]]"
values_72,4,"[[32649, 26722, 3448, 583],[13321, 22490, 10874, 11928],[-21850, 14330, -20046, 16346],[-21246, -3860, -20411, -19915]]"
