inputName,goal
11,3
19,197
12,6
38,64
81,3
5,101
40,82
70,82
23,238
72,6
79,197
78,64
87,229
6,207
68,64
69,197
1,3
45,101
33,238
15,101
93,238
24,52
25,101
26,207
48,64
71,3
76,207
7,229
50,82
22,6
4,52
32,6
77,229
91,3
42,6
13,238
41,3
55,101
31,3
66,207
65,101
62,6
21,3
95,101
84,52
58,64
64,52
83,238
94,52
0,82
99,197
96,207
67,229
61,3
43,238
2,6
54,52
30,82
59,197
85,101
74,52
90,82
18,64
52,6
44,52
17,229
36,207
49,197
86,207
37,229
56,207
63,238
35,101
97,229
75,101
57,229
88,64
10,82
53,238
8,64
39,197
47,229
60,82
89,197
51,3
14,52
28,64
16,207
34,52
82,6
46,207
27,229
20,82
9,197
92,6
3,238
98,64
29,197
80,82
73,238
