inputName,size
11,15
19,10
12,22
38,12
81,18
5,26
40,16
70,6
23,5
72,6
79,14
78,17
87,12
6,17
68,9
69,28
1,20
45,26
33,25
15,16
93,15
24,26
25,30
26,11
48,29
71,26
76,19
7,16
50,5
22,18
4,22
32,13
77,14
91,14
42,7
13,21
41,7
55,27
31,32
66,4
65,28
62,18
21,23
95,10
84,10
58,18
64,24
83,17
94,14
0,8
99,14
96,27
67,18
61,30
43,14
2,28
54,20
30,32
59,17
85,30
74,3
90,29
18,20
52,8
44,11
17,6
36,30
49,10
86,2
37,22
56,15
63,7
35,20
97,26
75,29
57,28
88,4
10,5
53,8
8,31
39,6
47,26
60,9
89,29
51,11
14,10
28,26
16,32
34,30
82,32
46,4
27,26
20,14
9,17
92,31
3,25
98,3
29,32
80,3
73,19
