inputName,goal
11,202
19,2
12,82
38,55
81,202
5,137
40,2
70,2
23,189
72,82
79,2
78,55
87,166
6,70
68,55
69,2
1,202
45,137
33,189
15,137
93,189
24,109
25,137
26,70
48,55
71,202
76,70
7,166
50,2
22,82
4,109
32,82
77,166
91,202
42,82
13,189
41,202
55,137
31,202
66,70
65,137
62,82
21,202
95,137
84,109
58,55
64,109
83,189
94,109
0,2
99,2
96,70
67,166
61,202
43,189
2,82
54,109
30,2
59,2
85,137
74,109
90,2
18,55
52,82
44,109
17,166
36,70
49,2
86,70
37,166
56,70
63,189
35,137
97,166
75,137
57,166
88,55
10,2
53,189
8,55
39,2
47,166
60,2
89,2
51,202
14,109
28,55
16,70
34,109
82,82
46,70
27,166
20,2
9,2
92,82
3,189
98,55
29,2
80,2
73,189
