inputName,size
11,20
19,3
12,3
38,32
81,29
5,6
40,19
70,9
23,27
72,22
79,6
78,32
87,2
6,14
68,6
69,10
1,21
45,6
33,25
15,20
93,15
24,6
25,18
26,20
48,8
71,12
76,25
7,28
50,10
22,15
4,14
32,20
77,5
91,21
42,18
13,5
41,22
55,27
31,5
66,14
65,15
62,5
21,9
95,9
84,20
58,28
64,5
83,14
94,32
0,11
99,8
96,19
67,21
61,8
43,16
2,6
54,14
30,24
59,14
85,32
74,2
90,23
18,2
52,21
44,22
17,16
36,16
49,6
86,3
37,31
56,30
63,27
35,17
97,18
75,4
57,19
88,4
10,14
53,6
8,15
39,2
47,32
60,31
89,28
51,32
14,3
28,17
16,11
34,23
82,12
46,21
27,12
20,21
9,25
92,32
3,31
98,25
29,10
80,16
73,23
