inputName,size
11,27
19,8
12,23
38,4
81,6
5,29
40,19
70,21
23,18
72,32
79,15
78,14
87,3
6,29
68,31
69,12
1,2
45,32
33,3
15,8
93,10
24,26
25,29
26,15
48,13
71,23
76,31
7,20
50,25
22,18
4,20
32,8
77,26
91,30
42,8
13,11
41,6
55,15
31,30
66,13
65,26
62,16
21,4
95,26
84,10
58,30
64,5
83,28
94,30
0,32
99,24
96,7
67,11
61,28
43,25
2,6
54,4
30,8
59,30
85,28
74,26
90,26
18,16
52,19
44,14
17,25
36,8
49,4
86,13
37,9
56,13
63,9
35,23
97,2
75,22
57,3
88,18
10,5
53,16
8,16
39,26
47,29
60,18
89,32
51,9
14,18
28,25
16,25
34,23
82,10
46,21
27,11
20,30
9,14
92,2
3,12
98,19
29,30
80,4
73,23
