inputName,size,a[size]
values_11,15,"{-608493563687915964, -4215983606264264020, 5461188599479967305, 4169779185305118626, -5376546972036142839, -2177348661211985805, -1281174131646150653, 7753517514971327957, -7771146473955917176, 3470816651171941271, 8996136799122895174, -2869245254752103748, -2278841284157858862, 4444745578793095742, 2561025782466232318"
values_19,28,"{977510634579525224, -4824672187351588004, 329957833503057332, -5721651629330373044, 1006789915543543294, -1558600380300772004, 2875670704249353304, -3393497030791058250, -6246135653223873075, -4637910333252041336, 1436200600920073061, 9109329578958863869, -7955826937058938343, 7654067475769666905, 3955617708374255978, -8522182506129197188, 7898139076046692287, 750346219366457561, 1964246635625434618, -1531928909968484139, -6252888704676136376, 737814899018786407, 129651876938966391, 8476890014027729843, 5761250058438814566, 8146436487257171123, -6437135912999693424, -7208780413997351193"
values_12,30,"{5812871741927278773, 6353514363395970523, 1995418633884621766, 431022342493723771, -1994252679900175225, -4035189509808015053, -3809344685596094665, 3636345216971507679, -1067093690728039417, -6376861267925965992, -9134554825132505407, 2826431424765873969, -8429187931118236192, 3665387218612393301, -7801395439203062916, -6262471017133754433, -1461543446603549478, -8818015587047695980, 5144852746817889151, -12026096711693397, -3531029713016798991, 7779976679718997128, 2565864124116192541, -1260414238137936136, 4708966646779471502, 2613473099751599567, -4151797214686493696, -7395456817768050606, 2194935219347704246, 5877710349065575781"
values_38,28,"{1260492089885439132, -5083530905744007882, -1870940889643011318, 6324514208621509726, -5824377655535245959, 5926326658361683467, 5642284296837445341, 1245859585991955433, -1019929264691607497, 7542717891433477720, 2905962381704746064, 1982365188706163858, -4740092605407718570, -6472261606412263138, -6167902902780247253, 609793610281521729, -6671311466643186169, -1079748980058633723, -3136596944516880372, 8275787165269525139, -4550692745905012546, -5098202157151403097, -8628721491441048606, 8880176841716082827, 7741486959742872384, 1894721445427015436, -8010206276070796760, 4898043667145976435"
values_81,27,"{5543453374369164770, 5062548569646045420, 746947364221394233, 1959383831161636195, -4336536930642026044, 8381161706868176970, -6505069388511007518, -6580152864578953002, -550758568296534674, -7123767798109069902, 3675365807454706371, 2568720148621563050, -7771963712549640343, 3209733553481626110, 4800463415274914049, -7726137048333584224, 5159602334275579787, -2560475751282624842, 3729080197060745459, 6715621428785797184, 1221058346818992584, 5717853582977396810, 1761576270758029896, -1061071143666585291, 7550763542627644361, 1913841849989472437, 3912295163951638219"
values_5,23,"{635667489825164882, 9202836401565392364, -2179793750196299036, 1113387449549383626, 3239380272597071459, -7902783583239044491, 240977072841267709, 8086583193365558344, -2423798073686929180, 1660430176843533369, 1208791331636227662, -2700353158962204606, -6520692078296876398, 9060985019835513959, 7378947666286558021, -9061940774473782026, -383336967914210047, -4536720718558564921, -3718794621242046603, 4250336981572906453, 2589734718905861535, 5464665140996582844, -2205551839080112285"
values_40,24,"{4656376824584545241, -4828277805426104214, -377109918668083654, 3293938211014403021, 429743373226492444, 5884546948101942860, 4089765931145203092, -6060429148202091620, 5290461570936901716, 6684654174732982402, -8653629760292364579, -4066588715370177638, -3483069579181570756, 6652166775293717746, 7746028242685483375, -4911895363243874247, 1208314342741700519, 528693552312998113, 7372211715392373611, 5776185465049674926, -6908288734790816452, 2410529756859525603, -2949853701533665045, 3165406964286559377"
values_70,3,"{2727284273603078265, -3631078147500244702, 652844271152427498"
values_23,28,"{-1946033970296701955, 6721500146286458486, -7968275861386797260, 3997257183845351751, 3553225608883559109, 4531029883890890389, -6947512391541004292, -911243858326982751, 4173587006456097312, -7018029423381115528, -7251235982259629781, -2836436050189104061, -3913836868533115844, -5955877693875658625, 777161199343992515, -8160332317989872584, 948537955995683250, -6521570474603197575, -5331018373109732505, 3755808918761873541, 280864280841098993, 4239100574495438381, 5786100540367390043, -2214448703602976175, -8142270375164190304, 6446012481874308794, 5198107016146634780, 6902180167054688928"
values_72,23,"{2553184546361408832, 1380224786433866431, 2426651839436860527, -2507316814309137016, 2051045284381830773, -610459004293972632, 7727844601904653946, -4602064607181954915, -7864045756714803111, -5017399199884304438, 1614481383892898815, -8824870930282658197, 5493570516575246515, -5767291731706032857, 2990409739834777699, 6835635047262515054, -7939296571647262104, 5201757030936481492, -747923914519353668, -6021737831768666863, -3173789531954445384, -2083490282737079228, 8765365572448977855"
