inputName,size
11,16
19,32
12,25
38,23
81,29
5,27
40,12
70,17
23,22
72,20
79,4
78,4
87,30
6,5
68,19
69,13
1,15
45,7
33,10
15,9
93,21
24,31
25,32
26,11
48,21
71,7
76,3
7,17
50,2
22,31
4,25
32,27
77,16
91,31
42,18
13,23
41,14
55,17
31,24
66,14
65,11
62,8
21,19
95,6
84,12
58,5
64,27
83,20
94,11
0,7
99,32
96,9
67,19
61,29
43,4
2,18
54,14
30,9
59,24
85,10
74,26
90,2
18,23
52,13
44,28
17,29
36,26
49,32
86,18
37,21
56,11
63,4
35,13
97,32
75,32
57,2
88,13
10,24
53,32
8,31
39,6
47,6
60,13
89,31
51,13
14,16
28,28
16,27
34,9
82,20
46,25
27,11
20,16
9,16
92,13
3,21
98,8
29,14
80,23
73,28
