inputName,size
11,15
19,12
12,8
38,11
81,9
5,18
40,7
70,7
23,12
72,20
79,20
78,3
87,3
6,2
68,3
69,14
1,19
45,2
33,8
15,8
93,14
24,4
25,5
26,2
48,11
71,11
76,20
7,4
50,20
22,19
4,9
32,18
77,14
91,20
42,2
13,7
41,11
55,12
31,10
66,5
65,6
62,9
21,8
95,11
84,15
58,12
64,7
83,4
94,6
0,12
99,18
96,12
67,12
61,6
43,7
2,9
54,15
30,5
59,3
85,12
74,3
90,9
18,6
52,13
44,11
17,17
36,16
49,4
86,17
37,11
56,5
63,19
35,6
97,12
75,17
57,7
88,7
10,5
53,5
8,18
39,18
47,6
60,12
89,20
51,11
14,11
28,5
16,2
34,16
82,12
46,12
27,6
20,11
9,12
92,16
3,3
98,17
29,9
80,13
73,15
