inputName,size,a[size]
values_11,26,"{5035764697576424795, 862945159150442373, 610428002847982738, -8189478504839272074, 4688479821642503239, -1957518067263486154, -8420787623555973906, 1690294008797987605, -6415826988375364087, 3683836840650991647, -6180386531534129810, -6332935091517393252, -3123498202652567886, 3664617427746414742, 8594643286949393176, -7333287378949971207, 9143508373456576444, -5450437046207048192, 1252450708238612047, 1257814440580436478, 9033101554317311967, 7812524902344337324, 1804215983237093725, -7608203880867081004, 1629917251231328615, 6648358016923931446"
values_19,27,"{6043654535700471944, -5881243413375222176, 1385135521030264564, 7004349160400495298, 813882671577658503, -1678594157449020679, 4481217813530172005, 2678864260908240238, 5507798369565597960, -4996720721779893426, 7255686212954995702, 6419735796030667497, -3649382668773014026, 751917298598842141, 6230338644683003006, 3370380047173352567, 8931165059700530262, 5650431761569905547, 1298121027543513069, 1174903911774590326, -6809193124302962558, 5573656938912916351, 2820653340373889377, 8844112001727689871, -2954597509069691137, 6939286140498260505, -8807774578048552483"
values_12,26,"{-7780790514904421144, -8378272554600405870, -1970160397711244766, -8898791724871809620, -6002369653219406028, 5570092903531037021, -3372495610526621736, -6959896011534564998, 606313939329373151, 3660906343375351870, 8744851172722001318, 5697789984304889284, -8389797414670799565, -8622349400280604721, 1731106917444869148, -8188738250929540379, -743201225925928134, 6430353656016383999, -3843980712294445484, 7071062650618026881, 4010746799468655709, -5945347140268104954, -624588446055230260, -4186791103992611500, 6204490246910581643, -6625182731630927868"
values_38,21,"{-3996485601665768573, -277229003341300468, -9166548383976831301, 7759510376417606845, -3405987671888435149, -571217320990302502, 8274110858346799079, -1706391994224598730, -4811444839888617666, 8488973074473298904, 7057373258038722437, -5614370541738880256, -948219163898828561, 2530353638830277909, 3758516170437802560, -2828701345933051671, -989592125069739456, -2302001814106866861, 202033870732450799, -4997219816571257555, 1844666426693879654"
values_81,5,"{-7833747061726947159, 3112085187188751177, 7274087595302329556, 1282126649721238560, 3303280345041522040"
values_5,12,"{-6920502325233994858, -617935212298308215, -3430710983220394324, -4793340520708010732, -4346094235818348611, 3554847251273091410, -313666402513971453, -1255093021846776308, 6766612446505412588, -5727024654084245615, -5145247778956417735, 3501019094228617113"
values_40,14,"{-696948163661017370, -3733366266203057185, -8909767706429897591, 5899768429564561780, -5999191995842480099, -3376663631867679747, -3353755293838106463, 7759258509335745057, 5808162210777149138, -7554652634995806743, 5333728067966270881, 3415343047214921380, 1289033744287928493, 8019525286220765751"
values_70,15,"{-9189573272467384886, -8255148600027031315, 4867743162139650822, -7372382102138065822, -8683482248574558753, 9193142018528965943, 2945430747241534629, 5167084586502013682, 6027372599720251831, 1133949362053934895, 4848387381223698677, -8443751622878260290, 1363248494015194474, -3687190396938526682, -7599343479857002637"
values_23,32,"{4647725424881173567, 2357507867737405173, -5936504663613003243, -4084371529871305180, 5852069710955647972, -8686764409057862213, -7553059393224425908, 8520717806794235685, 3140864632838575195, 4555612471490449557, 4677763854460174548, 3955650838168857675, 5454016960369458258, 1975395291550075051, -2715381988467147469, -1040881382230471434, 1491382609409770894, -9032493314988658762, -7008031243479101267, -7358313257030997944, 4120952655965751341, -837357329755261631, 1806669169110998459, -1191908298630125616, -7148092308676106714, 627067001396835943, -6907891651426928045, -4502886080577244265, 8278658472744889637, 6378625401107222812, 3223846943351288366, 7069127275192710975"
values_72,10,"{3344214862494865296, -7513948788818178654, -7408049535432552619, -5215760510672287616, -8921793911174568029, -941051666725695012, 4897528264253837751, 8963875255545704032, -992765007323684016, -8972512757735893121"
values_79,27,"{-6155538156974172629, 2428918595975308675, 5355995153853137223, 5324972047201145578, -9152136812121716962, 9012702064110420720, 3386590217841726547, -8621984581741006625, -932854193093971846, 7841027202424704834, 2304163462740457177, -5704219076889953144, -2154894094947241591, -3819398999306003998, 619628169676060687, -8198832420009223499, -8677451408325145098, -772066826562492737, 2044765983938692048, -5486275232963179741, 7656090545200447786, 8433723646286358124, 3884180251024068980, 7827647722147100266, -5744136803951040925, 3216176382616075482, -1597241604663675609"
values_78,23,"{4017322064624784613, 2346198284845068124, 1994358703578576915, -3052106895402888157, 3254958402872255106, 1459289556424393056, 2392931981330303225, -6421577981152990464, 1435497657535414300, -1454505067441229376, 8673296379342682309, 1331107128658043629, -2834954464007468471, -514749446765918561, -1111062816935262435, 3314650556242641628, -693719763184750663, 6078679659484632669, 5840820258152274480, 8892267696847673353, 7938751996637547471, -1240339739044231369, 6556195889606571583"
values_87,16,"{5727035045170846104, -9090841613142228790, 594763111815327706, 3272270026963364555, 3435238745771164289, 8629613055614547019, -6341007559168018297, -212868499793885654, 2015898229946681384, 3263139883496272072, 5146702145830141349, 3095914943951194549, 1861590492614633805, 8271085669780814302, 914932183285556688, -6501194744052026542"
