inputName,size,a[size][size]
values_11,3,"[[-928829414, -1724025299, 326271969],[764639397, 1211349816, -2137394306],[589104745, -1468829086, -1514063540]]"
values_19,11,"[[1246125912, -1464232657, -802197527, -430246523, 1152792044, -516636213, 1817093301, 1644701487, -1218774550, -278370885, -1851674064],[474899999, 1390782631, 1834533542, -20639351, -2064039449, 1718932530, 504044567, 1434711412, 182388337, -2121563288, 337756153],[-1317778739, -1931606869, -1107408239, -898054477, -418570211, -1616187616, 1931662328, -78837278, -598606316, -420327807, 749809955],[-2133214742, -335865351, -1893721363, 2023481320, -945673778, -922802733, 1752942423, -4546815, -1874978324, 257207751, -1447085891],[2101421528, -1124791882, -174823848, -1723147927, -881904996, 1743959373, 850810287, 435702848, 793656792, -1353789451, 1613587851],[-281569914, 313869980, 167883583, -351124700, -826668246, 2005294358, 1236791538, -995396814, 1337742224, 1891936496, -25169085],[1537945635, -203098884, 1033217370, 878181743, 1277288121, 90618080, 1715241499, -221551129, 1829317602, 1369802257, -691220860],[765066646, 15596773, 1734402385, 1998363198, 1422009852, 852039415, 1967232838, 274125825, 1170245795, 995866731, 2055716295],[-116941259, 237544078, -839727507, -298312246, 575632498, -1609320950, -1491928334, 1087023692, 1460174422, -1177609757, 280993495],[-441673622, 337556752, -1095230963, -261236087, 771615573, 1080577914, 326759019, 1840579094, -347901292, -1222760933, 1124146572],[888872069, -996356976, 1604845428, -1946291754, -965782999, 2031735516, 46572453, -1105833550, -967969051, 614123109, 113401980]]"
values_12,22,"[[104234000, -177741540, -1541328136, 1399600567, -1243015705, 1039909803, -1545591747, -1327830736, 1953254143, 12587651, -1593747724, 852981939, -433073803, 1846134525, 1358013381, 1174610702, -1772629192, -1115032389, -317899303, -1898691345, -267516157, 519080725],[-878589555, -552012755, -2092857666, -672065737, -491159053, 2029334140, -558650398, 1728091376, -1171712303, -1909305491, 1757202558, 1696352428, 1186919580, 1224840334, -1730397209, -612985037, -534890387, 128064264, -633736931, 969597489, 836668241, -716174682],[781855940, 1584162627, -213600168, -999728842, -1531543185, 2009572831, 654975978, -1132194510, -1206240689, -1181776562, 1243799422, -219444131, 1295493663, -2059834954, -1694619282, -352864239, -1023494314, -70072673, 415897067, 925867624, -1522363931, -1996943938],[-1011632845, -1610270491, 959160028, 667252080, 644272499, 1794478899, 652355647, -698012826, -1662518324, -2024038392, 1354449761, -1288373167, -799414168, 591530192, 1568213282, -1144486568, -992561370, 631633395, 2080663973, -1881974430, -566811180, 157779242],[-1390782756, 2020881685, -1191808676, -1667350586, 1074205908, 1478306113, 511863621, 434959773, 1016354893, 436398309, -1004947798, -1732921097, 1591467144, 170920561, -114035392, 1707366006, -240270801, -1824740521, 2017743476, 675623510, 1375675384, -917171342],[-1406832793, -2032834959, -2047366091, 75759878, 710249716, 2071615556, 1397311454, 100778184, -79117921, 364791824, -437853778, -332308712, -386020706, -604165952, -1608862002, 577185458, 1714848223, 676946110, 23215793, -763630243, -440358680, -1225257043],[-268315081, 1752438696, -1571084196, -137093612, 1795325926, -1523858949, -1716007641, -1098750483, -84597652, -269250026, -363867159, 843390181, -1407282515, 89644101, 1861807710, 545810298, 2095760797, 2015370240, -1048348900, 1095894431, 1508619295, -2084326013],[163341530, 1807166858, 395343830, 1143896974, 1532621677, 951509649, 1859463772, 174329883, -28366503, -965204053, -365462237, 2137229997, 1037505946, -193255339, 1800313626, -2077486838, 1977398142, 1712770189, 1866674576, 368863676, -1496112619, -191394549],[-353295722, -61930157, 1873598211, 1850198961, 770201187, 1089508987, -375890730, -1061727185, 683227759, -1910875173, 449833876, -78343993, 317525820, -1173409743, -1146965577, 659501937, -99496610, -2002239085, 1496290367, -1910027161, 1045894462, -161562853],[-226912504, -1552895016, -910501091, 241798896, -278130378, 1764391048, -323078228, 1416244717, 406432897, -2040179598, -1615832333, -133312369, 804956947, 1755755170, -935987566, -1571621559, -661803103, 1823742197, 58713750, 674929921, 1665894335, 445178652],[661542886, -1805700438, -1755655208, -831538608, 960222348, 1937030643, 963215747, -1845961877, 141022772, 1214509665, 624823108, -1419154910, 924630471, 903407213, -307895808, -804697804, 1059501444, -347618905, 1289110518, 1892629949, -950649273, -699139959],[835343330, -781532229, 1751998654, 1660065479, 1977172505, 1964640401, 2076498650, 379429790, 1216910902, 118642307, -42174172, 588902154, 1283458614, 1451528653, 1289045525, 895689232, 1320681119, 834468090, 104717640, 899609135, 1719852066, -531415289],[252270859, -885370492, 304054683, 326786079, -1103885006, -1677291823, -1386205419, 411812636, -1752111779, -229128456, -643777682, -1989076921, 1205699454, -10044999, -1511458408, -1229387453, 1042568797, 713103406, 391683577, -484405828, -982999021, 1457623149],[592689494, -2055181340, 213866563, 1571169919, 834390766, 1945833230, 1860644581, -998613982, -902349142, 1231715171, -1444509196, 19021553, 798199798, -869535191, -631169677, 1082436062, 1588619390, -1154015379, -693199134, -868270996, -1939768831, 150042736],[1970682657, -1271748057, -1965128660, 1364409540, -1495866473, -5042327, 1491016587, -25003590, 1716618785, -550617486, -196856824, -1343233496, -1920350213, 1204543861, 866887444, -1387719424, -363248002, 444124371, -2124454744, 1736638577, 76093009, -1530573849],[2024231141, 908055360, -1121967860, 219369559, 693396370, 202473585, 700165516, 831948654, 1859456292, -289859666, -471116742, -1937197458, 935476590, -1517353444, -2018685380, 51740396, 1394991644, -766289911, 1660572108, -135381422, 111061163, 19340422],[1234654098, -69097990, -1889603145, 370440839, 1343116083, -1431006421, -950364982, -175422324, -556340354, 80478719, 1074826983, -1148195840, -23206596, 1869812943, 1641923853, 665118474, -98546149, 1620586300, 1153262515, -291881265, -1265423010, 1399926402],[821708214, -1287641104, 1296806344, 724839225, 1234892898, 1809859670, 1802769072, -851955419, -1923768672, 51896098, -357911973, -109764331, 383953094, -1961724003, 1719746189, 764788977, 1134632265, 1260879341, -1028584312, -379114530, 1117395694, -2091278516],[1388831044, 1105162761, 1485367133, -111003046, -1716128643, 1833856670, -229442187, 87485440, 632523719, 2102765664, 1589591287, 787283065, 1123597970, 834511311, -693897319, 656982060, 408595389, 848715673, 964398207, -662218593, -583603194, -1601459594],[862202518, -1683637419, -929751920, 1609775029, -315441647, 1824382445, 1698966048, 270614045, 2057666557, 1549304251, 1706943169, 1433817524, 2140675428, 205862821, 2065032445, -52587622, -1646809049, 1232679350, -669185056, 2016781684, -2063547030, -540319490],[66041076, -1454882152, -169612356, 1663696195, -1836686662, -1350439346, -389251254, -567620686, 942532516, -1970499882, 1873256432, 1430372703, 184854044, 1888922348, 149406696, -811842109, -1823565501, -888452310, 791772487, 1495841951, -1441420473, 466041546],[517881006, 513217148, 1279112685, -1001183188, 730985414, -666222289, 962045085, -2116550614, 1343246894, -1702679588, -1754656927, -1893289336, -290039359, -2044915191, -1608777438, -1111940353, 322756466, 189116586, -1805204317, -1909907657, -1625787217, 981270208]]"
values_38,10,"[[836318189, -1976167614, -1523529397, -1224035546, -1339488967, -299954052, 191527087, 810144181, -1454868141, -869468468],[728386104, 1178587838, 2128300929, -1965358155, -525573610, -1997106371, -1811172193, 956634565, -439488364, -150068401],[-403083765, -433029396, 1059434173, 278292740, 800670436, -995617903, 821791835, 589877165, -1772620783, 1701392263],[-787218708, 564731310, 1266485536, 872210214, -1318715916, -1108458337, -774960175, -1634011316, -895818558, -644489885],[1941095112, 692680908, -1120913617, 1471935817, -724609194, -26479017, 198483756, 1112526249, 1699766373, -329148493],[1782948840, 2063991135, -1467217884, -201700408, 1850004848, -1292690888, -1310899895, 913859720, 837015106, 893907844],[-1925188762, -501591024, -1540397865, -1265617684, 772718959, -1040767138, -1303835116, -442558300, -1669708254, -1328709791],[1375830980, -208810733, 482472272, -1455401111, 2037402105, -14033319, -839107559, -1554789813, -928864913, 81762788],[1497387733, 282124982, -314804918, -250926200, -514441628, -1313241287, -1341143637, -561831162, -764716175, -72804235],[-1702892963, 1758869323, 565633283, 1105250217, -987072740, 1256893329, 814991640, -162559599, 1230212494, -827118008]]"
values_81,18,"[[847832181, 517955940, 2137707520, 1018456250, 1749441546, -1366768168, -1970681548, -196906259, -507650641, -707623038, -2111814981, 2135904930, 157987790, 792791605, 548168302, -1131109681, 592106785, -1805002432],[-914020673, 725568240, 1165471664, -1123979280, -598764655, -133662129, 370845491, 1264128659, -1009076710, 1582251340, -897513641, -1654435211, 1809349803, 1004693864, -880632203, -790876558, -309914764, 2052685509],[-384274770, 1531454315, 193538821, -1435495366, -942194113, 348327452, 424050263, -2048780916, 535199272, -1996078866, -1100457792, -922860070, 891403405, 747184015, 1920914063, 1309776024, 1388513632, -83470782],[-2105881586, 1874267249, 23639299, -1592833526, -1200465655, -559630103, -312135707, 977836641, -1183163705, -370176451, 802342409, -1078564683, -2085535133, 699072164, 1426632512, 821641519, 788548071, -1225898537],[1671988409, 1475765608, 502614299, -306604613, -440697674, -437263001, 908496881, -727586291, -1725959865, 368743192, 102830539, -1001726307, 362384732, 1211494554, -263607145, -1880985237, -932319996, -1032589691],[1909794936, -1530621057, -1504920501, 929957969, -924786189, 1301825220, -121612566, -1198744940, -1415683065, -293796401, 1169371811, -1767595111, 1312887573, 567541284, 317400811, 67746153, 93645143, 1743805515],[745508246, -951262399, 1004108187, 1853259237, -1373776577, -1894472587, 351355647, 2134319966, -1989873920, 1027088504, 456486201, -1265814263, -1629025377, -1089554176, -2118919686, -1574446625, 836376796, -489101679],[-1181467903, -1390285618, -15908460, 1443827895, 2016245243, 373971800, 810066407, 1951093455, -560913311, 1413330861, 839397986, 535496504, 535444183, 1150528901, -1041775637, -1990772347, 1037223325, 1540852620],[-421375213, -655842939, 107732448, -494528366, 373289333, 2051204930, -796408006, -938917803, 463075171, 1958075290, 1968607864, -573972537, 1706638972, -436671756, -1400993346, 42384602, -1985008613, -15157994],[-1083573313, -906320489, -1658804105, -412805944, 1673487324, 1131428057, 1325146401, 338915993, 1211677094, 2081883057, -70157912, -1484623970, 145669251, 1954098512, -793748266, -495752882, -1050164228, 769257096],[1230077820, -1872983716, 899628420, -2046973575, 240007440, 1444408988, 1102741147, 1264131185, 174081549, -1198474696, -1235730193, -1863156760, -1913317556, 1261347023, 53110688, -1418952504, -639293070, 521728275],[62422950, 274806114, -1542028158, -179212992, 932370838, 217324299, -1628668754, -1325279440, 1653662808, -734637616, 1952694328, 1563000715, 567390033, 82209950, -1052701641, -650645149, -551880010, 1304492546],[622887482, -1825854884, 584979813, 756910128, 1227632940, -1308630589, 266019051, -818410279, 1590762931, 337023948, -271985480, -1824618585, 95485726, 1350231192, -1067786625, -1753654224, 1994915639, 1481749771],[-818432667, 1808344296, -344545239, -1739209433, -1487271279, -1005625528, -1021258983, -963096290, 408353509, 643063606, -1504234756, 87412033, 1041419958, 53064337, 392843381, 506335750, 591247476, 1954579581],[1343117469, 1997693085, 652145871, -1389390562, -1622169584, 1867085455, -893687898, -1627153652, 458801313, -868734735, -1251969705, 395239852, 579490876, -1968925825, 570036100, -1128595399, -374022606, 1501662803],[-288887697, -404265273, -1113655344, 625910035, 1573128675, -1153014777, 1398110208, 344097799, 720585191, 999434522, 1932704035, -647161699, 2095495253, 732188900, 1236616764, 827036130, 2084331069, 166365625],[-1270170677, -657669052, -1239874086, -2127427730, -1374555519, -728790615, 154278617, -999255061, 1670364909, 1215687560, 1387936755, 1902362529, -1662538527, 200583157, -197954673, -1900645474, 1523216066, -1819392179],[-920029597, -1060345934, 1378337769, -1934013123, -1939799212, -124282778, -8080126, -1189026440, -1715091354, -1965391913, -221634339, 1098845384, 1662854085, -1702877612, -525971911, 512079213, -992322451, -1131819924]]"
values_5,16,"[[-1435715405, -767515705, 898442410, 1424231902, -1845647668, 1494966990, -592149935, 491634145, -1545720864, -1796444999, 681507505, 1632335260, 1053914615, 2034031635, 1674409924, -551398884],[-1373356737, -38462325, -1124121421, 404069931, -2044749968, 1866699254, 1560517714, 2054076271, 948915342, 1182960798, 2099478024, -753147703, 1467129941, 440898623, -799146184, 944959891],[453159155, -451920111, 1803906449, -480798217, 193387318, -158976010, 983806570, 1266640726, -463649373, 1206312867, -446439372, 1710608502, 1905224218, -2061526411, 1223522961, 750925193],[-2140009842, 88086892, -1129362281, 1566286845, 274864014, 2093009938, 1544336569, 618556305, -2114463577, -2130568669, 611360522, -593928137, -1489826102, -225863411, -1528307472, -1412067115],[103205480, 765503214, -384109936, 2106857359, 1274228080, 773458997, 1895857742, 2067988473, -843991488, 1733970169, 337165422, -112359004, -502897427, 2022548541, 1946062889, 1197060607],[220091069, -836468473, 2007693189, 219921873, 1630118695, 1313746348, 2112014875, 1553794631, -1721993817, 2008244480, -493581883, -1522949534, 2096147707, 544174492, -680422706, 1278034881],[1293349873, -1765984543, -1254964199, 126073414, 445088127, -33206649, -1004051959, -1262387801, -927699420, -514112241, -1956652193, 1627709698, -886868569, -1337789215, 962051932, -1834416627],[-1515541074, -1901467859, 1125467564, -408671713, -874670599, 600387296, -208912488, -1000977319, -373406107, 1847709007, 575396062, 1282255232, -1019048408, -992835075, 901793707, 1547580522],[1660589586, 1102987021, 1535621452, -827873179, 1078034405, -1024439528, -835794773, -1869993525, 141159560, -1272702172, 918632293, 1287888582, -615635108, -1280254015, -411791332, -953201449],[-1539180074, 1547643760, -1852360428, 1002167657, 440947247, 1951163585, -1222822275, -1734147896, -916616830, 1878549021, 383017950, 984687435, 1442611621, -456463330, 805955117, 502829773],[1461245629, -190379715, -387198971, 1726658482, 1893384791, -608754779, -507195448, -1614548883, 1518350187, 1030803278, -255153506, -1632288531, 1568303878, 1988828482, 1107116732, -1875493019],[-2083290623, 87777622, 860306564, -375393423, -938569620, -1531191974, -158631538, -869505665, 2049285367, 1623188003, 1291380354, -827402842, -609589487, 1863288221, 1335034468, -1712533274],[-97693853, -1864169718, 1548951514, 847239435, 1052422785, 374565406, 620139360, -1213058662, 1441381775, -413837826, -1054909404, 711244535, -2109030617, 1662734741, 1295552775, -677146539],[1892269334, -249538551, 1047684040, -615789010, 2061533701, -1535435275, 769498275, -840188924, -1983599545, 1317862473, -154292616, 1955546394, 408507532, 2086777797, 785548236, 1739956124],[-649378156, 1848747012, 415794581, 1649884714, -376816461, -920501517, -1758209905, 310000554, -1685536718, 1810324221, 1111160847, 262108708, -433485321, -1375251975, 2118863213, -1448061248],[-767855671, -1814488038, -626856293, 890764711, 658369200, 373259913, -700798956, 1415602718, 1198269894, 683661868, 1715205658, 478160829, -602223816, -1258080697, 1529247899, -1711967990]]"
values_40,14,"[[-1920557215, -1172907428, -572026496, -1653168130, -446421911, 662677905, -730236267, 1512796470, 1138844703, -1386035473, 1162562401, -431720110, -674630861, -351785805],[-575955033, 1064358518, 262884089, 1051942273, 1023952813, 2117447126, -1371490927, -1011241225, 1798600948, 2066118838, -549236252, 1375673568, 1286591817, 1855589360],[-1483111903, -965015531, -2115803061, -584319495, 628509075, 1925006100, -840867008, -703446754, 1515279635, 1917676612, -1033161595, 2116472413, 478577561, -2134646049],[-1640021916, 1375605599, -714671313, -818287355, 1064272560, 1337018300, -1849903828, -2142327794, 936494621, 506332321, -551376961, 1386625281, 274455726, -1680567866],[-434878572, 842957005, 639443457, -1840473837, 375247419, 518307097, -1469156193, -2032798490, -202987507, -1756721517, -502997611, 1354454161, 2077281527, -522115736],[396073515, -1667413344, -54913117, 420641549, -1807621550, 1758087483, -1092085598, 800184357, -173787304, 1673098790, -1121400175, -1273491628, -459949170, 1751632735],[1608041336, -1825938145, 997892966, -1844252836, -1406336691, -1391929245, 2064534321, 1932498473, 432723185, -1752575006, 1347760590, 1428351101, -764349755, 1652985061],[1167929457, 18953684, -473311167, 2105232987, 325532637, -2074299647, -1675400869, 284225121, -1841766657, -308034601, -1067381084, 1292696154, 705161685, 1476130825],[-1554217779, -1873294790, 812051045, -1600191192, -1332621917, 623287844, -2069783300, 2094884787, 1731102657, -1356087635, -1085662239, -1499851547, -1668976011, -796418310],[127084771, -392654579, -806668037, -1696549479, -987202958, -364231810, -602476675, -1144908863, -2136551597, 965512526, -1672230943, 1808170096, -1670399552, -1382641639],[-1244313085, 614197724, -1966839941, -711951942, -912671639, 1705318413, -1810185259, 750996126, 1746407313, -248050788, -1064526333, 2100369734, 1326275426, -1982807578],[705046606, -1366850339, -560959426, 912478531, 1879605803, -1583900803, 1341893281, -430974075, 1604243165, 1856689562, -857285770, 857293746, 959819153, 569323223],[-282144428, -16066016, 1178898837, -915045196, 1621819200, -774264434, -1390522984, 1592192971, -998203328, 1905340082, 1734916156, 410672843, 1678926963, -405132393],[1960085666, -568829925, 1607249686, 1249975033, -1523382242, 2060905549, 1463065322, 385620188, 1403746593, 1444866551, 768917077, 1996167420, -1859656612, 2040477014]]"
values_70,17,"[[-822624567, 193244938, -2109227110, -1717832887, -1226440271, 941375937, 494772825, -494496403, 1962216709, 646302042, -659822401, 172320672, -1282797554, -684375322, -761862133, -741495880, 1045797156],[1865136498, -1893538635, 34837020, 1921432222, 1426057394, 310974446, 244744970, 953427484, -412110151, 1982035447, -1625243961, 1099277180, -48890738, 742159857, 1294606568, -312342659, -443776995],[-276009905, 429475375, 1074745920, 1188645958, 1283149026, -1321631554, -75902410, 776810625, 500112322, 1834672135, 520840776, 1665588663, 863168705, 154683498, -389949907, 63413817, 1896102498],[1709547232, -336214354, 1851120105, -1937904158, 1752783007, -1820889362, 445718858, 733763102, 1854411795, 1597863227, 1965668259, -222400097, 190791388, 398490829, 1625321316, -1518078805, 1905773606],[-1891507351, 533385012, -1316464055, 2127026056, 1693769239, 1011066526, 1903908877, -1714574167, 805640714, -1196425492, -547822145, 1912768398, -1194549481, -1337580914, -1253537932, -1544684532, 1468106353],[1493601469, 979903719, 953725525, 591818941, -535915856, -83765761, -83292656, 1190793848, -2077291629, 1390011863, -504582372, -2010167178, -1992067902, 1632388134, 525968739, 1487256101, 638462959],[1621769908, 2035677893, -1266745071, 163441357, -45925983, 1711140060, 958863594, -1389968882, -1473589583, 1141235928, -389308735, -342503655, -483395438, 515118841, 524843085, -2048714597, -1071436498],[-1587010192, 606312634, -478449570, 969423146, -452121749, 1118727043, 947590557, 1154284375, -1167903473, -44170917, 395704826, -1857601166, -1924973556, -470556085, 117503397, -385828838, 393941290],[-829153801, 1077595333, -1737743162, 1696405142, -653284142, 1053361020, 336260445, 280480135, -1666480072, 1806708462, 2133997079, -1837558821, -690781856, -2015610514, -1333228615, -547514103, 179882906],[94653079, 879088581, 1782744530, -37423556, -1359489072, 1079075421, -1658228699, -167817664, -904498953, -235723342, -29236281, -63036912, -521571968, 1681714148, -952017601, 1509636492, 1867525102],[-2023017141, 1545108008, 397415505, -550398629, -1799297373, -507647941, 14268976, -1647817616, -1509232615, -1872477675, 806439583, -159160866, -584962020, 1874969936, -2091345365, 37148299, 127802522],[1234782671, -1885125902, 1758756737, 762151447, 2029727885, 1047269502, 772532309, -2125995993, 672013384, -1687783862, 1433787656, 1971279125, -87726554, -906182482, -1965758140, -1376085417, -303983176],[1921531832, -1630907508, -1515146613, 676274548, 1387764027, -1322870331, 154986477, 542417196, 1334815514, 1671811105, 831316810, -690188947, -1268241280, -2090131539, -138612954, 116555959, 8830434],[1550750234, -1609091163, -1029619704, 441885068, 1346900175, -1138635013, -116683385, -795776333, -1903644621, 2090107683, -1127953776, 1016706532, 1412704771, -2116917016, -331416857, 1161174904, 1230172957],[-248019406, -78904560, -1605921702, -1768553250, -1566393942, 920704347, -1559857665, 1214305681, -506514101, -2014102244, -1274377660, -117708597, 2088438262, 2095074417, -166985246, -1529503460, 294878822],[2134621527, -447480324, 427944451, 1024306654, -1642672802, 79028549, 737781070, 1542759297, 1242666951, 353587481, -1661599847, 799341504, 131290630, 762936925, 1074686534, -977311582, 1929941651],[-2142881669, -2014978212, -951723212, 626076738, 750409539, 573299900, -2082413770, -2142432197, 1161990833, 1475074231, -1208864644, -195395379, -848219338, -118220616, 664953954, 241017433, -1093646660]]"
values_23,19,"[[-999151698, 304503633, 955380486, -511965794, -186215975, 557006611, -1999980949, 1940477427, -962674682, 1677647578, 1982240850, -86938259, -1796413520, 159210858, -1971391410, -715198763, -1616937241, -1625109531, 506221538],[-160368739, 1599699127, 1690868878, 436891366, 1837785549, 1625760259, 603572298, -1900902390, 1221946002, 119999830, -1964949910, -177290409, -1443105315, -609094067, -2065914201, 604387560, 993131900, -2050425409, -1451861714],[561028871, -682076424, 1671818188, 1224990071, -990495383, -773703613, -1751816130, 587381642, 1665139879, 1920569269, -905310076, 416242457, 392177899, -768053298, -347288280, 1176679905, 2091476554, 1947742351, -629703408],[-822150512, 1235700086, 1236447142, 1363854439, -891294668, -612353709, -1152028293, 1775957111, 2039884350, 440051400, -383210071, 1429388663, 1180743149, -423164852, 1896839464, -1855986573, -971781970, -2031090091, -928182567],[-1656257010, -1353051399, 920465793, 1893644637, -1338633084, 1149012747, 744202761, -1040373593, 1323698383, -1753340482, -1335468019, -274950153, 1924861276, 1471503722, -21474706, 1462864002, 1381502853, 128507156, -1260004197],[332891881, -593894856, -2123686499, 586090244, 113375745, -24430778, 1359640913, -1447107849, 1965651739, 682781102, -1877048318, 211905953, -1658123564, 298898672, -1748043575, -985890562, 1296028523, -1308411720, -1954947862],[1413045144, -1689291268, -6526675, -1131351158, 461434698, 1907486615, 960511447, -1009309029, 287702153, -1803789902, 998149992, 2059372987, 1276401310, -824394588, 33768301, -280142141, -1970709331, 1829325472, 64951104],[1769447796, 1533472346, 1520726606, -432928562, 1202978999, 1218240065, 602537905, 1707513937, 753661973, 1319022838, -1746907037, -510906853, -72080645, 643124398, 1350170499, 802792338, 12740641, -2130180256, 1036049949],[331525584, -383655959, -907777682, 1533695244, 1340022067, 1018027403, 1091730921, 1504645063, -852618660, 1015487864, 1231881835, 108194286, 104181861, -205889241, -560067783, -1536099018, 876318143, -1292124605, 1092938639],[466470170, 318224033, 1519979346, -1033605731, -1760221216, -1773610572, -989451661, 681597051, -908753758, 704827332, -2012349457, -743439556, -1779129328, -412959777, 619669230, 1324885686, 304203299, 715257037, 1424961792],[-1908416620, -817526320, -1709377122, -979182255, 152233821, -560407052, 1210629147, -1488938383, 1889499508, -1251631305, 1313626919, -1011412204, 1814832937, -242523676, -71534411, -1471058504, 1395262886, 757594312, 755230579],[-615278775, 347184352, 1171115723, -78245931, 1420484627, -165831207, -2044947643, 526419339, 1766974853, 247451800, 1117447550, -1598442114, 743703989, -497837935, 1159250612, -1206933136, -2053613403, -967903003, -184644781],[-1754189413, -1447191301, 1041005353, -26193962, 847456511, -1026390591, 879310608, 156624282, 345808013, 1008849351, -898816752, 621449052, -252933681, -1111056005, 308209736, 161149554, -699695280, 995583902, -884289761],[-1291398268, 2043854109, -2029529244, 935595764, 1294789592, 1070076072, -1776120115, -702123151, 1231836618, 862938227, -304207665, -1315964487, -1819112043, -2116803078, 444574290, 821840977, 68794006, 1559362848, 148089886],[992678650, -1466288345, 1120242107, 1862427289, -1423891353, 1736287505, -1711080349, -1219654998, 1593617252, -730668502, -10840788, -1508600886, -746318190, 1293199934, -1447305468, 598618475, 440854481, 220630046, 878552430],[1052306493, -260730951, -608488217, -720682107, -1419749092, 183156353, -1170605582, -1882420032, -1596463180, -2102835739, 1008132851, -421635455, -392209417, -1221253679, -337583347, 260583202, -425085727, 719481360, -1706290739],[-372247429, -553364479, 1248143216, 405818445, 875109041, -654089635, -1904806684, -1445398820, 2118095447, -1076522210, -738187163, 720960330, -2134577332, -1302725955, -1101337932, -1545439899, 2056208181, 932895535, -154216409],[-550680934, -910678076, 1298792447, -1276257321, -1176627613, 80666327, -1166879635, -2115237326, -1483474034, -1196515084, 1769794816, -1696620407, -2059958901, -881051020, -1078463999, -284721977, -827838140, -867249224, 1820415974],[1601256733, 1143597807, -1206780172, -233881566, -530404664, 517706904, -1713475832, 1683501007, -151359333, 1919811906, -1902734521, -1973714494, 1713841972, -149263655, -162549599, 1630842469, -419543123, -396771968, -1180942659]]"
values_72,10,"[[647710597, -1689141311, -254793632, 400568981, -1135122380, -379563736, -1481816473, 1995488633, -328635295, -1443809321],[-2029178023, -1504598379, -1262706008, 1233466675, -224254566, -1513086987, 1417362763, -1273265743, 292335188, 1036979231],[-778574693, -2144502301, 249173436, 284441412, -318742227, -1738287407, -960479402, -1093616783, 2075766290, 1216530431],[-1066830820, 1477250687, -229333077, -137756868, -1346609717, -1362052771, -1499180344, 675059016, -1196446179, -2131025422],[1477383439, 1187376812, 1439551569, 1666844922, 958559290, 609456347, -71179071, -1133875428, 803225628, -749164163],[825158291, -1030317222, 2005677206, 868856567, -1426139346, 1223667739, 895047528, 692640172, -1235611449, -735110571],[1098391869, 232136608, -1636709039, 787272708, 598013968, 1785111366, -886796969, -1770213476, -1462161192, -2013713757],[-49875652, -1226781370, -1225616040, 833561070, -533434607, 2114599900, -1955396633, 1437609670, 1914789286, 66878283],[-1318353991, 209209371, -512986706, -1752808337, -141910273, -1907604098, 72171700, 1756882052, -1592099818, -588291470],[-1646298278, 291126679, 600094185, 839789440, 1906384651, -589494320, 346465294, 94560838, 1573150991, -832182213]]"
