inputName,m,n
values_11,8721133741705126739,1086696708791469109
values_19,8721133741705126739,1131909737235501940
values_12,8721133741705126739,6711005684926457329
values_38,6298471956022042572,4180001017246708287
values_81,2983783667292587875,1086696708791469109
values_5,732847993755927651,820653795295750485
values_40,3866327788537934805,4109807757684262614
values_70,4200826429230219912,4109807757684262614
values_23,6440922301440785849,8693293836965356517
values_72,4200826429230219912,6711005684926457329
values_79,4200826429230219912,1131909737235501940
values_78,4200826429230219912,4180001017246708287
values_87,2983783667292587875,8519871883370775829
values_6,732847993755927651,4983321316114096788
values_68,7608361759111614296,4180001017246708287
values_69,7608361759111614296,1131909737235501940
values_1,732847993755927651,1086696708791469109
values_45,3866327788537934805,820653795295750485
values_33,6298471956022042572,8693293836965356517
values_15,8721133741705126739,820653795295750485
values_93,973429592455013971,8693293836965356517
values_24,6440922301440785849,6417318736704453544
values_25,6440922301440785849,820653795295750485
values_26,6440922301440785849,4983321316114096788
values_48,3866327788537934805,4180001017246708287
values_71,4200826429230219912,1086696708791469109
values_76,4200826429230219912,4983321316114096788
values_7,732847993755927651,8519871883370775829
values_50,3416934987772277600,4109807757684262614
values_22,6440922301440785849,6711005684926457329
values_4,732847993755927651,6417318736704453544
values_32,6298471956022042572,6711005684926457329
values_77,4200826429230219912,8519871883370775829
values_91,973429592455013971,1086696708791469109
values_42,3866327788537934805,6711005684926457329
values_13,8721133741705126739,8693293836965356517
values_41,3866327788537934805,1086696708791469109
values_55,3416934987772277600,820653795295750485
values_31,6298471956022042572,1086696708791469109
values_66,7608361759111614296,4983321316114096788
values_65,7608361759111614296,820653795295750485
values_62,7608361759111614296,6711005684926457329
values_21,6440922301440785849,1086696708791469109
values_95,973429592455013971,820653795295750485
values_84,2983783667292587875,6417318736704453544
values_58,3416934987772277600,4180001017246708287
values_64,7608361759111614296,6417318736704453544
values_83,2983783667292587875,8693293836965356517
values_94,973429592455013971,6417318736704453544
values_0,732847993755927651,4109807757684262614
values_99,973429592455013971,1131909737235501940
values_96,973429592455013971,4983321316114096788
values_67,7608361759111614296,8519871883370775829
values_61,7608361759111614296,1086696708791469109
values_43,3866327788537934805,8693293836965356517
values_2,732847993755927651,6711005684926457329
values_54,3416934987772277600,6417318736704453544
values_30,6298471956022042572,4109807757684262614
values_59,3416934987772277600,1131909737235501940
values_85,2983783667292587875,820653795295750485
values_74,4200826429230219912,6417318736704453544
values_90,973429592455013971,4109807757684262614
values_18,8721133741705126739,4180001017246708287
values_52,3416934987772277600,6711005684926457329
values_44,3866327788537934805,6417318736704453544
values_17,8721133741705126739,8519871883370775829
values_36,6298471956022042572,4983321316114096788
values_49,3866327788537934805,1131909737235501940
values_86,2983783667292587875,4983321316114096788
values_37,6298471956022042572,8519871883370775829
values_56,3416934987772277600,4983321316114096788
values_63,7608361759111614296,8693293836965356517
values_35,6298471956022042572,820653795295750485
values_97,973429592455013971,8519871883370775829
values_75,4200826429230219912,820653795295750485
values_57,3416934987772277600,8519871883370775829
values_88,2983783667292587875,4180001017246708287
values_10,8721133741705126739,4109807757684262614
values_53,3416934987772277600,8693293836965356517
values_8,732847993755927651,4180001017246708287
values_39,6298471956022042572,1131909737235501940
values_47,3866327788537934805,8519871883370775829
values_60,7608361759111614296,4109807757684262614
values_89,2983783667292587875,1131909737235501940
values_51,3416934987772277600,1086696708791469109
values_14,8721133741705126739,6417318736704453544
values_28,6440922301440785849,4180001017246708287
values_16,8721133741705126739,4983321316114096788
values_34,6298471956022042572,6417318736704453544
values_82,2983783667292587875,6711005684926457329
values_46,3866327788537934805,4983321316114096788
values_27,6440922301440785849,8519871883370775829
values_20,6440922301440785849,4109807757684262614
values_9,732847993755927651,1131909737235501940
values_92,973429592455013971,6711005684926457329
values_3,732847993755927651,8693293836965356517
values_98,973429592455013971,4180001017246708287
values_29,6440922301440785849,1131909737235501940
values_80,2983783667292587875,4109807757684262614
values_73,4200826429230219912,8693293836965356517
