inputName,m,n
values_11,1410527243.713,576654897.521
values_19,1410527243.713,348921983.711
values_12,1410527243.713,1865280786.695
values_38,3670194.041,1291105131.961
values_81,399568658.723,576654897.521
values_5,1324154383.066,142743980.323
values_40,743574029.346,1019300237.04
values_70,56175462.615,1019300237.04
values_23,1554362816.722,566113063.049
values_72,56175462.615,1865280786.695
values_79,56175462.615,348921983.711
values_78,56175462.615,1291105131.961
values_87,399568658.723,1813469084.876
values_6,1324154383.066,974930480.754
values_68,1127960272.133,1291105131.961
values_69,1127960272.133,348921983.711
values_1,1324154383.066,576654897.521
values_45,743574029.346,142743980.323
values_33,3670194.041,566113063.049
values_15,1410527243.713,142743980.323
values_93,1497209573.513,566113063.049
values_24,1554362816.722,1968356211.909
values_25,1554362816.722,142743980.323
values_26,1554362816.722,974930480.754
values_48,743574029.346,1291105131.961
values_71,56175462.615,576654897.521
values_76,56175462.615,974930480.754
values_7,1324154383.066,1813469084.876
values_50,2032887145.185,1019300237.04
values_22,1554362816.722,1865280786.695
values_4,1324154383.066,1968356211.909
values_32,3670194.041,1865280786.695
values_77,56175462.615,1813469084.876
values_91,1497209573.513,576654897.521
values_42,743574029.346,1865280786.695
values_13,1410527243.713,566113063.049
values_41,743574029.346,576654897.521
values_55,2032887145.185,142743980.323
values_31,3670194.041,576654897.521
values_66,1127960272.133,974930480.754
values_65,1127960272.133,142743980.323
values_62,1127960272.133,1865280786.695
values_21,1554362816.722,576654897.521
values_95,1497209573.513,142743980.323
values_84,399568658.723,1968356211.909
values_58,2032887145.185,1291105131.961
values_64,1127960272.133,1968356211.909
values_83,399568658.723,566113063.049
values_94,1497209573.513,1968356211.909
values_0,1324154383.066,1019300237.04
values_99,1497209573.513,348921983.711
values_96,1497209573.513,974930480.754
values_67,1127960272.133,1813469084.876
values_61,1127960272.133,576654897.521
values_43,743574029.346,566113063.049
values_2,1324154383.066,1865280786.695
values_54,2032887145.185,1968356211.909
values_30,3670194.041,1019300237.04
values_59,2032887145.185,348921983.711
values_85,399568658.723,142743980.323
values_74,56175462.615,1968356211.909
values_90,1497209573.513,1019300237.04
values_18,1410527243.713,1291105131.961
values_52,2032887145.185,1865280786.695
values_44,743574029.346,1968356211.909
values_17,1410527243.713,1813469084.876
values_36,3670194.041,974930480.754
values_49,743574029.346,348921983.711
values_86,399568658.723,974930480.754
values_37,3670194.041,1813469084.876
values_56,2032887145.185,974930480.754
values_63,1127960272.133,566113063.049
values_35,3670194.041,142743980.323
values_97,1497209573.513,1813469084.876
values_75,56175462.615,142743980.323
values_57,2032887145.185,1813469084.876
values_88,399568658.723,1291105131.961
values_10,1410527243.713,1019300237.04
values_53,2032887145.185,566113063.049
values_8,1324154383.066,1291105131.961
values_39,3670194.041,348921983.711
values_47,743574029.346,1813469084.876
values_60,1127960272.133,1019300237.04
values_89,399568658.723,348921983.711
values_51,2032887145.185,576654897.521
values_14,1410527243.713,1968356211.909
values_28,1554362816.722,1291105131.961
values_16,1410527243.713,974930480.754
values_34,3670194.041,1968356211.909
values_82,399568658.723,1865280786.695
values_46,743574029.346,974930480.754
values_27,1554362816.722,1813469084.876
values_20,1554362816.722,1019300237.04
values_9,1324154383.066,348921983.711
values_92,1497209573.513,1865280786.695
values_3,1324154383.066,566113063.049
values_98,1497209573.513,1291105131.961
values_29,1554362816.722,348921983.711
values_80,399568658.723,1019300237.04
values_73,56175462.615,566113063.049
