inputName,size,a[size]
values_11,19,"{-871928020.537, 942319069.174, 346817516.121, 1135411995.624, -453972946.154, 906432737.584, -1504559619.604, -1778334378.931, 560663695.769, 801900244.476, 352976458.965, 1237187586.556, -947940553.677, -1937985381.439, 422447048.115, -2005745118.627, 1708764727.212, -2111197906.175, -1032255858.048"
values_19,24,"{23236711.209, -1721236404.634, 1447308874.417, -385929583.66, 52935252.228, -1220122606.854, -1970673234.407, -367389164.406, 1277142393.035, -411768971.909, 885874258.983, 1487553098.535, 646938403.807, 179556563.092, 1438183966.514, -1353048521.825, -376174890.926, -650371991.337, 2126780725.458, 2062389903.598, 159453154.927, 1013807685.533, -2059469832.357, 2092581655.544"
values_12,8,"{2055946757.319, 1258737595.162, -424618982.156, 578227128.961, 1763401826.84, -1230040007.165, -1962819633.243, -1410670936.729"
values_38,6,"{-1515351020.61, -1656263667.539, -1083759093.215, 156552285.764, -965096667.03, 801048552.263"
values_81,30,"{-573265079.46, -75546204.225, -205014135.989, -2075627028.627, 658292003.336, -1484277443.238, -1112348698.184, -1036050550.778, -995355464.214, -1305229531.791, 2004242379.819, -413479325.346, 1297726775.422, -652582574.602, 1630152142.981, -682222991.4, -1036118451.922, -825682804.931, -940035396.029, 1038173970.14, 1618142081.965, 463286106.993, 1365111210.924, 987981872.509, 1635567577.753, -6499647.603, 1279478909.832, 794262195.263, 2010069349.177, 9011544.389"
values_5,12,"{-1205478732.575, -2058409012.118, -414499990.69, 865036462.324, 1241094910.634, 1655162354.389, 1498000556.779, 1604003579.963, -1300595182.423, 1243112781.238, -2012059931.77, -14860977.41"
values_40,9,"{-1320914476.55, 221236719.28, 67330059.172, 1551043612.126, -1356677357.794, -1620483440.789, 1528707971.218, 1153518590.587, 1127506472.403"
values_70,20,"{-1438628488.04, -235430648.51, 1962586901.98, 928840298.614, 1094890580.229, 746134150.656, 130849210.376, 1472915666.117, 300908904.358, 408294028.419, 1713448588.314, 1524138833.945, -1779587203.241, 974260365.382, 1708695414.644, -474256311.839, 919571136.678, -662703898.843, -1379267198.68, 801011419.2"
values_23,30,"{1598614455.738, 1890499795.901, 349402691.162, 336918794.161, -1379584779.032, -1755400618.044, -1662957419.012, -1334942523.675, -1832305845.829, 738019705.874, 1340205191.291, -880179386.252, -188233531.537, -504550162.933, 1863963983.989, -53158057.899, 620412856.772, -1959647145.484, 964642352.613, -1037864131.55, 1781737118.821, -450485618.583, -1402891186.901, -710259443.586, 1698850538.482, -184966442.67, 123149658.563, 703782953.44, 1819275521.154, 682971360.374"
values_72,10,"{-1473529205.168, -474805105.863, 1226288098.939, -1779851693.74, 1615827488.081, -1380275678.562, -2118718940.26, -2067676717.773, -1767255743.272, 941746420.216"
values_79,29,"{-1213584272.998, -103490060.287, -875563740.049, -944185115.076, -878808379.717, -2063514213.58, 1388842609.629, -600222126.686, 903574935.172, 1542149087.818, 1390147184.468, 1562879048.504, -772570355.657, 1352782359.782, -1369556753.493, 1184311245.888, -1315951606.295, 356561116.33, 1673832387.687, 1219361869.24, -1544508151.742, 1924036632.859, -1800058173.18, -1197130966.959, -1020664206.598, -1907351896.361, 1209901096.882, -860067128.273, 290012892.923"
values_78,22,"{-2017095500.117, -1472917045.509, 1408723395.554, -763742668.06, 485727078.38, 1486929270.322, 952846819.158, 1702056657.07, -659050567.813, 1594757814.259, -1307294746.37, -317533739.386, 686948345.508, -304028376.667, 1506716746.747, 32644480.495, -740471189.432, -1448877891.037, 396804947.792, 2055932055.407, -554897858.546, 780491263.515"
values_87,9,"{-121645330.135, 1634242076.356, 1589052022.046, 2082153614.351, -174949090.451, 98409600.677, 1059372520.072, 21172962.131, -964849769.997"
values_6,2,"{-1823121728.909, -1517031929.186"
values_68,8,"{898100550.601, -929585922.897, 986105723.455, -2088474965.467, 1687398455.12, 18734941.191, 1408589225.649, -410996441.158"
values_69,6,"{475115221.33, -1567290276.554, 564114737.137, -541322833.914, 559229468.881, 1875447731.856"
values_1,19,"{-473043392.914, -664979644.071, -818785987.65, 584790227.676, -9769584.115, 1661467330.951, -9772580.675, -865895743.957, -943993613.801, 1145763659.089, 348469603.129, -1223962053.442, -956784822.122, 984181364.594, -939398464.242, -1300188242.966, -396344235.723, -743083430.857, 817000541.202"
values_45,29,"{-920229997.407, -1054671510.483, 1563491122.42, -1711671826.0, -1775620704.761, -624906364.043, -1196252635.414, 2101900720.84, 1223339802.749, -1925698711.854, -1824390846.382, -1902382486.348, -1840119861.514, 835592543.73, 1348007244.561, -1461827618.673, 2029458455.06, 1228106774.032, 360392293.776, -1443576964.797, -1766731010.854, 531490694.374, -571367437.254, 1753678721.737, -1789708786.637, 1262363858.238, -735715509.524, -2087954331.231, 1778978298.321"
values_33,7,"{500049662.445, -41468313.14, 1431971742.889, -1417160166.33, 5441355.976, 1832369201.105, 1632966951.739"
values_15,28,"{78758681.006, 16515376.357, -986195360.355, -2026544334.957, -765993354.206, -514936626.285, 2123041798.102, -415080284.81, -166513693.369, -1310650406.212, 949829148.38, -1680741129.943, -92040959.836, 602138615.6, 134988368.388, 2118895796.605, -2111609270.368, -745181761.794, 125756232.753, 1569678394.488, 2047846347.6, 801979029.155, -2072095591.661, -1822198844.563, 716833338.476, 1686827103.832, -1213807277.956, 120142546.562"
values_93,11,"{-1660692872.937, 1883107839.869, 19019233.909, 1723079869.593, -456488806.687, 1012735734.799, 1329004683.792, 552378737.911, -860046676.865, 165410247.188, -1410498324.363"
values_24,6,"{-461532118.097, -526998643.441, 1076286353.679, 409360873.31, 1698383458.321, 30489665.761"
values_25,21,"{1792951878.64, 1831906537.706, -1250646072.671, 1067229925.141, -675312281.803, 180188270.476, 1722056928.842, -1644636143.911, 1130891663.273, -164543859.556, -650047092.714, 1943395946.342, 1052827169.198, 425830841.947, -1865686595.768, 964583198.191, -1995500196.827, -1040472244.223, -1721953774.677, -1870623626.808, 930693852.141"
values_26,5,"{618038246.284, 965398090.828, 727376216.496, -1921765966.128, 2111980663.265"
values_48,2,"{595309203.21, -227348188.085"
values_71,14,"{-275295205.882, -1140087518.127, -44921891.666, -1719885128.559, 2102171076.623, 1959993975.29, -168419168.633, 1377699804.864, 475518382.357, -2124757185.841, 928381022.874, -1596238488.906, -632809999.751, 1859807063.13"
values_76,19,"{719051909.626, 318458790.551, 92275221.531, 76999999.438, 482235538.216, -1951331529.067, 1199428657.34, -1301517737.522, -1516172410.378, 1278292107.847, 522104629.32, 243278932.271, 210966717.437, -1886548867.334, 1748574910.258, 1304102785.463, -1268745427.744, 1167796826.354, -880950247.785"
values_7,22,"{-499933746.789, -1056812569.576, 303563368.685, 526585869.821, 273072229.837, -186229416.982, -1768704371.201, -1831801127.385, -1575510973.791, 153181879.22, 108436575.692, -506657238.238, -903331950.316, -1121332106.718, 1381071167.318, 15431432.193, 1599026754.718, 612198838.176, -1413530528.109, 2118548270.672, -590828076.059, -2070226042.06"
values_50,10,"{591602508.05, -216831545.061, 1766982449.42, -723973437.241, 545416078.792, 1512945421.447, -407743526.597, 663344284.591, 236144518.811, -93236741.458"
values_22,12,"{1409335121.662, 1072962139.167, 419547371.838, -761279851.321, 1757463182.064, 1726682019.038, -58700807.122, 2062515903.387, 1663452885.566, -597941044.841, -1660814734.523, 201728266.113"
values_4,7,"{53999159.448, 224624427.68, -731451393.837, 1332018869.231, 1741910324.846, -588945805.062, 711739178.447"
values_32,2,"{876642613.732, 354777156.899"
values_77,9,"{-1949648481.977, 225670402.946, 1751234433.893, 414593702.638, 82231769.908, -631687711.257, 202308829.458, 1615591747.268, 1528837641.334"
values_91,25,"{-134627565.855, 1250031801.776, 923102747.046, 90524941.906, -1940358269.468, 81966803.886, 905847722.239, 70708422.244, -1098598235.991, 2088817387.726, -954533359.346, 2066011543.292, 851010417.262, 266911115.818, -66804283.486, 1614488819.261, -1307459921.447, 469596515.85, 574020148.3, -1338482441.347, -294988798.456, 1748653012.347, 632662726.195, -1359580183.226, 903701012.803"
values_42,10,"{1927700122.136, -1986129740.466, -124082648.323, 1057680752.651, -307114112.991, 1411897626.455, -153266782.259, -1337482600.817, 1732150908.889, 340897558.198"
values_13,14,"{1902313127.129, -535565465.55, 190007688.998, 950406372.562, -485007880.378, -397479785.493, 1604513164.817, -140929177.765, -1382483715.359, 1196078035.544, -702870825.104, -1052342834.173, -4920357.191, -768390616.968"
values_41,10,"{-402870285.639, 1358836062.889, -1363373316.906, 710292505.26, -467456580.829, -1373133568.737, 1436440347.461, 135972535.244, 687176875.892, 403440301.563"
values_55,11,"{247604601.073, -1545342702.054, -158620276.752, 773270705.642, 2056089271.819, -1479391878.83, -393666688.21, 1915074442.792, -89826415.513, 1893541352.072, -2032434627.956"
values_31,7,"{-1504231380.881, -2005300854.43, 1189419072.673, 1601705942.57, -1349772313.803, -113428621.277, -536999684.555"
values_66,28,"{-906776625.166, -1306703794.272, 86348627.781, 1737255639.885, -1149934521.87, -334891127.217, 1771499400.459, -262503494.163, -931713522.562, -714043811.686, 1519141697.823, -1067787851.575, 1144790101.185, -283605740.639, 632944971.29, 817877528.589, 1185136680.879, -216149343.742, 893794288.376, -1278857802.303, 1651733081.342, 2052173148.064, -1880282315.363, -686795727.528, 1792720902.985, -132033346.762, -489962729.468, 1805039748.613"
values_65,13,"{20995415.444, 1230587660.719, -2078652738.04, -685465932.22, 1828520320.08, -96380327.695, 1351489596.091, -1133964836.371, 1967637477.424, 1514205768.541, -1712304616.361, -92515118.819, -478594979.349"
values_62,14,"{-1277879567.718, -1286752363.338, 1259812639.285, -571615537.796, -403756451.144, -1552155658.497, 643869854.548, -1190765286.844, -411811045.82, 1146566760.418, -692859665.588, -1154278906.829, -108027283.59, 1465016903.73"
values_21,19,"{939273757.153, -67697074.22, -1166604745.067, -646816512.382, -1746715882.682, 1312055593.709, -845160151.801, -374150265.715, -1363486971.513, -168251361.471, 651557299.363, -1995012582.995, 531856719.348, -267294223.536, 393453087.785, 1691435657.469, -1959710823.09, 1928644241.545, 1580902256.349"
values_95,4,"{419400200.963, -1613472336.183, -1571066544.782, 961268929.069"
values_84,29,"{1048426175.931, -1804414243.901, -387289852.459, 1753089520.146, 521592527.573, -926684923.775, -13464242.931, 1709348497.319, -1988818277.126, 820501856.94, -2065934859.171, 1419082038.153, -1582778871.343, 1692041851.697, -416762109.7, -110064181.907, -878268276.89, -1993094817.366, -1692652590.125, 1176904163.615, 2146528525.216, 1747190498.694, 2040893156.875, 1686197533.853, 1579744471.267, -1119862469.535, 621837914.655, 86820785.942, 572390708.126"
values_58,19,"{1339627841.156, -1482567918.56, 1289468654.933, -391624724.163, -57659651.092, -1302408015.806, -181009555.956, -730522637.141, 613255847.53, 860454260.064, -916788192.189, 1170408530.149, -1164013288.153, -1176048793.405, -746049388.617, 1756637991.609, 524305597.802, -246193519.187, -1960503899.834"
values_64,20,"{1025421015.22, 1174475663.106, -207918383.517, 2133636540.471, 974366113.442, -1174757572.847, -225809400.347, 1846578280.58, -2001026869.261, 606073700.377, 1369571205.597, 302544608.626, 837843522.812, -518425839.012, 1553600206.778, 2080511312.485, 1293563468.852, -780629032.421, -2026090423.413, -28825582.782"
values_83,5,"{-1332748462.334, 1625409252.288, -160911617.315, -1848590073.768, -1330260190.369"
values_94,22,"{-1611636595.622, 2140697701.578, -385046917.471, -1438243760.655, 57756825.237, 978016835.493, 794351488.426, -424878457.68, -972311307.269, 1811678337.489, -437374560.287, 82766964.113, -1259972322.778, -542330644.763, 510392887.681, -1836093534.838, 2090125054.426, 60853654.719, -1513017492.175, 1622241572.531, 1589433119.507, -1499983560.208"
