inputName,size,a[size]
values_11,11,"{1765671152.856, -1505037413.841, 1405293431.131, -1734590839.286, 1976877949.854, -1738681460.323, 588200117.454, 888593784.277, 997751087.83, -1066565425.707, -1645991981.503"
values_19,15,"{-288242121.767, 463733470.462, 695526990.201, 779225366.226, 1049898303.392, -816723732.016, 738038788.599, -1638276731.173, -434719893.589, 490691851.24, -662153438.602, 1874059136.558, -608661257.065, 46883505.848, -17795076.371"
values_12,13,"{-2036977986.655, 698006074.191, -1733577861.269, -1564018443.439, -37866532.555, 1242618826.085, -1698788789.614, 747593346.822, -952697840.099, -1394738874.871, 1902463095.155, -1895024205.399, -496896781.029"
values_38,23,"{-1311198961.327, 76575225.397, -2108457154.102, 386754937.799, 1570612504.27, -527928284.908, 1221681027.266, -1903811443.112, 860402719.778, 1481887195.994, -668038977.822, -553075754.076, -1464832214.548, 487626850.944, 1794286972.267, -1560853039.364, 1176344793.213, 636488184.303, -799916673.124, -1072131548.449, -1369775614.575, 312293013.355, -1186575610.216"
values_81,19,"{-1859181650.529, -1193663074.326, -472561032.101, 743884197.345, -1084070528.527, -1315424669.48, -464899206.248, -1306315795.306, -1975296453.7, -304706816.304, 369161112.38, 91831059.078, 1217228765.851, -1621715090.117, 458725742.206, 1673861117.874, -1564131143.873, 1885553919.663, -617154857.773"
values_5,28,"{551195452.227, -1224092844.418, -369735473.034, -711256858.039, 1197618884.578, 626997022.699, 1224288423.953, 1230751242.358, -1537737400.223, 1450563996.983, 1943470447.965, -1499335171.283, 481148267.111, 98314268.286, -1960303233.701, 913567845.756, -707093853.982, -1282928398.373, 520882762.256, -397748002.133, 1490212041.993, -1251023053.207, -333548755.237, -1341131072.365, 106921232.658, 1531505107.285, -842499187.886, 1951811053.798"
values_40,13,"{-2041843596.871, 1332219454.138, -284956465.178, -1905870644.9, -1412847033.785, 613198463.512, -583767700.058, -738557245.271, -1036976504.345, -568547799.894, 254056802.616, 1355331567.106, -1203379076.678"
values_70,25,"{866836835.84, 558816261.497, 1583392521.617, -1517008862.686, 914879259.207, -18528042.174, 108646166.481, 1970552183.197, -628451176.85, 1660422463.132, -1600887144.237, 769654250.305, -728562036.416, 719326784.061, 1534879387.383, -754276127.137, -266653586.617, 836062024.737, 1093178443.079, 1646113715.703, -1517980530.927, 350989706.593, -2003167947.811, -905500540.274, 228888087.622"
values_23,11,"{2063537229.988, -1829874760.724, 1425895443.871, -37961.667, 938674398.497, 1273768670.825, 838186976.825, -2033473596.147, 1351744713.43, -352755437.141, 302428533.372"
values_72,6,"{981643503.241, -78824739.401, 2135476595.649, -1020787538.249, 1348346619.89, -1774204920.841"
values_79,8,"{-1955021965.661, -1031839606.241, -1496630403.549, -1782157749.161, 692474367.614, 865231611.096, 64537003.343, 1392530979.562"
values_78,17,"{101512218.84, -393869340.844, -754859099.616, 2140036869.209, 428351258.113, -840903771.758, 1281580616.816, 420537783.997, 886920320.451, -1948755350.054, 604580566.34, 1037502554.648, -2027508565.762, 2026203438.22, 1190053251.306, -1194848562.651, -1863877084.961"
