inputName,size
11,20
19,22
12,13
38,21
81,8
5,29
40,31
70,18
23,27
72,32
79,22
78,10
87,13
6,16
68,22
69,20
1,5
45,4
33,9
15,29
93,10
24,17
25,23
26,3
48,28
71,17
76,23
7,18
50,26
22,5
4,30
32,4
77,8
91,31
42,28
13,25
41,7
55,6
31,22
66,32
65,28
62,8
21,25
95,7
84,26
58,14
64,30
83,3
94,25
0,30
99,5
96,7
67,15
61,20
43,22
2,17
54,7
30,27
59,11
85,5
74,15
90,2
18,21
52,6
44,18
17,19
36,25
49,20
86,25
37,25
56,32
63,4
35,26
97,27
75,20
57,18
88,10
10,10
53,13
8,4
39,26
47,22
60,12
89,13
51,5
14,3
28,19
16,4
34,27
82,16
46,3
27,32
20,14
9,5
92,7
3,23
98,16
29,15
80,31
73,8
