inputName,size
11,3
19,11
12,5
38,3
81,2
5,12
40,3
70,13
23,10
72,9
79,2
78,8
87,10
6,4
68,7
69,10
1,11
45,7
33,3
15,10
93,11
24,9
25,6
26,12
48,12
71,3
76,13
7,3
50,5
22,2
4,3
32,3
77,11
91,8
42,7
13,12
41,9
55,11
31,6
66,12
65,13
62,9
21,9
95,11
84,2
58,5
64,4
83,8
94,9
0,2
99,7
96,2
67,2
61,2
43,8
2,10
54,7
30,12
59,13
85,6
74,11
90,11
18,5
52,7
44,4
17,9
36,2
49,8
86,4
37,8
56,9
63,6
35,3
97,7
75,10
57,3
88,3
10,12
53,7
8,2
39,3
47,11
60,8
89,3
51,12
14,7
28,5
16,5
34,8
82,9
46,9
27,9
20,8
9,12
92,7
3,9
98,5
29,2
80,5
73,12
