inputName,size,a[size][size]
values_11,4,"[[6331705844442164998, 8801855890566633511, -1065194016059747196, 2822040899730374425],[-483205901336961517, -2981895153837980756, -3500544922261570593, 1122405865027062104],[-3112072290782579732, -2247120828531595503, -7799294889921179869, 4310857662807682766],[3485956201217908827, 879029069260972272, -1194978986205117110, -4023791125895146888]]"
values_19,8,"[[7779614878872063864, 7156716239679800230, -2173460912870497878, -7022308993268109398, 6607236627744666370, 5871778679933412474, -5535309319934247475, -7649573986643202225],[5694419259581569432, 1827208168694239273, -1758224932461779079, 2834131183983706496, -8264387693845242537, 2209643044359844157, 3342903844751931938, 2590827586527946978],[7933809892577055267, -5361275347538881921, -683174644309708475, 2433556885603743697, 6774881726318762713, 2459798227179046910, 9048991910980394987, -6877519966438112462],[7628936075303234808, -3298589951609375765, 8845439306874126309, -2683093971134894178, -5001733127623823309, 3459395172103927010, -7393398258999573941, 8104843412745292323],[3101977329601343170, 6182020880854492222, 6726855694949557850, 288105035273469294, -1339785912358081172, 7348908295203302558, -7034414708126392045, 7615676325478362909],[-6850880043636395089, 4320981703331609448, 6455249249767001290, 4410029280655045465, -4459491088467362627, -2273974521585909919, -8947073425141861720, -8712875003429081922],[4202294039094478322, 3077599963322023760, -1100368031244028172, 3204003964676551756, 3571839029231009960, -3943214570986092214, -8152064336788169844, 3778319911790130196],[8232354689279539284, 9095086187157140918, 3809609658366814546, -2462567940381387844, 7287427960749990734, -5718461467771629333, -3828274352617683597, -6181570666515391815]]"
values_12,13,"[[570288227999806743, -1926156611637421902, -3499109409713235343, 7528045917197460204, -6678198589664484321, 3928789273139206794, 9158188751951826258, -3558698968690695740, -6058751306695757173, 8814289082009561115, -392376149888119311, -1549538187399864246, 7973852523610423216],[8882756244718817467, -3963440709577665247, 7557787116853797284, -6642385518033537487, -4575042063487358394, 7956322517121059272, -1638043956538063180, -5157849067234854489, 106278741260931162, 6717926470272317665, -6786771415399742534, 5595516601668892438, -5478840729114675502],[-4841751088251089630, -4318902228958597052, 2946336614655791413, -4240144363546005569, 1069753171124285687, -2759533725928273147, 3576965047403047000, 4084279161885480881, 5310359485857726127, -8867097268047513317, -3588924344113089040, -6011024445707945499, -8464849161537632106],[7501463519513555724, -9160322963411769094, -112855645213247624, -4721221225770739454, -4000003282271650336, 6954780233954906284, -7630323789001740821, 3305983328613362502, -7644876078842604734, -6720109059477313005, -7109680177016615905, 4944688650656400650, -3333541538811432543],[-6633030709699527228, 8947534419849032472, 4340889482271455726, -4380398521014511765, 2307108480119190835, 9112862410173354538, -421619546893577263, -3377538181437852012, -8573720077186794766, -7961253522638010669, 5267878857378335108, 876950063005314027, -4227206345908130508],[8567364373895180843, 8826846443998387498, -5981626210793334301, -160107200376852495, 3420223676199628955, 4499326800868858782, 4388630154276369526, -6371634787361037522, 4611969632856850013, -5749960714581189367, 2496118424735374789, 7779883423339252313, 82390559621586971],[-6924991022811006369, -4512438570632353347, 3952054606190068933, -9108780451728396131, -2542399437403125780, 848546371033346090, -935559683555040351, 6639022398017636887, -1297316823194451983, 4491709916026207941, -5439812962127478039, -3296903157793378155, -8094302756437951942],[-4329546045473380820, 914784556446575429, 3129492100190751697, -3086428055369246568, -6527231886717869697, -2111014992553156245, 3492509783651016411, 3079581456298614784, 6548940416294168025, 28074996269044552, 2320967387091832698, 8125957372860675135, -2889356709629255725],[-7690723921134400694, 1273793380260021147, 5479610343665402824, -491079070796904465, -901100479358771551, 7993755004293685523, 2800251057335577426, -4950263566586270942, -165750909950145666, 9065463524618599000, 4211780733878588380, -1060383054304903439, 830389792923259610],[5380931844990368325, -3323447508889995683, -8544100951236377282, 6353322172686685881, -8773117553765407945, -6702457115145630332, 8964356967446534785, -7966752298152958371, 7535526477809131693, -1492113522685598793, -7847197317517990595, -877235783437428029, 2435687751091278649],[-4809343008972166987, -9185512367192779782, -3583962541877538467, 6443722191468527024, -998399571321251712, -290327143830374537, -4538244333508805962, 2973775448486543579, 9125165327530945425, 3084116589306756974, 5899075965690269242, -5368518012335458873, -530102050264135976],[-2952923632944444505, 3573301659017227187, 4878961876964246087, 4738854247389450042, -2888672048772978567, -3908995624242195411, -1431632740783615654, 9072449308620529275, 4881871718624391189, 7806920383388510742, 8034184731473745475, -7698389176730500418, -8850864235109214958],[-4814585985087782498, 2105448564075296321, 1141151209304000399, -4636352495789186311, -7290726875578081021, 6599389200516714245, -4093449363122527052, 1781148704546770884, 9192815680446523336, -1154815750129970351, -6460857547050823844, 4472452992031138203, -1842715072382057263]]"
values_38,9,"[[908317711148953143, 6480528964167848411, 5108330381441184704, 5321884631971773560, 5344371604630917662, -5944506642306276178, 4360357078438237837, 4616010437686442448, -767628430522741582],[6847658421326861893, -5941960567497938729, 8100933035645232430, -8814051114247085775, 614540141116336572, -6772750899339478991, 3328982463993076989, -4967091321671888313, 3032785891194995261],[-1591009395371241781, -8901040589591320483, -5359339462703441662, 3520006867161012087, 2138575341524713913, 7603692031181314284, -1101022247868512074, -2905988946452789912, 6006607564929265505],[654386640873357285, -6619890193418068819, -2016083581417101715, 3289111107951896870, -712948585084689260, -406079299988023955, -7355578424930227293, 1506526831990435329, 1112186788178903548],[-4640921964854416751, 6319659089144906522, -3726224143285316429, 8018751602249117164, 4862762600209468872, -4995378020664205271, -5595138601707050564, -31312166722147419, 4041702998014150498],[994479590348228496, -2363022688850929919, 5460818297801856987, 2384996771298696920, 5995356236091067811, -2659969827727528897, -7483798202958343292, -1446399399172955598, 2847551664398222743],[8745537434382716389, 9193052155220788765, 1986430150549538494, -8874924180741098069, -3589296509461032278, 8403320467538010940, -7584357298065838010, 16496557742087239, -6159443597355665629],[-133101890015884827, -438430522273245123, 8672329338494659231, 634016658087597311, 8938123477000560522, 2262683823696720634, 2161840015289317647, -306408671332273571, 6015525859937243806],[-3116856261518776079, -8555721664401538868, 1247924927999122988, -4014837226825225438, -3933198955504634162, -7643604965617345620, 4010732458545191042, 4319570064360295601, 2994933801459346577]]"
values_81,12,"[[6953531548983804567, -778138793229077947, -7542611508513107582, 2836691726624604200, 6312744484724890399, -4804012754563145516, 5886295905056147103, 1262920844636601648, 7249488191568012237, -7002688297998197130, 6967296637941720983, -8275199505751658417],[-3865229819493992748, 1596176634173667999, 1957254295642579165, -5944903839506677498, -8828482820111840175, -6980631170665673102, 8127112915350481912, -2753480178337848355, -5036947319541191225, 5806061502144381684, 4469871533299264609, -2187806138969516960],[-3249194292999081490, -8824688733888080006, 8909414511383954736, -1354274357216436971, 768058832156275994, 8887728069659589070, 2466331432281945743, 2540111241568118275, 3150993097134303998, -8755243647985860082, 1829492070953681965, -220246082741078435],[-3351880132609367165, -1997640084528021333, 4515580668499741757, -4523083152922936876, 6160297415933920541, 7284018230413726410, -629236318934405475, 6861114063214463605, -7669139728514839661, 4620849298061560159, 587812690646452214, 4459944880430671931],[-5446019665086683014, 5905296218755695689, -1617659536636412684, 4823007061277950245, -998875065095566838, -602197553507793896, -2531348995032987298, -1595132345114928599, -3911308395133068006, 4290912897174761568, -4071468898502252540, 3963667272527794974],[2149056916246879117, -8281197754181432575, 1592013998545993205, -8510038270049473192, 7705430612964225935, 6934790900933052646, -8501701498676732550, -2808522243717473144, 282130744687878228, 5753663210203900091, -7256355911401800407, -1154975244192442086],[2584953552923487161, 9198634796553617452, 3091746908505576387, -6505495214066415939, -1332143749848577120, -7591781144784392489, -6750674201702915784, 4531860837088769494, -5238342887962268381, -1082195851437574632, 3609538720226494066, 4237804443606345917],[4611263146028240281, 7787136058406334155, 6055025464371587327, -7894016560302493843, 6124299952390156527, 8448452316869994207, 6411823026441835873, -1239298812694780176, -1140140325719842508, 5539301059010106912, 7016138606781008109, 8000029150336062952],[925165261639302590, -7227156911436215577, -7588267389196606229, -8115319221393622459, 8528334428019151049, 8911421206667023033, 2302372620442509207, 3428350690465389435, 3051457302158540960, 2152717694057770836, 1139634787832422484, 5171296950952375183],[-1368301646628802113, -6577949985414994295, 3429100173619151050, -170904956795313362, 759533070919269048, -1635937270566932169, 3630562771971464031, 2736064166324579834, 5903976964275563522, -3783011899253593734, 4531036855572293485, 8494284695888172053],[4449614516843065429, -4712505377778873318, -8936109077268935422, -3432874285035711536, 3584954795213108990, 2279249108408345995, -3731261070351008063, -5396776441999072675, 2314022733733486606, 4062788939964120250, 2260670494211806959, -8507101803561814024],[9221520617279702692, 5144430737914362323, 7614064777611445276, 6047128763111828934, -7165536625318538251, -761604854122824148, -2981119049984544904, -5624112707277388420, 4392752929944997578, -6872656539509984255, -2026923557361994793, 8894077323990206536]]"
values_5,7,"[[6422159363432731921, 181253842485459778, -5485427169207012450, 5885893125208137299, -8542011035547236327, 842072511350267158, 5888614855550257009],[-3723066551073887578, 8713871712355270733, 9070797801978925132, -6594685928611414506, 2325505081539231854, 8553175406813325937, 1338847166195139231],[1031594895166063804, 2229250679255922398, -3490410768919652722, 5513550778650249984, -8414442145431744122, 5817509135319901785, 5823181733550256927],[-6189960636451633270, 1133539575730948898, -4848902629399160786, -6987367745411530756, 6827650473767844450, -6067409433532164916, 3213203114872680865],[6592974082856379676, 5934589616939377652, -8806693596811128344, 4689951206374031664, 1198806043647522015, -174048116906173141, 500736084966436215],[-344857565144988474, 8414255842710216353, 4437294101517934475, -8698550144411547622, 2886920099107629493, -8742444533124157733, 7964147190086747008],[-5239329924406828692, 8947646660662511708, 6512120157743858903, 3415736275718283913, -2261673181119086156, -941405261931187797, 6787587418162092656]]"
values_40,8,"[[751337332468576500, 4421551941059568706, 276208677346601724, -6337665877089919333, -293970911773662699, 7196044661147533694, 9220812634570936484, -5205815562619974727],[-9197119976781573291, 1837523243420639559, -9189316692225925557, 4863534510738041940, 7703417149075194775, 2219079374953770303, 3873803337127657493, -2607592495701689763],[2395266080560287937, 8045548502902200311, 2469282327994359440, -8294423965817000257, -555578222936954579, -2854854212364927032, -8140907098706520694, -7821522088582930808],[1985115060707030264, -8457847801887079632, 7323252781471796380, 503877983781549258, 3992451104669583315, 120582860721279560, 7791603306389377125, -1082828109346330866],[503965067543768208, -5541555033609394490, -860677720541890146, -3595415881726205390, 9153663337087832146, -3677188519948147925, -5089084866008966320, -2774500903090430815],[-2482024059297611475, -4451570230499849457, -6738916081372962833, -2832862723937237782, 3586036611644411753, -3647809676770246634, 4445202561807993311, 839136819997848885],[-8302879474850199814, -473583131809670208, 7574729346058976277, 6515998800629572787, 1966340631923248461, 8518286436495435705, -796118253178840710, -6607618845988820873],[-7901979197830852390, 5838945006370944554, -7622605502445002965, -6078371795194081307, 8668942164945768073, 1996546517159902232, -1771433612889493955, 5460261203682287296]]"
values_70,7,"[[957444551741112724, -7411982555841318782, 4218758432953047948, 8731242418361384785, 940028824125050035, -2498172095782257734, 756694257876231270],[-4975810429456609161, 3660329023538482121, -3766988352238107033, 4775080464428966352, 6738200505582128031, -2158054422729374645, -8224170308655500050],[-547408451196500613, 275988423071067301, 7656074719733852031, 3876832641373946837, -8093104659029883964, 4462211595521310536, -6643806764777967083],[3073070821888901778, -8232074136984201179, 3824654736873730102, -440800472015276612, 6431958101037980071, -7261404089473881305, 3050786749093536252],[-2174619443216408212, -3795198685469610006, 6732437055897060614, -5978949901554139282, 4289117027229667315, -2633525705054149974, 7083222774822899907],[-6873166540371881064, -53607027824070188, -7727665015773329679, 6199267201209432369, 1964348715693002414, -3862195386519780279, 4746650935885786815],[-1291980781233297160, -8258796030233230749, 1937202633008618215, 4864860792759309925, -5821842356421892550, -2243199374552104490, -7743518522720207974]]"
values_23,5,"[[939410092159599705, -3298644708831940446, 2249597541163114103, -2534804919356427453, 439950689124060692],[-3563727717680204966, -8072196329974445462, 2556655581892671740, 8734254152316316947, 3455982849368041310],[393260749547268225, 4553190211932154436, -2290111032344001, -5757590781797322183, -5765669171205386228],[-5701080997389085636, -3616195299433009459, 5325558256382379948, -6570771984470349416, 8347279251648512417],[-7424403673238817372, -2179068316927945480, 5347019899609082614, -2081678435441219716, -7493063387165668494]]"
values_72,9,"[[4774276445257522267, -5170872549994379856, 492956384786504466, -7906171007716880374, 4881099704331732633, 45149328656126348, -8490361928591464025, -3424766713029829819, -2790949493614869073],[2029326336728389787, 3592633586437618926, 8448347041971616108, -172635404285224388, -1521489876438725520, 1152727544871817933, 1016632870774466290, 3463934334620463085, -4595961942116622876],[-7977472005585883330, -1518498992117030763, -3881494242030803536, 454672157522725998, 1486763099468612142, -2110284397909135805, -7354283143582924488, 1038097167787240435, -4099068134533105402],[3599499568027637068, -158650709641150171, 8571320031251238996, 2535280268519866902, -8556488198279581556, -6345953842042567978, -8475855851579781447, -4358706057570284140, -7112710855506091596],[860257640483850179, -6149056371188684062, 1079264615800136392, 8905648175116083210, -929281238377212926, 7423984138306795277, 8020764169733168248, -3308557400340397007, 6600361157875374820],[5818496712664785683, 2316268734704171391, -3783813845221555733, 6950010406140454244, 8509406720093047531, 664524710627792836, 3332462685304123795, 3393188173525753834, 8454726523392961643],[3059717335084950952, -3092138514588290215, 5310456272234878432, 1802968979120089156, 2417435618437379036, 5297382876554439689, -2919910668102835189, -1509551780835317024, -3652922470373553169],[3509777719395326476, 385652163702695509, -1762331388894037618, -3503798010355654442, -3006876165430281515, 6571880284387982786, -6286143085962824331, -8643101549815576025, 2255363108082878957],[1067277573779917153, 8070949571847795772, -7936467641891151895, 3650112474192104760, 1096709870532682723, -4381570684441907876, -147069525562478503, 449775104241381912, 8117624985450576840]]"
