inputName,size
11,28
19,18
12,9
38,30
81,16
5,14
40,15
70,27
23,28
72,11
79,7
78,5
87,10
6,19
68,24
69,29
1,30
45,7
33,9
15,2
93,14
24,3
25,4
26,15
48,15
71,28
76,29
7,18
50,23
22,6
4,13
32,30
77,13
91,15
42,4
13,6
41,24
55,13
31,12
66,28
65,21
62,15
21,20
95,28
84,6
58,20
64,29
83,8
94,15
0,23
99,13
96,13
67,16
61,25
43,16
2,6
54,29
30,15
59,11
85,9
74,2
90,7
18,23
52,4
44,5
17,14
36,11
49,12
86,8
37,22
56,6
63,12
35,18
97,3
75,23
57,3
88,26
10,9
53,4
8,5
39,7
47,23
60,15
89,27
51,9
14,27
28,9
16,21
34,23
82,8
46,27
27,28
20,4
9,13
92,5
3,25
98,19
29,26
80,12
73,8
