inputName,size
11,18
19,27
12,4
38,17
81,3
5,16
40,30
70,20
23,28
72,8
79,7
78,27
87,27
6,17
68,7
69,32
1,27
45,12
33,29
15,26
93,15
24,20
25,29
26,8
48,27
71,22
76,4
7,31
50,24
22,31
4,27
32,7
77,8
91,14
42,19
13,11
41,19
55,26
31,12
66,19
65,10
62,17
21,7
95,4
84,22
58,2
64,2
83,29
94,23
0,25
99,4
96,29
67,7
61,28
43,9
2,2
54,12
30,29
59,25
85,17
74,4
90,15
18,28
52,28
44,31
17,20
36,23
49,26
86,18
37,25
56,12
63,10
35,8
97,2
75,11
57,25
88,22
10,21
53,5
8,20
39,32
47,16
60,14
89,19
51,12
14,32
28,29
16,4
34,13
82,23
46,23
27,2
20,23
9,9
92,22
3,30
98,32
29,7
80,27
73,30
