inputName,goal
11,211
19,71
12,128
38,53
81,211
5,165
40,18
70,18
23,219
72,128
79,71
78,53
87,215
6,133
68,53
69,71
1,211
45,165
33,219
15,165
93,219
24,159
25,165
26,133
48,53
71,211
76,133
7,215
50,18
22,128
4,159
32,128
77,215
91,211
42,128
13,219
41,211
55,165
31,211
66,133
65,165
62,128
21,211
95,165
84,159
58,53
64,159
83,219
94,159
0,18
99,71
96,133
67,215
61,211
43,219
2,128
54,159
30,18
59,71
85,165
74,159
90,18
18,53
52,128
44,159
17,215
36,133
49,71
86,133
37,215
56,133
63,219
35,165
97,215
75,165
57,215
88,53
10,18
53,219
8,53
39,71
47,215
60,18
89,71
51,211
14,159
28,53
16,133
34,159
82,128
46,133
27,215
20,18
9,71
92,128
3,219
98,53
29,71
80,18
73,219
