inputName,n
11,9
19,9
12,9
38,24
81,22
5,8
40,26
70,21
23,12
72,21
79,21
78,21
87,22
6,8
68,2
69,2
1,8
45,26
33,24
15,9
93,30
24,12
25,12
26,12
48,26
71,21
76,21
7,8
50,3
22,12
4,8
32,24
77,21
91,30
42,26
13,9
41,26
55,3
31,24
66,2
65,2
62,2
21,12
95,30
84,22
58,3
64,2
83,22
94,30
0,8
99,30
96,30
67,2
61,2
43,26
2,8
54,3
30,24
59,3
85,22
74,21
90,30
18,9
52,3
44,26
17,9
36,24
49,26
86,22
37,24
56,3
63,2
35,24
97,30
75,21
57,3
88,22
10,9
53,3
8,8
39,24
47,26
60,2
89,22
51,3
14,9
28,12
16,9
34,24
82,22
46,26
27,12
20,12
9,8
92,30
3,8
98,30
29,12
80,22
73,21
