11,-15566,-1777,1509,-28988,1545,30498,-4112,-27400,6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-15040,-3170,8917,-26457,-23455,-7598,2547,-4597,27100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-30929,32725,-7734,-1214,-30113,21247,11659,-5647,18711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,32097,-31787,-2864,-17353,-4640,22501,28164,908,-7071,-17397,27989,7526,7115,-15903,-11473,25023,8570,-1435,18791,-7989,26988,290,-31717,28139,0,0,0,0,0,0,0,0
81,5356,28206,-9010,4604,32081,-26506,-3969,-19006,1026,8407,24196,-5118,-1040,-9645,-27947,-6225,-5456,21585,-8542,-14424,-30587,-26962,0,0,0,0,0,0,0,0,0,0
5,16072,-251,-13101,-5278,-1708,-14420,-25080,22036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4460,13719,30994,3165,-2043,-29718,-29108,4273,31359,9926,-11085,-19232,26775,-2225,20581,12730,-3883,-3656,-17839,20378,-29829,24014,18694,-15475,-5315,16458,0,0,0,0,0,0
70,-2438,8706,29434,-29774,-21425,-18162,16966,-30436,-8607,27965,23293,28078,11139,-159,-2921,9242,23605,-8354,32549,4743,-21223,0,0,0,0,0,0,0,0,0,0,0
23,-6455,-25096,13471,28821,21084,-17335,21276,-12591,16141,11943,18174,-28895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,21350,-23357,18426,-27533,6362,3709,-30514,31376,29047,11345,-32673,21906,-6997,-30076,24964,23858,-25313,-17149,6789,-19094,16556,0,0,0,0,0,0,0,0,0,0,0
79,1571,-32189,12623,-21859,15207,26315,9264,-7081,-30714,16718,-24053,-16944,10817,-21853,21310,23870,-4982,8455,-15151,18549,20420,0,0,0,0,0,0,0,0,0,0,0
78,11380,-11003,-4873,6915,-10146,-15793,10061,-21555,28538,-4336,15621,16590,-4822,23638,11605,9259,-10900,140,21157,8819,-4502,0,0,0,0,0,0,0,0,0,0,0
87,-1903,17199,20763,-19041,-13703,-15859,-2304,31418,4942,27020,-14814,-25796,-26326,24217,24207,-6477,-26210,-1152,1074,24171,14446,-4494,0,0,0,0,0,0,0,0,0,0
6,11098,26219,-8235,3253,-23803,-17901,32530,-15486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
