inputName,m,n
11,336156035.076,716890975.577
19,336156035.076,963314077.162
12,336156035.076,1652320310.025
38,928975279.702,1353854886.506
81,88362072.336,716890975.577
5,971284209.298,1306563030.265
40,1136351784.263,484839157.976
70,1830060534.01,484839157.976
23,826276686.497,1439001047.86
72,1830060534.01,1652320310.025
79,1830060534.01,963314077.162
78,1830060534.01,1353854886.506
87,88362072.336,1760995404.04
6,971284209.298,1390848588.516
68,153315185.536,1353854886.506
69,153315185.536,963314077.162
1,971284209.298,716890975.577
45,1136351784.263,1306563030.265
33,928975279.702,1439001047.86
15,336156035.076,1306563030.265
93,1020137571.302,1439001047.86
24,826276686.497,1370179621.543
25,826276686.497,1306563030.265
26,826276686.497,1390848588.516
48,1136351784.263,1353854886.506
71,1830060534.01,716890975.577
76,1830060534.01,1390848588.516
7,971284209.298,1760995404.04
50,231344407.064,484839157.976
22,826276686.497,1652320310.025
4,971284209.298,1370179621.543
32,928975279.702,1652320310.025
77,1830060534.01,1760995404.04
91,1020137571.302,716890975.577
42,1136351784.263,1652320310.025
13,336156035.076,1439001047.86
41,1136351784.263,716890975.577
55,231344407.064,1306563030.265
31,928975279.702,716890975.577
66,153315185.536,1390848588.516
65,153315185.536,1306563030.265
62,153315185.536,1652320310.025
21,826276686.497,716890975.577
95,1020137571.302,1306563030.265
84,88362072.336,1370179621.543
58,231344407.064,1353854886.506
64,153315185.536,1370179621.543
83,88362072.336,1439001047.86
94,1020137571.302,1370179621.543
0,971284209.298,484839157.976
99,1020137571.302,963314077.162
96,1020137571.302,1390848588.516
67,153315185.536,1760995404.04
61,153315185.536,716890975.577
43,1136351784.263,1439001047.86
2,971284209.298,1652320310.025
54,231344407.064,1370179621.543
30,928975279.702,484839157.976
59,231344407.064,963314077.162
85,88362072.336,1306563030.265
74,1830060534.01,1370179621.543
90,1020137571.302,484839157.976
18,336156035.076,1353854886.506
52,231344407.064,1652320310.025
44,1136351784.263,1370179621.543
17,336156035.076,1760995404.04
36,928975279.702,1390848588.516
49,1136351784.263,963314077.162
86,88362072.336,1390848588.516
37,928975279.702,1760995404.04
56,231344407.064,1390848588.516
63,153315185.536,1439001047.86
35,928975279.702,1306563030.265
97,1020137571.302,1760995404.04
75,1830060534.01,1306563030.265
57,231344407.064,1760995404.04
88,88362072.336,1353854886.506
10,336156035.076,484839157.976
53,231344407.064,1439001047.86
8,971284209.298,1353854886.506
39,928975279.702,963314077.162
47,1136351784.263,1760995404.04
60,153315185.536,484839157.976
89,88362072.336,963314077.162
51,231344407.064,716890975.577
14,336156035.076,1370179621.543
28,826276686.497,1353854886.506
16,336156035.076,1390848588.516
34,928975279.702,1370179621.543
82,88362072.336,1652320310.025
46,1136351784.263,1390848588.516
27,826276686.497,1760995404.04
20,826276686.497,484839157.976
9,971284209.298,963314077.162
92,1020137571.302,1652320310.025
3,971284209.298,1439001047.86
98,1020137571.302,1353854886.506
29,826276686.497,963314077.162
80,88362072.336,484839157.976
73,1830060534.01,1439001047.86
