inputName,size,available[size],allocated[size][size],max[size][size]
values_11,3,"{6753339828122471188, 3092751344721767315, 1554495071502000332","[[1856482749134336764, 2090041541401314192, 2763870322128245548],[7719778336458950372, 2902103919783141429, 3571438603631422043],[6838124706736005775, 7590661850481968, 6529118087749781126]]","[[358189917191056913, 4848678096529472373, 1665680525285336057],[7321005945460128931, 5626530034161226711, 5551990310964496738],[6374784723176269579, 7977926354939732678, 7173947658559997829]]"
values_19,8,"{2028314756821839604, 4637355653021234749, 3859876807364685890, 5955866984994570191, 5129141173555211308, 7274489270974466286, 7849747673728690379, 5733042479391109057","[[3881679306566031342, 96901412992012923, 8811975721416494417, 1622360537390049090, 5879816668255861440, 3471899035481944770, 3136823480936752556, 6191707354665180974],[5562418626284068865, 1514361199241353715, 3752013926190460258, 3126668256058581515, 8874399264406222164, 3730382477022739356, 4695223054012325165, 292754835682416522],[4099964152235122617, 4078214137623647169, 9053100492008436627, 6197830019785521158, 2346782903509335445, 1163952451483676926, 7711251174711285835, 5589253484385990681],[1553890803614307356, 923855162804357021, 3138764896816410927, 307768117488146849, 2684219632200692051, 590317789945509399, 753161437181219685, 4630846870973044526],[4631694942643561049, 590191073113789454, 9218132297266484729, 394510824028123033, 2714114284397618263, 5361394037202207097, 3503748194764923072, 3333394927238639447],[1688603474784358869, 4129711330030853018, 2689941759098618736, 1189601660689325177, 9158884937569999222, 7764456375157703295, 8053804876923838998, 2540955143033069028],[3490366191406465024, 3053961568994858776, 1595048844658705220, 5653211523567853654, 6048512824145515383, 5855479053962362984, 6063753786648463194, 2332112588463585758],[8179594915375376130, 4410967764320646774, 6677606419759131316, 8497603806729238430, 9019297365502099333, 4496172294284139581, 4848837433876611556, 9080738622830268904]]","[[5398195942214593518, 8226006165423674004, 6599252267655612893, 6321488334001034332, 6186178544691725729, 1893779110709069132, 3258059481355390460, 5717889610159949665],[7391011067848804297, 3323326855881687410, 6142235845451861623, 6251446056108746225, 7033348777264062326, 4999248871301713768, 4391449745811754030, 2286452748322576359],[7833608834807390197, 2036801147619747287, 6029958179263507961, 8423507399360838414, 3703200369856063189, 2705029564014199511, 1842729172483278666, 5986786759781442097],[8877458551213019710, 2696404271094824003, 298143321119584656, 1081557102865182162, 534910143501253667, 2059204576161864785, 1668358012087350968, 7403069598706842159],[4036920355792578877, 7445125035910266586, 5981083835232191698, 941463230265803242, 2838504778327653425, 3241178258987428333, 2640026771543456083, 733593226102142456],[2479744790402852187, 1192276403136922545, 6986726559347709962, 773421914031432231, 360295546628810479, 3037755638630158994, 8949156028190628770, 7531029626124011283],[6351844186968985251, 6057287698063463560, 3031157799293228344, 5978123243025230158, 9108496316757367714, 2821981833019894097, 4490340610237119833, 8843872458352156991],[4962103286825943169, 4519803273937964926, 7930301461717621292, 7324020936165119033, 8277800495182069466, 8927793729952910024, 8825112227850199639, 7877898808153609801]]"
values_12,9,"{8206068577928418230, 8676845722126861510, 4878643004198359101, 6692831525629050365, 2877818369560960776, 3829524792594701951, 2642434025615183839, 2993005407661045017, 4981896419534279394","[[2095900031219126333, 6910358025713689277, 1173200413663255032, 5182105298155801037, 6233560083515386459, 5816976854388163542, 4494623533711475346, 990181997674624133, 854110806724139834],[7865049645108724948, 4034882597048817674, 2207013307809161696, 8997343503550454246, 8022357367437672817, 8843605102239160751, 3362444485660778605, 4077914164857414447, 5379118360554075317],[707849457752288342, 2374877911600674926, 7208464311771632573, 7638668436367350347, 172900314344014016, 1788894141896926144, 5709977956997025193, 966159785655693473, 2722271566533166647],[1949344550778730911, 2739054244007753136, 561616779929025744, 1905276147084372848, 6537674408134080717, 5435844960503940822, 4294569547020027061, 9005590458611207083, 5051206839367829570],[5012318011609658700, 5414261721259835078, 3796288426146577920, 1273866621470082354, 2588349705488853862, 8833316025581950594, 2594450784163643866, 5167476665677223512, 6687295341760094411],[6607682626327566132, 398879415217401941, 6952644179770851735, 4313178226609825526, 6119695810758758764, 8952336939006567913, 7486348971588787607, 2774373659260936953, 7079883720228544856],[2953758558575927368, 3552490984340080361, 2540101552978195099, 5323951056629187235, 6098544381165663429, 7185027121765316677, 3934035257442109929, 5710898652321941473, 658189795178136364],[6251350079638938689, 1967962128469832002, 5376384597299838748, 6812676062555196765, 8070461319771637018, 5202129785826555806, 969743940179607321, 3037425466720886721, 6224273705113684261],[7977000474133180651, 4550187900115610409, 5109489141619486704, 7220501090328032030, 4074778318592371926, 944546099304523068, 5567220829644890309, 3551450626958249817, 775856107229436653]]","[[7405073104893429221, 1978469161453195534, 619019409860526569, 8399334611003366353, 7735858128700334047, 3082672616090499976, 7781408637286255183, 2787118320244670849, 5318314557350327369],[7992583708809757489, 8417377832918231384, 6689837883823905021, 5530851767841331077, 6383808627652604036, 654224206797725624, 7029376756695540728, 6085434606615768980, 7457576558727036707],[5399801975673292101, 2985005600720244186, 3168985640030520048, 5437490750501355759, 9149464632598229202, 9128039929259093168, 5787026025980882831, 7647185642853815793, 8661637464991988239],[2175640064128513102, 6663614318974223150, 6874936145814629337, 7527692257162749372, 3529800082570164828, 4001918931385044817, 9027059099269613437, 127102653388011187, 5959320639402130915],[4479872960476909653, 8463425811960788646, 3130890856993762075, 6915487200725704634, 6043217161346006089, 361657309932399919, 3625881574916543585, 8497652783401944006, 213765516783482346],[7307326423003936050, 3558080535308425131, 1234475682346071515, 3805201255546299971, 4387724057014026016, 7638037591003357392, 5452598858676400836, 2521115212047256079, 6078097312233151299],[5790415092263594308, 1641995496676676578, 4668998699801828575, 5138991453440154898, 8905522842431263482, 4929629868816028196, 3249493721895021254, 429837229406045154, 3998459866910951409],[2155573998701225920, 931374117853612683, 8607749205610520314, 2367623116086839917, 8595688450836088083, 7798570096122590126, 6917954737304303, 4653933633944003324, 2407070260202323276],[1472315228580365245, 6460670595625121050, 4473392491826403784, 7818996976130558326, 2621214998098855960, 1784462585666759629, 7657400096166006090, 5613601809322883771, 255894401953945804]]"
values_38,6,"{389224777213857500, 4772076679687890922, 7564654785742614809, 3723383056297123422, 2972989776947844341, 1140024136142873747","[[7684949030292661145, 4608040856947067533, 7834614042579125308, 1390562254749568286, 1776216134376615607, 3816791665839518746],[2029182111333286212, 6490394927750374761, 1668055017569723275, 6192819317557278753, 7595129879528813100, 3819608681508692075],[5480289218976942865, 7938945615364298815, 3219019991263166637, 5296093496159734642, 8787310699752031369, 6228574616019117985],[4316043605623962843, 8238256030593530934, 6921489954855364868, 1257525099332165233, 3743378891173515685, 5359510897326173812],[2742230964261207245, 6522134569821359024, 6521656198845377921, 1724786419709811562, 5231794535970519303, 2378426693453128204],[3963936893907357440, 6822789221059323503, 1474628333635639461, 7735212268005835105, 6844614221672048757, 4937405238462375402]]","[[6325039428214001179, 495318034484139770, 917054514971269843, 6242137712558603374, 8636127038957652626, 2422158735414852634],[322242204049878027, 7195400894384980711, 8043120227924894314, 3013949091063315659, 8105703965778377019, 9015226898293892972],[6669911265982102887, 5989798862319094665, 6288614723226836205, 4425839043623939826, 3040468054393051058, 6954424904464110652],[5381377882385125854, 8947369131516516082, 6259408856554255510, 3968820296477184078, 6478250301682894548, 1675548295711763184],[81438324257434441, 197419057676792607, 3753311996767915516, 591100130786085597, 6358246530226520830, 6796894757754171745],[170060487476109133, 1706987870086606242, 5005968391006506752, 6200788658376159256, 1572212235109311910, 938660469410592454]]"
values_81,7,"{6202097093319072096, 163710633307131845, 69405315400646537, 46973504521253644, 6711576115647319607, 968420809140414419, 5725482388799461134","[[8030397286600750071, 7473751639168402951, 176555006530734615, 2018193119019098475, 8349925193791892190, 2545563124424305251, 7136057423346981300],[8085399004476416889, 3182910507148870251, 2475404750608058316, 4752455367502636849, 5565525712484683125, 4696573681135208935, 3524738901862812881],[6082375303774676433, 6540646816194656610, 1577587605678338943, 2647849726952430986, 6710064031731446614, 2527853373589581454, 7859506156246113721],[896148273079989657, 8434792885761662849, 6638000758170305440, 7922918781486075421, 8098123814479585385, 7446685777023608953, 1682425925870489569],[8836364035321011067, 7800747994772169424, 8266047279714362641, 6932285275080648860, 7760288865505441257, 850636739221387956, 2114915101491449032],[880659340960560862, 8302560128216981116, 28495805288934726, 4497072859310636501, 1030051746065155565, 7865363263859794949, 1612572576076829730],[5227152021838477458, 6115687939930649937, 1033738264602114645, 2598447507703843456, 5231703402080465886, 4700521487238968521, 178822274599318555]]","[[2724748052474293502, 9155623025741578459, 8023741262054202180, 1869303061244688014, 7930463880418081051, 7300721768601028348, 1057102228986711993],[591874541018450596, 5155833483713962214, 35809539857713311, 1292176349546194459, 5546256724802880691, 1278262872490140271, 1611043658734004639],[6695733041498417110, 7605048556965837119, 3656779869761469282, 3076078263526675403, 4092020011494020436, 7674222525506530894, 3276837814334956229],[8223676587660723015, 5176298581633151225, 1763397168956912776, 4886129288374114859, 3945454297020615600, 5149856042277162444, 1158352735435860457],[7212069510184590963, 2518551630234634248, 5408011050789733658, 7481110063981526626, 1757589284811745661, 2309869095401101852, 748675472150197047],[4426120920175880733, 6394666323111942970, 1821233826869323870, 3166028139873616021, 8121870412692152981, 5045329710800055055, 3691072720835926331],[9005489274435144434, 4083745641167069328, 7518596321428557901, 4563123947901504190, 5419992694539137106, 1092052829123868559, 6386549250336467613]]"
values_5,8,"{7942931122360955896, 3664659712592014332, 1317112832024561223, 8419157406049751347, 4011970918605045558, 3560508396439044237, 3468021850615167176, 9068426419814647942","[[1179115582576264489, 3112397492175652517, 5508483298078917753, 1820209115918145912, 6399525008680639890, 3001824547478712221, 7280938285920043598, 6746506740989010386],[4801616226435322574, 4271006925845155783, 3138831366828574295, 6006366198334583896, 6310615226360406868, 8350479526285242107, 5075209488605793213, 7407603745570173830],[7872564778883899540, 3339625660639165222, 8103435774985487199, 6899103570659644425, 8817967140034281256, 3359741917310325576, 5992354398364833575, 5027648754759773823],[7835895541369277246, 6953969118131297854, 4467466027931244314, 8781013015470808729, 3283504648874725397, 5671026981565981658, 6167786135887314118, 7065444849135034289],[569755333400796667, 5113157082483259351, 2577580664182196753, 2556997077008236624, 4654203232696586715, 372804044792449208, 5921068211794442518, 7441240982298467976],[8017540541793392828, 6953808909046927110, 6472794699228510593, 8171892343334936127, 3223889629523443416, 4020110546501386176, 701851279092882487, 5827734270492930816],[2241028278037750817, 4999318632883580582, 3255346881112044540, 5761381411805942641, 511024083210162082, 4270457915951509567, 2885621170244237511, 1343014316211100941],[7764139952349167906, 7990492283717942971, 8181436406677513682, 4957751064392188516, 3390774841370155996, 7662729650991338939, 7754299983708945428, 5707165236780315493]]","[[3401342214943047040, 1849436193454168951, 1808941526917606275, 5421299987211946005, 537395579340077658, 4280166143699169412, 1468568335648486557, 1760674041104900962],[2688951842161032747, 134049054829268822, 2728913752313351042, 5086250910758660295, 7426493022130992675, 9106644979747328276, 2165687720114486103, 7791560709885824378],[6069858083596994814, 4641568450762618884, 377635751866512911, 3661686433313562936, 2371857858783144476, 9150725200172376184, 6727177897084672189, 3380187080301112712],[5677375195941790302, 3868972188191682829, 5149711209655282534, 3469585997905918881, 3866131858350321809, 8269017409728371113, 2757071590422777111, 1521050976409474528],[6566801081153049941, 3880352928028587494, 2683544923484933738, 3683712409247817694, 6284132492685726867, 6673070428790607962, 602981962350554005, 728675177399291845],[4547742672157063936, 642916694942994254, 1322245346339012027, 2624124884063997535, 2694343000635364932, 3116662605950410359, 714027511123878105, 1122156050523465387],[8919354305312314062, 7233005525709468467, 4721370412506528358, 7627636356995739978, 4816641618172517674, 3099419273174764370, 1954632061219682282, 1255539243691043662],[798557680713664943, 6106826176657335639, 1900527399372042518, 3704613558806507942, 6122167523128716383, 4585268842010776994, 4424110277626787541, 2683018730004058231]]"
values_40,6,"{6572878001476995181, 2651098108216880533, 221348268158871248, 167911177417812961, 5720420566408097951, 1110043060961501826","[[8227503410675593608, 384916987552784621, 5985189465559616301, 2859761944296360016, 9144741351330694552, 8755323519973228680],[1972126962198477480, 4692086034549390249, 5026461720339462618, 5900091922042844610, 1384472679902528098, 1379490769061533882],[2282035698164299074, 7817452572615614324, 2567645700196866655, 8662129636622187300, 1649719663090432324, 7306381585014063485],[2102620355165987898, 6973055262127467573, 4030086499806413798, 4901492779466256187, 6180017806571104466, 1120519380131116989],[6794379911133511150, 7502156013567112496, 7893941535652174797, 6786707259328197352, 3872212380788021506, 9092171914066896263],[3811888924995369304, 2666947504909519944, 729305002957501734, 6438540592093616010, 2203284815791800667, 4788362537483281693]]","[[5295061918233483151, 5541575081936371213, 2308607961125542162, 384666104940417475, 5241723600752276131, 8668003789556499483],[1797726422885696362, 3489461400450195684, 8500666468047810885, 8000315081693005689, 4517699681041299785, 4658786458639668808],[8947447424367822521, 1137855572854750182, 8741120744786888465, 2884660496336532151, 3728630239560406550, 4007664463765154922],[1496447523305147868, 4340261169881257694, 4284433633976467651, 3934908697067343996, 6035134447207258398, 4022638710947366930],[690986346447601190, 1589284212917877981, 144349559427753281, 127216814654847478, 4882973698027934629, 3813459023863064987],[3466602138194653366, 3824868261251246349, 4260956238105768251, 6293204303990864801, 7145379968930745440, 1508154136784541841]]"
values_70,5,"{7045357474141324441, 2187808666596717626, 8591907545234103381, 8242201963891621477, 258546236058003526","[[588081526778444397, 1680251325541451490, 7503240136429752528, 3145268573827217100, 4141781898774203220],[7712879828494298955, 291264561471853662, 4633233481006704676, 6758210768776580963, 3383179399088552870],[1899551546508881053, 340596810799209807, 7561412592660037322, 3295502363663172453, 3060767792548184602],[4812326722284694336, 5647433232842150391, 5077965368571259106, 5391454388653176912, 4996643064574818572],[5341927150871352597, 8991442447326577342, 7383806250023297579, 8314808296057693441, 2566768695680896575]]","[[4442649842386732544, 7716105061893345860, 3782431486827683762, 6049987225141887396, 6468346231095217906],[5838286974449639065, 3173472565828581071, 4746762603444609860, 7315434475752701172, 1111224542668270304],[807344970286405664, 1362628322011093583, 7756968775532753634, 4226345790112862374, 5189832311562091769],[3832137370627628721, 7252503623283882905, 4778121963946111990, 1043933426359169525, 2202632569362842423],[7898785340309912530, 4489296589805175665, 2644704359666832575, 3629404751826912946, 7789341889617164253]]"
values_23,6,"{8186427717573014068, 86807246553038328, 2311646533237923258, 149474116422059299, 3072786378144204748, 2201561497838644684","[[620612598730020725, 4004433230831082311, 3032680270634848727, 8545056673031761747, 7844719532106836086, 301888098911844121],[577088646005674300, 1515968683990882632, 8104496805966513397, 1803751474851084119, 3261904587855976171, 5039763533524809071],[8195649095868017197, 2909203909834327939, 3775268382030666462, 5163405692432742439, 2774149647200110813, 96147669721987247],[3842207294272446165, 6649999917855229433, 3746324794202236022, 3593315322527865342, 6736409500509875402, 2234317857895393315],[8466160008762541242, 8201207837617968582, 2185912550184696092, 7024073970267335244, 2231801839059081208, 5036543004731713672],[829217263006773653, 2102208848739941518, 2915339924989929698, 653879347449393333, 7519387283832647183, 3729110048957648723]]","[[7846456917879398075, 1179095281993843021, 5942416596499510040, 2642761053376246114, 4198267934736316776, 6871065606456251196],[1187364980860477695, 5307869929487658629, 5479166028075403280, 3089580555454247346, 5965734257917040018, 5305866937983613043],[6502148293426657216, 6704131437425896027, 6384511064026597836, 1450378705373180327, 1803421624451139373, 4612219915533566246],[3361678769513098867, 5708370712900519178, 4469824376934645094, 1433021109620426468, 7090673452956379863, 231059013647456051],[925867230315910503, 7014812418270539464, 285810928099711432, 7518437386315292975, 4969154214314603929, 8531851706462684740],[1494570326559473791, 6680090414000172902, 5107168379539748161, 3391645425165251036, 1087414594650001360, 3297829488456613411]]"
values_72,3,"{4794938811644680156, 8669240841689905503, 2074083135673515797","[[6265390083335101670, 1633326273739832282, 556814226500460718],[4589944596541617869, 3456854234324505775, 2758886319313276898],[4597370491657184141, 4505924147635372247, 8473127399837361689]]","[[3092146170282033666, 7706281025364275590, 6350242606523446258],[7662524363140147046, 8251846213881140636, 4253470513598863720],[7802492780691382374, 6907129787206458366, 8412222329263523492]]"
