inputName,key
11,88
19,-95
12,-99
38,-120
81,88
5,74
40,48
70,48
23,81
72,-99
79,-95
78,-120
87,80
6,70
68,-120
69,-95
1,88
45,74
33,81
15,74
93,81
24,29
25,74
26,70
48,-120
71,88
76,70
7,80
50,48
22,-99
4,29
32,-99
77,80
91,88
42,-99
13,81
41,88
55,74
31,88
66,70
65,74
62,-99
21,88
95,74
84,29
58,-120
64,29
83,81
94,29
0,48
99,-95
96,70
67,80
61,88
43,81
2,-99
54,29
30,48
59,-95
85,74
74,29
90,48
18,-120
52,-99
44,29
17,80
36,70
49,-95
86,70
37,80
56,70
63,81
35,74
97,80
75,74
57,80
88,-120
10,48
53,81
8,-120
39,-95
47,80
60,48
89,-95
51,88
14,29
28,-120
16,70
34,29
82,-99
46,70
27,80
20,48
9,-95
92,-99
3,81
98,-120
29,-95
80,48
73,81
