inputName,size,a[size]
values_11,7,"{115, 35, 2, 25, 71, 35, -23"
values_19,20,"{29, -126, -42, 35, 9, -1, -62, 80, 73, -58, 14, -95, 30, 9, -39, -68, 114, 32, 102, -80"
values_12,28,"{-81, 66, -42, -20, -108, 119, -20, 15, 17, -97, 105, -30, 97, 66, 12, -41, -33, -124, 123, -90, 21, -61, 98, -37, 113, 61, -109, -87"
values_38,3,"{124, -17, 47"
values_81,22,"{127, -85, 25, 125, -1, -51, 54, -56, -110, -6, -109, 73, 126, -18, -35, 15, -6, 62, -97, -62, -95, 21"
values_5,3,"{6, 39, -108"
values_40,25,"{34, 36, 45, -75, 37, 38, -53, 79, 115, 36, 94, 62, -78, -11, 86, 118, 107, 99, -128, -67, -74, 69, 77, -3, -93"
values_70,22,"{-91, -108, 52, 112, -40, -90, 56, 15, 61, -94, -109, -123, -38, -119, -17, 57, 111, -54, 10, -102, 101, -97"
values_23,24,"{-68, 119, -90, -29, 38, -86, 105, -41, -14, 86, -9, -27, -62, -85, 42, -64, -81, 112, 79, -112, -37, -49, -28, 80"
values_72,4,"{13, -92, -39, 89"
values_79,10,"{26, -1, -33, -33, 115, -10, 119, 56, 9, 0"
values_78,27,"{27, -50, -55, -21, -13, 91, -12, 113, -20, -85, 90, -15, -109, -26, 52, -98, -67, 1, 78, -115, -44, 121, -128, -3, -14, 63, -62"
values_87,2,"{78, 4"
values_6,32,"{44, 67, 90, -80, 15, -27, -10, 62, 25, -81, 46, -100, 51, -94, -127, -93, 53, 39, 2, 80, -29, -106, -84, 76, -35, 2, 86, -116, 50, 75, -17, 56"
values_68,30,"{49, 9, 92, 85, 80, 23, -97, -41, -77, 40, 11, 58, -65, -25, 117, -46, 39, 108, -78, 43, -39, -48, 56, -122, -61, -12, -65, -115, 109, 17"
values_69,32,"{14, 1, -42, 72, 118, 101, 108, 2, 16, 54, 68, 91, -60, 31, -50, -101, -55, -115, -9, 97, 72, 1, 99, -30, -74, 50, -50, -8, 5, -46, -105, 90"
values_1,14,"{23, -73, 108, 110, -55, 54, 32, 71, -65, -90, 1, 30, 32, 49"
values_45,4,"{-100, 125, 112, -111"
values_33,14,"{27, -122, -4, -126, -32, -41, 83, -48, -34, 97, -121, 102, -98, 42"
values_15,25,"{-96, 124, -50, 113, -82, -97, 124, -40, 29, -8, 63, 90, 54, 60, 48, 119, -20, 56, 81, -126, -47, 97, -121, -4, -72"
values_93,30,"{101, 127, -77, 109, 97, -71, 46, -119, 66, -99, 36, -97, 47, -36, 86, 124, -106, 92, -55, -2, -109, 106, -7, 123, -100, 86, -52, -30, 62, -84"
values_24,20,"{42, 109, 110, 29, 76, 58, 98, -96, -88, 25, 8, 33, 43, -55, -99, 11, 20, 102, 84, -27"
values_25,30,"{-33, 70, -111, -21, 2, -103, 56, -54, -20, 54, 28, -86, -61, -64, 64, 121, -95, 54, 45, -52, -6, 101, 28, 44, -89, -24, 19, 61, -19, 124"
values_26,10,"{44, -78, -30, 60, -17, 68, 104, 47, -93, 40"
values_48,17,"{-92, -8, -112, 60, -61, -86, 50, -67, 98, -72, -100, 53, 12, 80, -58, -70, 21"
values_71,15,"{57, -63, -1, 120, -63, -121, 88, -120, -118, -106, -51, 108, -47, -123, -88"
values_76,26,"{-57, 120, -41, 94, 69, 66, 97, 37, -14, -46, 19, -55, -14, -86, 90, 103, 122, -18, -49, 24, 50, -83, 45, -34, 82, 54"
values_7,7,"{32, 64, -71, -124, 109, 82, -58"
