inputName,size,a[size][size]
values_11,8,"[[-30340, 481, 19911, -18967, 1090, -29404, 27735, 22060],[-27134, -13907, -22492, 23192, -4735, 16553, -25652, 28354],[14324, 24479, 32424, 25549, 3861, -16553, 18613, 11025],[-8483, 22898, -7068, 11121, -30278, 663, 43, 25628],[16244, -9050, -15308, -15606, -14819, -10084, 12756, 23369],[25103, -3810, 13104, -15899, -31113, 16081, -31334, -22424],[-14957, -209, 20253, -16664, 17332, 22926, 27566, -21646],[2119, -10133, -12276, -17741, -3130, 13448, 369, 19513]]"
values_19,23,"[[-24447, -12121, -5324, -11172, -14797, -14122, 9411, -111, -23469, 29913, -26526, -31825, -6453, -26498, -16620, -27037, -17201, 542, 10938, -5214, 19591, 1775, 22437],[-18096, 941, -22981, 6628, 544, -25827, 22553, -15881, 27403, -7956, 15794, 28131, 4998, 28475, 10633, 30042, -2474, -21934, -8073, 13272, -12231, -24731, 22374],[-13680, 30511, -28750, 9926, 23943, -4127, 7791, 1209, -27902, 8191, 15083, -6581, 11836, 32136, 4981, -23603, 1337, 17807, 14457, 27572, -24950, -28152, -26417],[-17637, -17526, -23202, 11119, -6297, 654, 607, -701, 26127, 23930, -7433, 6523, 1138, -5140, -16129, 24436, 30556, -18286, 8591, -23923, 30778, 10154, 11181],[-13938, 3535, -16659, -7511, -3147, 13982, 6263, -3331, -30387, 20482, -5418, -7627, -10535, -13189, 25522, -11398, 14246, 14467, 24447, -10803, 18612, -16927, -19579],[32094, -16649, 10814, -31167, 20740, 19828, -10063, -5354, -12869, -2908, -16170, -3183, -938, -31850, -2018, -25488, 331, 20805, -22601, 26903, 25016, -8316, 2006],[-4144, 17039, -30395, -2406, 13562, 29758, 30436, -30325, -10462, -5962, 9011, 7806, 16647, -31635, 13363, 15055, -6321, -31223, -28376, 27952, -24676, -24572, 18200],[28932, 17516, -29510, -951, 27962, -13299, 3822, -10367, -12550, 8858, 9701, -5390, -17303, -20719, 3212, 17439, 27170, 29167, 8197, 24557, 23776, 10184, -31114],[26773, 26249, -25738, 19383, -13954, 2305, 13476, -12469, 8949, 16828, 17961, 23397, 17940, 5254, -4820, 29551, -7311, 1081, -6292, 23728, -27036, -27686, -31896],[9093, 15461, 32371, 5969, 29685, 2883, 31091, 28308, -357, -30738, -22607, 22645, 27887, 30355, -24040, -18144, 22921, -27206, 24676, 3555, 24283, -6047, -12209],[-27275, 28232, 5851, 21307, 1670, -7995, -6745, -21135, 5074, 21193, 5536, 15969, 16354, 9357, 31279, -1575, 25836, -12144, -27413, -29986, -23227, -30905, -13778],[23194, -834, -9014, 1288, 2049, -6666, -1559, -15253, 1090, 29428, -30855, -975, -10382, -14082, -11949, -27001, -23688, -13762, 26657, 25955, 4262, 21657, -4127],[11462, -23412, -8486, -19438, 29446, -14553, 5987, 9458, -27196, 11279, 2329, -7475, 3622, 4126, -8586, 11232, -12119, 6726, -9792, -437, -32604, 5662, -28992],[-10583, -756, -16539, 4450, 16814, 6471, 23305, -27747, -17917, 4588, -31781, 23051, 30318, 20283, -15283, -6267, -319, 14933, 15757, -4910, -21217, 28226, 13550],[31836, -13144, 24348, 19467, -22214, 16567, -4075, 32711, 22922, -27201, -27844, -29334, -19431, -24834, -19442, -10778, -28446, -30504, 20909, -9068, 27751, -29689, -29179],[7319, -22401, 3140, -18302, 30847, -30153, 2733, 31550, -11115, 26243, -1501, -7286, -581, 25950, 23697, 25872, -28139, -30960, 12166, -16847, -31163, -24144, 26192],[-20777, 31201, 26999, -23786, -31250, -12132, 17019, 2096, -684, 12347, -23652, -10403, 18654, -20992, 7207, 13771, 14622, -15073, 13153, -3927, 16568, -30872, 26135],[17157, -7788, -4833, -8128, 17534, 2801, 25160, 14717, 16265, -6727, -6496, -14706, 9821, 11277, -24655, 14088, -19608, -22945, -12657, 3513, -22718, 13938, 24347],[11304, 28427, 3109, 14741, -18806, 10086, -16906, -22293, 31716, 19046, 13319, 4048, -21623, 29731, -28627, 29924, 19092, -31883, -18403, -20274, 17631, -9552, 7626],[32472, -291, -23117, 12220, -11563, -13324, -26574, 5979, -23687, -26610, 15010, 1849, 17164, -25676, -5384, -19661, -13554, -25567, 5415, 27724, -24449, 20462, -25170],[-21218, 6085, -20877, 9249, -20584, -8778, 10260, 1099, 786, -14242, -14070, -15211, 24919, -13164, 646, -20056, -11157, 10517, -21125, -6507, 3649, -24824, -25451],[-29891, 9580, 4745, 17425, 5742, -23448, -6554, 12229, 21198, 19249, 31400, 22539, -9521, 14634, 8699, -17570, -8049, 2962, 27168, -2338, -16307, 18089, 5811],[-3693, 10684, 20665, 3532, -2573, -12577, 16634, 9664, 5749, 11209, 29182, -7155, 14067, -12132, -1347, 26243, -670, -10822, -29888, 24913, -30163, 1718, 15559]]"
values_12,17,"[[3433, 4121, -8481, -5819, -5145, 15284, 30345, -13336, 32104, 31153, -31514, 1858, -3438, -7642, -14432, -17544, -22115],[-28510, 24084, 9547, -23268, -10681, -24244, -21495, -7663, -30863, -24291, 32577, -26009, 19484, -28279, -5897, -1324, 48],[31198, 19558, 31190, 16753, 25829, -20682, 17514, 18761, -14814, -11098, -6843, 3673, 20873, 25926, 15413, -734, 14895],[-2208, 14929, 20879, 28098, -12716, 11904, 5907, 21810, -12423, -6482, -30716, 27942, 1013, -26450, -23308, 10362, 787],[17841, 20987, -9299, 30902, -9754, -4825, -16581, -6352, 29204, -815, -18878, -4684, 30039, -1802, 16004, 25963, -8817],[-455, -13887, 28616, -15471, 2957, 7447, 3787, -10740, -8987, -25262, -9778, -1161, -7027, -25713, 16018, -10368, -1647],[28034, -10752, 19116, -13654, 32543, -14844, -10338, -9248, 28036, -5630, 7310, 17886, -9641, 21830, 27211, 14445, -1152],[-17002, -13486, 17730, -3949, -20432, 24773, 3724, 22898, -3190, 16125, 13165, 8968, -23015, -21130, 13638, -4541, -25901],[-10403, 1384, -12407, 17318, 16127, 16699, -30482, 29105, 20278, 1402, -16468, 17670, -411, 14155, 31952, -20136, 14473],[16121, -22817, 9424, -20398, -947, 28077, -25, -28533, -13295, -20194, 9992, 8657, -14634, 12269, -4536, -22875, -5464],[11599, -16344, 12350, -16988, -24556, 11000, 15597, 15983, -4726, -405, 22900, 31567, -22917, -26089, -12046, 21884, -23123],[-28386, 32443, 13257, -14969, -3472, 4336, 22723, -19719, -14176, -15997, 26636, -24645, 26765, 26871, -15652, 11643, 8306],[18744, 30009, -7403, 28898, -13880, 7393, -13936, -17041, -24571, 5654, -31995, -22654, -157, 17661, -2272, -28477, -18074],[2915, -257, 23982, 30443, -7935, 6978, -18990, 31576, -14232, 18116, -4690, 12849, 13078, -13742, 26543, 30978, 20822],[6358, -6833, 18220, 5699, 10325, -29378, 22690, 25407, 19421, 29550, -27619, -23657, 1450, 24372, -28005, 6032, -3403],[20560, -22689, 29585, 12548, 8805, -22308, 91, 22571, -24796, 14841, 21500, 19476, -2374, -7356, -17052, -27480, 22308],[-24455, -12885, -6047, 20155, -7872, 13983, 24393, -18565, -21396, -29156, 20244, 30679, 27111, 7112, 4204, 10326, -6914]]"
values_38,27,"[[-29063, 14380, -28222, 4177, 12297, 18859, 16009, 19354, 24453, -10528, -23514, -22189, 32254, -29720, -959, 24508, -10892, -32371, -30266, 9037, 21746, 13287, -18024, 15061, -12169, 26920, -1650],[-13177, 28286, 25572, 30260, -9291, 25229, -26021, -12163, 16095, 11787, -17271, 13720, -12428, -26268, 15242, -24552, 3568, -27707, 5862, -5256, -27657, 29015, 6726, 14155, -15813, -14935, -18876],[-32131, 19359, 32743, -14723, -18385, -18970, -7321, 14179, -24469, 17201, -32229, 28941, -30361, 4665, 26565, 31413, 19553, -25679, -11638, 2009, -28162, 18451, 12067, 10132, 6316, 21710, -5039],[-829, 17090, -16817, -26890, -25739, 21032, 25100, 2366, 9018, 19334, 27480, -29083, -20045, -15498, 6752, 12972, 30874, 11587, 11986, -22392, -6642, 578, 30943, -11095, 8705, 14953, 22401],[-13699, 16549, -15323, 3089, 6152, 25827, -6899, 13931, -9823, 9916, 13676, 27745, -1725, 454, 24924, -5545, 32593, -19813, -12809, 14018, 16392, 11, 7486, 4524, 19451, -14248, -11409],[18834, -31212, 13909, 24763, 26557, -2537, -2193, 31828, 28687, 9059, 14181, 1389, -14029, -14830, 17474, -31360, 3004, -28347, 5829, -860, -17098, -21540, -690, -23889, 20246, 27459, 28047],[26690, -6416, 16840, 21501, -14511, 26337, 17742, 26009, 9380, 845, -16517, 22860, 25567, -1424, 14124, -30290, 26891, -20207, 9551, -6055, 7229, 21356, 23964, 9902, 25700, 13672, 24649],[26002, 7261, -25519, -21663, 29766, 12208, -8462, 22228, -8252, 19597, -30687, -13467, -10244, 23461, -22634, -9276, -6662, -20503, -20348, -21911, -4026, 29906, -16327, 25706, 16662, 23884, -20037],[31355, 16134, 261, 26936, 9052, -30638, 9488, 25941, -19664, -16081, -8433, 23021, 23625, -26683, -28946, 23140, 25400, 10657, 8750, 25081, 975, 31098, 10799, 13341, 10234, 28367, 8117],[5153, 616, -22949, 21934, -12865, -4168, -15039, 22324, 7888, -15757, -23066, 27125, -8193, 10111, -15682, 128, -7794, -2270, 11307, -21896, 9652, 19436, -12721, -1874, -17641, -30018, -14108],[-30234, 13004, 2276, -32400, -19918, -14082, 28685, 28449, -3527, 11497, -30815, 15302, 1918, -31486, -20364, 6132, 10566, -12626, 29879, -10734, -18812, -31160, -6129, 1963, -10455, 12741, -15372],[-19292, 11271, 16911, 16290, 22547, -4438, -373, 9582, -16603, 32732, 30137, -14571, 31153, 23129, -19753, -14381, -7729, -8414, -16344, -22198, 27988, 28636, 3750, 23685, 14485, 11630, 23953],[3952, 206, -20779, 8646, -13805, -28772, -15064, -29671, -28500, -27786, -19080, 5026, 17908, 17208, 4133, 5265, 30586, 27429, -9831, 17822, -5145, -4753, 30371, 12564, -7095, 22187, -30374],[1301, 26861, 25366, 3204, 15632, -27706, -6581, -11231, 23084, -10398, -7214, -18051, 20633, 9056, 26563, 8913, 17581, 17887, 27872, 13427, 14331, -2113, 28816, 6573, 4322, 19668, -4307],[16111, -32764, -24676, -5984, 19460, -16812, -7012, 22271, -7997, 9257, 1663, 9889, -21424, 1765, -19315, 20369, -32661, 27825, -30365, -22407, 16193, -9703, 31896, -10221, -32582, -14918, 25768],[-27605, 29559, 7618, 7641, 16749, -14123, -24005, 23689, -6044, 32563, 6980, 10816, -31062, -9813, -22588, 7910, 3004, 24896, 32732, -5096, -2048, 4747, 1768, 2655, 16064, 19263, -26554],[-13716, 10906, -3730, -18763, -20701, -31203, 19626, -18538, 14955, 2069, 21984, 24102, -2793, 16688, 32707, -24828, 22044, -18236, -30839, -11127, 14545, 775, 30, 9304, 10194, -12921, -16258],[-5242, -7675, -23106, 28734, 26147, 20818, -29475, -30848, 16555, -24765, 15868, -7725, 8211, 27559, -31842, 26782, -20699, -27365, 17392, 24893, -14956, 1537, 18278, 3195, 14972, 14949, 19200],[-32375, -1128, -17745, -4695, 7172, 24570, 9667, -436, 21177, 6759, 25370, -10913, 22727, -11634, -13199, -14792, 23543, -26911, 19998, 3792, 16918, 22144, 13628, 18469, 32282, -22639, -28434],[-4017, 1528, 31299, -15158, -7146, -26371, 22581, -20032, -32212, -13410, 27327, 20002, 24308, 21625, -20279, 3014, 20298, -22935, -29768, 32670, 21160, 3301, 13791, -11140, 1538, -22427, 9605],[15736, -25850, 10231, -10962, -28904, 22384, -12509, -22326, -11859, 7122, 29160, 24467, -28796, 10991, 27405, 23355, -24934, 4074, -19661, 25716, 1067, -20922, -26171, -4590, 14853, -220, 3892],[-26641, 15901, -26952, 31461, 21941, 8359, -19236, -1343, 30064, -11928, 17971, -12417, 16272, 7449, -20501, -917, -24029, -4757, 23566, 2599, -15457, -14577, 3080, -11999, 4155, 17665, 26076],[-27889, -8429, 9901, -5749, 20746, 5234, -23903, -11641, -4523, 16106, -24109, -16523, -15355, -19777, -10270, 849, 14607, 7688, 22713, -1824, -22973, 934, -18578, 4036, 9277, 17320, -17601],[-30339, -25904, -8167, -17657, -32010, -10067, 17234, 26371, -11933, -22552, -6075, -31551, -13890, 8304, -4220, 22811, 17761, 107, -5916, -20065, -29031, 32000, 19103, 23976, -27463, -19320, 11060],[-5194, -3225, 29467, -15611, -25899, 25129, 28228, 29740, 2855, -13066, 5327, -23683, -31812, -20168, -9952, -7368, -9226, -27843, 10560, 27534, -14319, -8780, -21376, -8962, -21342, 26176, 17725],[23894, 20217, -10220, 25199, -8231, 25655, 6875, 23937, 9508, 25579, -26072, 17936, 13657, -15943, -26599, 11700, -6529, -8681, -27060, -28836, -10319, 12934, 3919, 980, -13916, -17605, -1697],[-16310, -11117, 21520, -6270, 19005, 17102, 6132, 13830, -21557, 9366, -26779, -21006, -1240, 18594, -22200, 11680, 14401, -32239, 28625, 1173, 32486, -9282, -31784, 15679, -29235, -8694, 14967]]"
values_81,3,"[[-13340, -24394, 12356],[15944, 26559, 11540],[-17109, -27222, -12795]]"
values_5,29,"[[-2511, -29800, -5041, 23829, -20572, -4546, -7120, 1353, 12463, 31379, 9759, 16655, 31429, 18982, -32485, 29610, 24074, 25706, -8192, 9573, -8122, 30841, 21467, 7258, 12706, -21287, 24101, 14820, -14139],[20999, 31735, 13762, 30558, 3829, -12161, -13082, 9691, 3686, -22379, -12345, 206, -5082, 27696, -28489, -16417, -7210, 6325, 8952, 31331, 22107, -17026, -11711, -22351, 5067, -26597, -12311, 3812, -25444],[5897, -20763, -26340, -2464, 26983, -28813, -15131, 23231, 9931, -20285, 10379, -28486, -12747, -12219, -5698, -11782, -18276, 22568, 6290, 7384, 10276, 5436, 9923, -3084, -21372, -25593, 31761, -16612, 21824],[18658, 1111, -23960, -22377, -18044, -23888, 5928, 19652, 5237, -24368, -12560, -20250, 3965, -23916, -27669, -6672, -12409, 21073, 25062, 18725, -32466, 6228, 28640, -27011, -23600, -735, -1749, -2784, -14432],[9594, -3700, -17253, -23689, -5146, -31376, -11049, -9065, 31605, -19256, 20528, -26152, -29117, 12790, -5532, 2144, -19706, -22391, -13755, 18098, -24967, -21020, 2476, -6297, 6131, -21770, -11925, 20958, 12205],[18641, -19966, 2445, -15424, 26166, 5135, 14780, -23851, 6855, -9509, 21230, 16722, -6682, -19001, 19927, 24012, -28295, -8317, -27113, -16170, 4086, -15027, 22503, -6121, 1615, 17632, -22607, -30324, 12412],[-19942, 28435, 5742, 3287, -25485, -2493, -5371, 8112, 725, -31819, -8343, 11384, -5417, 22412, 12633, 11115, 20385, -15479, -28198, -11596, -5299, -25909, -21123, 20928, 18775, -22107, 14135, 9118, 1363],[-19138, 23923, 1947, -23351, 16706, 22665, -32591, 27604, 2816, -10390, -2961, 24333, 13346, 5715, -18617, -934, -31577, -1243, 22062, 3886, -13714, 6199, 3742, -30278, -28074, 12812, 22963, -31364, 28697],[2190, 14137, 6024, -20536, 7816, -27527, 32305, 25759, -1803, 18011, -7562, 29763, 5299, -24143, -3709, 10725, -31085, 13290, 3164, 18350, 20389, -30408, -19062, 9393, 6456, 21045, 27426, 27160, 15707],[29341, -13142, -17480, -21600, 26444, -916, 12671, -25195, -2133, 19119, -16559, 20288, 17339, 24552, -7055, -18429, -26015, 17327, 2445, 6146, 14092, 29657, 22291, 21767, -16274, -7733, -21078, 21225, -2418],[30119, -16789, 27732, 24095, 29144, -18149, 8090, 7283, 5720, 10319, 7393, -9508, 10281, 6896, -31125, 24640, 5, -1455, 1572, -3645, 20265, 6814, -30556, -12841, 12920, -29330, 8573, -27677, 15567],[27828, -339, -16730, -5377, -24593, -311, -6715, 17713, -28124, -12372, -6081, 31180, -7951, -10261, -17954, -24272, 15334, -31195, 20964, 18380, 18678, -2517, 1273, 17163, 12396, 2519, -26241, 13406, -9380],[5097, 14426, 23719, -31773, 17589, -30295, -23297, 12761, -17738, 31401, -16944, 8477, -8744, 8951, 28586, -15470, -16116, -26064, -1810, 24779, -11161, 13953, -20378, -6776, 22671, -19365, -30911, -28219, 20030],[-1217, 19583, -29874, 24534, 18325, 22989, -31890, 16467, -12330, 15697, -26274, 21741, -14328, -26415, -22461, -7828, -432, 20463, 7454, -30267, -8445, -18446, -21227, 29647, 608, 4384, -27268, -25243, 13815],[-6468, 2223, 8279, 16265, 13320, 274, 10620, 19491, -8470, 31845, -31548, 20368, 29797, -16755, 14552, -28202, 9654, -140, 20032, -2074, 8105, -24470, -76, 32450, 9450, -6835, -24554, -21646, 16599],[-1039, -21191, 25316, -14949, -21453, 9158, -32443, -24139, 11107, -1597, -11818, 25622, -832, -26110, 16215, 24687, -10927, 20685, -19364, -19236, 15309, 6599, 23935, -27296, 14836, -30790, 32242, -15369, 13776],[28198, 26896, -3902, -26621, 9665, -31084, 31887, 13299, 21825, 21445, 6291, 6102, -11634, 15077, 20820, -30776, -12144, -29615, 26571, -6379, 6803, 28582, -32529, 22914, -8012, -32756, 14529, 13968, 21497],[-27011, -31393, -31420, -25464, -20197, -13515, 30133, -24834, -27632, 8688, -10084, -6452, -15595, 7576, 23895, -17042, 9182, -10703, 5229, -13305, -10607, 15277, 251, 17722, -4459, -29642, 29900, -24502, -4730],[24401, 2035, -5878, -23005, 1517, -24937, -25262, 4309, -28947, -92, 12363, 27797, -30824, -14824, -25478, -5356, 8468, -24362, -7436, 13967, 17448, 10021, 2148, 26243, 19657, -21738, 8654, -14641, 9607],[10697, -15265, -9690, -13109, 12760, 22187, -13288, -7540, 24213, -11866, 16244, -21393, 14052, -16766, -6028, 22544, -17192, 569, 9363, 12408, -21909, 12331, -25889, 30657, -24548, 23197, 22845, -20296, 17996],[28797, 14752, -4601, -32353, 464, 2604, 20449, -4767, 29118, 22806, -5567, -27704, 3118, -18778, 28925, -23540, 32033, 28820, -25733, -23483, 16336, 16869, -437, 6333, -14324, -18921, -27174, -4779, -9595],[-1292, 22079, 22172, 5086, -5921, -4698, -27502, 23110, 21678, 25378, 13985, 6069, -9493, 7523, 17047, -18220, -1469, 6432, 7970, 28361, 10348, 20148, -8400, 6761, 11370, -29004, 20912, 31284, 5293],[27214, 18573, -32684, -897, 29517, -6936, 31097, 3972, -16487, 11185, 21181, 26202, 3846, -5619, 10491, -32223, 15491, -5275, -3334, 21491, -18679, -31616, -28955, 16091, 17476, 27745, 18906, 16347, 13115],[6744, 23305, 22733, -6994, -14123, 26391, 30784, 29958, 12993, 29458, -11332, -30511, 10869, -21025, -28055, -26141, 22208, -23212, -22487, 30001, 25687, -16764, 27392, 12293, 27387, -8695, 6941, 903, -792],[19814, 21299, 13767, 15148, -17569, 4584, -14860, 19210, 28358, -32171, -8777, 23026, -16133, 1465, 23898, -13509, 5690, -27032, -12683, 4334, -17408, 32061, 20393, -5112, -23164, -7363, 3589, -20836, 9196],[-16997, 1113, 27231, 4265, 30176, -1868, 19828, 16521, 24330, -30295, 13099, -19526, 13870, -25512, 3038, -10242, 18229, 25737, 8403, 13441, -28185, 2810, -19621, -28545, 2554, 5316, 5686, -18206, -18497],[-22787, -23837, 23056, 24908, -15767, -4308, 18757, -21843, -1922, 31342, 30709, 20614, 29051, 12496, 11134, 19724, 4147, -16430, -18744, 20889, -8424, -4218, 8832, -26117, -29070, -697, -8336, -29665, -20467],[-30740, -5308, 17585, -25759, -27574, -22146, -15901, 9969, -2177, -15498, -11399, 8011, -27580, 12822, -18978, -22239, 17237, -3825, -23948, -14347, -8918, -13637, -72, 31753, 900, 564, -2884, 29703, -6764],[-29065, -28936, 32168, 14873, -29416, -23609, 26028, 31893, -1010, -28732, 14351, 7002, 23344, -16842, 15699, 6726, 23647, 8999, -21831, -19296, 1723, 21532, -11673, -11422, -25546, 2318, 30870, -48, 30313]]"
values_40,2,"[[-4290, -28806],[290, 23130]]"
values_70,17,"[[21411, -25774, -32717, 16108, 6237, -14088, 872, -21399, 9540, 14890, -6285, 3274, -5999, -18129, 7058, -32033, -5551],[20669, -8363, -22358, 28568, -24209, -19210, 4736, 6331, 21575, -3375, -8540, -28126, -1386, -30167, 1281, 15319, 17],[13395, 23794, -11422, 19202, -1982, 29634, -15100, 20501, -2807, -27207, -23934, -9301, -12801, -24219, -3823, -13520, 1840],[28593, -22865, -27077, -13645, 4576, -15470, -18409, 2347, -24952, -512, 7244, 32466, 12987, 22372, -14259, 30693, 7899],[-14621, -21867, 28667, 2760, 1758, 5425, -14303, -3682, 1247, 32393, 30394, 28853, 32293, 380, -18247, -29147, 17188],[-9963, -523, -7216, 9284, 20877, -28937, -27888, -1694, -24152, 20316, -7612, -31363, 5938, 29017, -8756, -23289, 16999],[-11893, -166, -14059, -28826, -11204, 5435, -2462, 19819, -25185, -20043, -30155, -14913, 18906, -18262, -14366, 17744, 111],[21013, 21364, 21921, -21225, 405, -14607, 28944, -7246, -32148, -1618, 27369, 5484, -23210, 16451, 10363, -16735, 7793],[-30748, -10195, 4515, 25438, -19832, 32094, -17309, 13543, -2556, 5661, 27090, 15647, 8306, 3924, -3127, 28778, -26302],[27674, -7494, 1139, -14319, -18400, -16614, 29039, 3531, 32039, -2071, 21604, -24257, 11408, -10486, -15506, -28510, 25265],[17349, 1465, -4723, -14818, 9939, -26379, -18243, -794, -28738, -15285, -8778, 4445, 12229, -5389, -11439, 24472, -7062],[-28809, -7622, -2747, 18847, 2314, -24494, -26082, -426, 8303, -15219, -21495, -22739, 17243, 25987, 10425, 15402, -15492],[24305, 14981, -18749, -13443, 2792, -436, 8468, -19283, -6166, -23142, 19117, 27300, 14688, 4547, 7207, -19996, -23427],[-21170, 14604, -8077, -27990, -10307, 15870, 20876, 15236, -18833, -27018, 9273, -29459, 28626, 12538, -21621, 22048, 23348],[4734, 2738, 17479, -7748, -25669, 23648, 4518, -2630, -7804, -27026, -7385, 22375, -32179, 6690, 21808, 3774, 8431],[-25676, -23464, 13957, -2554, -11054, -16573, 25985, -30326, -2710, 13832, 8400, -29282, -17581, -9847, -27694, -5913, 735],[-6747, -6287, 14379, 9136, 23729, 31712, -32371, 20448, -16255, -28865, 31726, 4182, 10499, -21103, 13507, 17657, 1397]]"
values_23,9,"[[-12848, -22461, 28209, 8077, 24068, -32152, 32511, -27897, -13891],[-6091, 24525, -14332, 4563, -9858, -22613, 8196, -7358, -27723],[13999, -27715, 6823, -2936, 31933, 15567, -23405, -21909, 21479],[27771, -20199, 7169, -23911, -26636, -24987, -30040, 30947, -14655],[-17588, -6298, -25757, -2947, -11159, -5475, 19788, 8431, -2808],[2628, -29336, -18850, 9140, -15515, -8292, -18402, 22606, 32611],[5112, 13735, 13427, -18783, -1450, -11322, -28175, 4197, 1696],[27829, -16895, 14492, 21119, -9623, -6353, -20823, -31681, -32418],[24583, 29531, 29777, -21265, 13268, -16560, 17930, 29644, 5495]]"
values_72,9,"[[-29904, 25637, -8167, 15811, -17277, 2624, -24293, 25363, 23609],[17446, 14812, 21374, 16368, 28689, -20573, 18046, 4183, -28575],[20572, -31553, -19219, 10659, 11660, -20385, -22299, -18533, 29712],[-11867, -29876, 1397, 12295, -15045, -10008, 25002, 7674, -7827],[17891, -29399, 28576, -16776, -14844, 1914, 31956, 14083, 10942],[20999, 13459, -3511, 10639, 32052, -19788, 154, 24922, -8114],[22461, -11745, -894, 28647, 3721, -12901, -20767, -28977, 11741],[476, -278, -5841, 17909, -9089, -4859, -25725, 6301, -7844],[17945, -28762, 24558, -26567, 16307, -6049, 1524, 28687, -17712]]"
