inputName,size,goal,a[size][size]
values_11,8,172,"[[-7574215752047735833, -4041407336537915445, 5806692778914668416, 8946139258232414575, 2651160261309537074, -2843330378320265495, 6755955193889391198, 651127857603211471],[-4100912713638014181, -3939533115281564979, 2869064936389322207, 4345381939449180524, -7191782054687636433, -1215329376693579715, 5802469760962508952, 8966253152914743535],[7377785331368331096, -3624381763614765128, 5163788185053879244, 7422422060821824727, -8555531618830713457, -5699798971444413296, -4997543519043800334, 1176624711646240881],[-8593471175810704871, -6561807725396836417, 2691669767530794293, 3035869540823295445, 1521168287191617015, -2192372831142938873, 3856928772610448431, 4244913634807129008],[3079900155349773466, 2933877676549148613, 626699176417012445, -4145068683540292901, -8439705945477836080, -93996753132670139, 8767062269325769713, -582008407714008971],[1087372522101043303, 2747449618471039880, -239365664906778694, 8472723844973299834, -8119718911234544376, 3091770946873425213, -4954264864673447766, 4510000261076872088],[1495772483150630265, 6064171514654976377, -6653054085283387100, -913892439115258467, -6336873125783018208, 778333393974571132, 7697063146450892791, 3171886931613673685],[-2726091831457509590, 1858652646694669922, -6829107552627656876, 6898446644781995223, -3576099252700482348, -4222107808349118700, 9085155419224870102, -8347120408293655876]]"
values_19,8,179,"[[-1729037750786824374, -101909755177030646, 2459635727316309522, -881573868246493583, 4136667563936727926, 20103663598617593, -2730099940560699150, 5297151120632440298],[530367109857768274, 617293991416732926, -3804211620846667589, -7705314812744225644, 753737297281096525, -638098746324755367, -2602542043069935077, -5333352262502778770],[8971743010323033354, 7925432313808408683, 1401267870594986328, -8650114926457001995, 1174696904892621371, 882997010754018574, 6396752573770322545, -3500333579316063898],[6545413911923354549, -2715281193732166348, -5805672259927132952, 1228353802740128249, -5045441696614463184, -3870890802157022459, -5806504486363541543, 9172191361921125120],[-2618872737784631259, 2036846820538351225, -1553598350724482026, -4332840375438372050, -1276123581130630490, 1482847622719769283, -5796010297179393365, -4218417802678424160],[-216465386708550490, -7204344161883759028, -739818997556407699, 1095983447356187367, 438044601887394298, 7606121617629098032, -1320106774202846394, 2938645645759080303],[8989813493773426328, -4910826402529990905, 7449586948725300673, -7055654068764279182, 5986823234158295501, -8904574850734414298, 7673231289824875469, 1937533167598320828],[-8042030826015078182, -3687856835753134650, -5853303144454810662, 8976003223079169063, 1425567235901945463, -938707715699887392, 3482313095778513230, -7482520809168948332]]"
values_12,8,226,"[[-4425974135072382015, 7591269901144202077, 5974455524231820026, 5561079389896676037, -5695956294353603773, -4829054427522157220, -8749060887533820682, 6243434295307854600],[-4521857558858667008, 7664684697787004968, -50481753125471204, 8029801631087817216, -435471042561193813, -914991744740121417, 8002203693151767889, -8947340328785837681],[3247324675956775236, -3652213115735895494, 8383959145798380996, -8517153585840867592, 1913517443274358637, -4640500780562246155, 779699588355944905, 7490253351668472695],[-4866241763016616210, -8548539611775476498, 3516156742205239640, -5347792136693366761, -5877864106510514529, -8380281319602022670, 6022611403974167073, -5903885919719590384],[-6200507749868577553, -3315021128305746244, -8664707672931359151, 7926143806376344360, 4773865640917137074, -4185610712250235333, -4255026182864620753, -9157639202104188085],[-118329804779575708, 8959503467635578819, 1097186988011394990, 4429578414656872256, 2797265805724779625, 7109808362962320541, 4711320463906642320, -881890450989078490],[9039671388977972606, -9182744791262028900, 5658948908410319998, 6922471614609064134, 7985141459725551154, 9093973509594838552, -567605928284684662, -4001135117723311693],[-4223721742043909815, -7344918882600073874, 8146822976295408311, -7591300841646178319, -6446476328122060785, -1313039794625713758, -8168825397232022253, 8329690466335915672]]"
values_38,14,187,"[[-6753910835008399698, -4104049175510153416, -9076571635443134591, -1445986391774637362, -4740030083987248753, 1872480113446129679, 5353937699119035024, -6338471986797629138, 2080175079411666388, -2464460206066294366, 6102355101969649927, -5036403502480263322, -7960527969230699147, 5190521089707345686],[6045990203536956118, -1954123947492688834, 3471094369020315927, -6602657795750949058, 879485944640849434, 7137801496664354812, -4543461636650989965, 7271010753521091841, -555022036121864400, 1947245549715140589, -8821350786535354541, -8277159249161562074, -187384390248096872, -5896217786188191273],[8223819398041009262, -3074083290213139430, 1609226869422258371, 890805478741553011, 3462963291520852753, -3994797446272093215, -5584271144765622370, -3042880965674272384, 6323794914203385035, -3840366912148835494, -3329355637733992736, 1597425727312833897, 1931633757887567518, 7373805825387457401],[259088643227655205, 8585796869800095861, 6270635925791253536, 600931376877407227, 1224446378006597477, -3593606040924417814, 5116123628183502127, -4940404610729041711, -2459478100253423551, -1943670599155584767, -8157680484108756567, 6049476942845036624, -7526403097703291141, 6385356765930348199],[2748658800457022880, 5066743904504913612, -2770618889935014992, 2651636467086359205, -152060539673059791, 1133417350470370472, 7103962824782106909, 2105866034408225390, 5113754696626752673, -1174610381768847089, -2388586187866366663, -3415575899128194183, 6075961840919035295, -632371654031698849],[-4581116347463557641, -5802727126442786658, 4967478459257073069, 7336510277889822187, -7536599275944864540, -1338827316786646643, 653485234661615144, -6311765634783923898, -8414277040044482753, -6482951396069308773, 4352560086594348598, 522146024504490754, -8172362226885327864, 7482472523323382504],[-7532688761981511640, 5233055553442964226, -146320137215970649, -8598772767383523531, 8378246859400509333, 5710931609239678875, 4702328653223170827, 2446368729526812459, 6414604683343634135, -3571969080710856594, 7603534602252003231, -2783323604636502070, -4274370389768973487, -5130938036085239830],[975442138311678499, 8043046770616025449, 8357807921997122919, -9144425058161861221, 419825254478549502, -5117113092580399410, -1442999514576466776, 7799205533394603199, 6962821346915921579, -1821826513250390703, 154930606772691738, -8405965729750774085, 2558036812922981356, -1430432050888200863],[-3814504554905210604, 7797729370775875299, 1367463678417534612, -1209738511550949351, 8347639701868015345, -4807529831839226749, 614142398142665450, -175211941256242363, 1325963121427472712, 2308696282027527845, 2078876071017498411, 2938814822483010017, 4636554659925799286, -5655474543710907665],[7618678525654073891, 8066352719095601429, -9059755974456815687, -4734789470213712930, 5162302314131895557, 6673099956598531816, -6977135525200706217, -7543821605638010059, 6178280798936705182, 113890303118950017, -1388880223044807612, -5667478832944908768, 5752589678185282784, -369408765292993408],[4412451856708579283, 8345062472242710978, 8433425083149848476, -6567284501702745829, 3752585110858576685, 4038555423012403176, -3436258746526978688, -7541475303835655517, 2034887709259759073, -1697303699111544831, -7722172914189446436, -3045801424404087011, 4961519451743134932, -2037538773870421807],[-7630042383783008475, 668500850692282589, -1286250850278278439, 3967160644953627201, 2917256795293280634, 3307139427550897827, -7357354091483241621, -1446507958970086440, 2859468119651665748, -1833161543504509803, 7398362226033420721, -3141010417447135284, -3398413428243025720, 4061009699439521371],[8646561850746415915, 6573978783941860557, 7056034590693155727, 3562220809701860194, -4988830173417480901, -7684179587754873338, -3574973300936891868, 9177648818937143990, 3088019006207170190, -6393621112403187249, -2023519365228674134, -4145276678588316239, -4228246239291450663, 2312054708982196013],[4189655490786125920, -2266745953476646238, -5225740931312158311, -3860343563245348329, 16949037303222492, 4452832749710860388, -1434221774458296705, -1879395036061594863, 6075714473463006525, 7662082817930522683, -1692999927824455626, -491954045890998152, -3468201820025028556, 1610401078447451949]]"
values_81,8,172,"[[6708102809686761594, -7762642172659667022, 4264835803961559996, -7891093247860050373, 8494468650478801739, 2311116853493119415, 3042572116229401436, 126463827235832338],[-4726374863637098981, 9084119712883412111, 802073454980017375, -8786200999558204056, -3432345803648099806, -8328379148862686006, -4842744031090467966, 4153066513937802127],[-3491184098984346938, -816956120592028904, 2673908110366777216, -2212286499127207861, 4271945361424805207, -5580384637967332263, -1403868649112064466, -788781601008895907],[-158940519706452816, 640452033611840474, -2280416347164608074, -7693370728122609437, 4278483718785889901, -5927205937392352555, 6856451862774609929, 5351471985700121893],[-492859938490829452, -4901540483387984407, -4514671395879745944, 4020797894456792260, 1241599116741845067, -5244166650873029257, 7846892876272869975, 552740130843553689],[1466501111928747487, -4433948328386537992, -6594292265282420103, -7185318182837318404, -7789067657151520174, 5442897542492351385, 8140899066472110045, 3561558345233393896],[-1715941270690134015, 4120919253214288121, -7260709024402834910, 71839620628464470, 9088616694546405451, -6206394200962854788, 2696768712188103684, -4473479436295697843],[4273526240987730745, -4311431035665217351, 592022545901523553, 3133050594621085591, 1050299161532057668, -948490945435946502, 6694293755507684693, -8994569930806639598]]"
values_5,6,209,"[[-7759022800487857235, 2102121952074228299, -6477889337032993230, 3197959493973449974, 2661203636544565946, -3915461358103163023],[-5557203868769223681, 904685790378133404, 4096619891887968592, 4151276228187092690, 6467502385156295149, 3512031230130216935],[7313326520379794770, -2212357627622892039, 4611022517278728029, -1787071838393048900, -1446614384021553801, 9112218269525456406],[-354702584886007314, 1099707796372911844, 1515283330610613317, -8299438195683290905, 1874655139356216318, -986898960368484744],[5798351563484354698, -6032082077880891248, -8635914323885133144, 4120900782065024531, -7932934070229162340, -5127261671245448018],[-2309991379237492023, -4497166134098034655, -3738512574775795682, -6265598535456268253, 4527920268813579705, 8269291649759446827]]"
values_40,2,143,"[[-3006658500295791558, -7273457297618822307],[7910599226509794987, -1400575366256380120]]"
values_70,13,143,"[[473911332713169498, -4196956450314302760, -8122508749682449698, 4069896145010256798, -1937735962764265364, -1408695962485620443, -7159013874062423212, 5287580441412848500, -3493500642958605818, 2817681889415821053, 3076651356881280255, 5089552119167073213, -292367031423375941],[-7544646536317726829, 8070927652673975872, -4137932729702824499, 1070807492301168776, 2821846243263475891, -3415046055862044735, 1088828622815330906, 4284448561885808155, -5721235031893619536, -9096833889761826474, -3122012455242347402, -7485294830970524457, 8989489800310213249],[-5940145992794011030, -9209055457369889448, -5367392296840411035, 1026439955554719548, 5587744978558691405, 2019499761260410162, 3821276487465523210, 1243095918317955088, 5790135769678258111, 3546270435078608605, -4456199095153441677, -7900098490499498694, 7180456107511890689],[5348331282942786218, -6820292617270134957, -7280340371489949390, 7049314152435319871, 1086404602062429926, 2211054622513027037, -4747433433864339327, -5380285090452040876, -7090371921602444305, -4439844580214101957, -9070711739856924078, -2218627548167581917, 6795266042557756889],[-6620224029753852402, -7936179109754022236, -470721821723685335, -1281976482036388437, 6359685262148184541, 6673428297537470175, -6121642494804079165, 3318837424843412514, 1771751434571271716, 5684223113877279198, 6671418202163973387, 6880650862670960304, 105455871614901975],[-5940479732912443646, -1268876773120696545, 4261050142035871316, -7958129211881041277, 2623989045018350371, 2018639628130014089, 74338967699512842, -8476457516126857710, 8824822505885610369, -7424500231042016771, 1231982361811030434, -419890857380186355, -2408917701681824282],[-5629565334769796668, 7402228047115028125, 1294730041365774793, -7967774682711879353, 7916692075762103562, 5523307784452546477, -331397370952690272, -8455947573276063815, 2506508498201517470, -186039464166957321, -6422706530922347751, -1423057233440533779, 6497605384647361808],[2557725489867419587, -1364300384803710878, 4544640017710215937, 1976128517460921536, -2461365702837223869, -6921631584866882734, -7353871337565922722, -4493837171626274409, -1017744286844950562, 2639776183144703728, 4280105269084446117, -2802178635746454947, -2543750011474747508],[-6093109671019230980, -2468066114029556514, -3665376333418114699, 4215556030837712115, 5297747001388916001, 6326698423395337211, 2747306552935915839, 2124960570002077156, 7565662704383335577, -4285913942835362201, -1367375471308552261, -136867088421854804, -4428924721357187856],[4795598393652473855, 7432872447065175032, 3488104021455243782, -9142295442279053196, 970599657011917224, -5393616927769640546, 2591533808727117556, -63884273456909074, -6851865228991649827, 327532444409273162, 5762348673002940062, -2415764867164588665, 7322695399117179545],[-7317955352197130498, 1505729318858354092, -6547027751548788041, 8748751778457985258, 6836911154954980853, -3727269718204544908, -2343456964369056842, -3951108659153137149, -4432377297162264011, -908439992108801773, -5104575244893302957, -4349385533577252583, -6568475502093016048],[-7403319382093907011, -4792108580404564310, -2145510007278491244, -3112471036976055746, -4694244562829204171, 3873953809221883249, -7286924702349041465, 5266534371957438866, -6835726150328556414, -3711521904307394471, 2397048697619083101, 8885062229834375189, 1090286494205518370],[7733048751595344490, -2673126314355497811, -2503623050589795771, -2063580078110979739, 7149758740584819105, -3578003860604950350, -177272422135765639, 926610221424423001, 6240070129831681471, -9147006812204536273, 7228685853626886267, 6699482441984576056, 6732850610516620059]]"
values_23,13,59,"[[1874901295810847217, 5553069269433064420, 3240761522597180205, -2072429216199651843, -5704506928693714755, -8370139372626886865, -8528588967021180726, 3948495152945657312, -8363464487114273302, -9078354647181814911, -1610645666327242545, -1891660882186161335, 8503950754189159064],[5632174695218249113, 5739254071034882017, 1241376504950493478, -3970045329010106651, 3609198299164637813, -2507273632501562164, -7013499137739402677, 1329145776878683523, -1616934501766218663, 4791415770618020171, 877421176959986488, 8866130394090487295, -1616339165170521591],[-6800864155882164308, 657632681311606319, 2302701485973233679, -1608015549887353987, -2302020285481150269, 5784708981881313081, -5950616810857765520, 3758452982851852797, -6761268789104131047, -1711550734234903157, -2781593245938699799, -5174071681032005169, 3668260793752978706],[298051727764203927, 5783602190183162890, 1428365580838885937, 8987098000779351880, -8159836264580828493, 8376499874188623617, 1776350432411918023, -2368714153399342997, -5483694634471425125, 2680102221241137966, 8502908194556983553, -8942002418241578522, -5689546066453106503],[5837661850666103198, -9149615993554012746, 3070448858807191273, 2446613232381243086, 7055814539267840777, 7565655795408237078, 5566917681063505937, -3730891589221164013, 2564039774759648408, 3999206317055637191, 8965969085433058074, -6101337494658507216, -372334883833872004],[5454484475082842161, -4812047615508419742, -433693441210394590, 6046248084875774619, 2880678157925564342, -122186623540553293, -232107080551995271, 1481779481454664759, 2752294950412656553, -9094820369337467594, -2713899881294282817, -6761038294089260309, -7070764687434519904],[6083257054901696881, 1986204552970201110, 239378477203624808, 7039672783580512828, -628791716037387786, -2821492368071140184, -4565210539486004906, 5041410376975655830, -2469913197491671930, -4263402848504623345, 4047263269336087248, -6148824692875862276, -912118785727189530],[-8217889291121437323, -8557840820508930613, -8747795696727546947, -3933866492048896029, -1786160538560626309, -5354774950621032801, -5474753935130561451, 1619328753528500106, 1901547565634488038, 3777952427886794493, -9167432081192815689, -2333976289093448739, 4082599182912418346],[5841931894570520010, 730401105595982081, 196843347989249336, -4464480090283553353, 5567034041632827305, -8528910037299805212, -1024207882131124052, -5935281752817020504, -276222643813091898, -8099482386303303459, 8093267650337920539, 359718404645427812, -4090696343700963790],[3661465856217665244, 494131467967504602, -4200897457525933199, -295734520204077495, -1649634786213958608, -2411382448791484725, 9108268407221306625, -5053962286196623384, 3894935770895600206, -2671966496208192123, -322529735589525162, 846190443307864327, 7812448007966578134],[-5353029892025965295, -6863309219385231551, 75351134615652096, 1560282535288116807, 6351063859559026312, 3124682406266940386, 7957164089186226972, -3071612423547738176, 4204359807862517429, -1922644545048625624, -3486853513140044216, -8369563165549657696, 6536581857906387881],[9097589407317056908, 2822964665995837249, -666486884773220253, 3735194068443206733, -8363166873672975183, -8082297645597923512, -1564770888692251349, 7977947871144478001, -7595683362171118884, -6096105510133829719, 4305944534523883010, -6351243249097000178, -8304496469092921774],[6686620398016415739, -7694631594702243963, 7513960122940505187, 2301923866976246461, 8877255035485276365, 6622944062218078052, 7548015449441825496, 7740015476180560795, -6215687438969862326, 2627737219283141048, -2330388382325786856, 8226401636294596299, -6282400232891528519]]"
values_72,13,226,"[[550019561905786504, -6476488304398150333, 3525923484892833481, -8450289426804171451, -2612793979349739343, -3623629116078510562, -5417733704732059773, -7157426076120643410, -7319396875468459283, -7734660280683221850, 6872912781916737210, -6287634680279296466, -2044893202729846339],[2280217114937522038, -5532529556675605647, 7400132680502834343, 6913188017611556012, 1892344539412570341, 8345808271252392867, 3426274123216732615, -8815545849861702954, -1231058086351801733, -1144695642980068917, 8834914991885524930, 5983314861376747427, 675562164155110000],[-8419965465773308386, -4172494022279407002, 1773862970126884620, -641338232582021812, -8281328417591565051, -5676323603030417974, 1149009608546222259, -575289808354265515, -8823826285501621833, -3565323613338334422, -2935538535214423969, 8419099383043474142, 78053721357571405],[4377239726309269021, -2438779741398845895, 1794058155469073364, -4877165659397217152, 2134734893921117456, -8095152674488000907, -2864844729942671682, -5100708335592426056, -8083795112552112801, -4011458927277389124, -2657838229508958990, 746974959510894191, 6322633149528895691],[4581329224764312038, 3872189960344544403, 5729330607743331904, -5066461570487439782, 975125036243611347, 6372660034356016046, -6542521415254180514, -1099910550949080268, -8263797856815350974, 4153798627499415169, 1957295197484187218, 3538375193006817777, -2448912449981805136],[-1401496865236318718, 5905957516716055861, -3044869659179572587, -3954606068218259851, -5680384311252472228, -4613314301058234470, -1125653755753816920, -8465440152210193339, 3474196549039134327, 3380821507342036162, 1446144682034461187, -610495273068481882, 301981034824087629],[2198440200996152699, 5457983617738960877, -6531516849788620355, 2265132708569579810, 8384601974012727455, -15690363441534124, 2955614644398365871, 688741509050133435, -485643162095080551, 1379742528976192920, 7558459948682459254, -9060081937088793308, -3288846643188074837],[-5900784148957669873, 4258234562086134856, 1520993377897234987, -2432701824680656601, 3542968827161464474, 8393788516419041696, 5406453838744948440, 7128820646899912494, -249013490160737214, 2874704952276620814, -4467313883492618780, 8516770736575090810, -2965255991323126105],[-4434526483253627493, -3517298956159412339, -4885874804744037594, -2126929198781369812, 4057114276149603381, 8138662768637416071, -3463932225879133523, -4408697660323512428, -2952377070067984103, 6196980848815439633, 8055583451743382085, 5327455231061317036, 2935511362709028085],[4200020279946764639, -4335906239716250408, 3223099530682693417, 6673833121999688838, 5705573740292748965, 4379557250635519170, 5279130202358838484, 4072032113217207026, -974891680830363720, 8056653220287751276, -6357748399495205211, -159173029255746910, -5195924670019914124],[9008000585472225990, -2823290702987823435, -1648053774579397654, 5487613058885753651, -5255214313868834312, 2304903220825656445, 6454995515928063934, 3927009697033825009, -4536764408645035570, -8787067135682742011, 7770790369686398023, 7856161130995621032, 4507008260029189459],[-4098023428562170934, -8137422203519327893, 1574290907102153062, 1792763317371854380, 2098576868403710359, 7580364013742234648, 2856904924142181061, -61196204215759401, 4516131907690398342, -1826970292347906754, 713748469505626114, 4083330765932220313, -1684729943261887575],[-4811479097014477903, -2449001955823548925, 1488499528164610989, -4852115854805805729, -7686448567204248189, 7091229617525252978, -4442238573174564670, 4077219834854790605, 3917862195939034593, 2757559420267296008, 4519314060255572221, 396224347375967963, -7935054390562821804]]"
