inputName,m,n
values_11,300460591,455700511
values_19,300460591,1350513360
values_12,300460591,1680287509
values_38,424761276,1662217176
values_81,1300562152,455700511
values_5,72541196,284040843
values_40,1217994964,236851356
values_70,2060802603,236851356
values_23,257536891,1990687985
values_72,2060802603,1680287509
values_79,2060802603,1350513360
values_78,2060802603,1662217176
values_87,1300562152,1750349766
values_6,72541196,344771915
values_68,831980203,1662217176
values_69,831980203,1350513360
values_1,72541196,455700511
values_45,1217994964,284040843
values_33,424761276,1990687985
values_15,300460591,284040843
values_93,1904030926,1990687985
values_24,257536891,1693810635
values_25,257536891,284040843
values_26,257536891,344771915
values_48,1217994964,1662217176
values_71,2060802603,455700511
values_76,2060802603,344771915
values_7,72541196,1750349766
values_50,186775220,236851356
values_22,257536891,1680287509
values_4,72541196,1693810635
values_32,424761276,1680287509
values_77,2060802603,1750349766
values_91,1904030926,455700511
values_42,1217994964,1680287509
values_13,300460591,1990687985
values_41,1217994964,455700511
values_55,186775220,284040843
values_31,424761276,455700511
values_66,831980203,344771915
values_65,831980203,284040843
values_62,831980203,1680287509
values_21,257536891,455700511
values_95,1904030926,284040843
values_84,1300562152,1693810635
values_58,186775220,1662217176
values_64,831980203,1693810635
values_83,1300562152,1990687985
values_94,1904030926,1693810635
values_0,72541196,236851356
values_99,1904030926,1350513360
values_96,1904030926,344771915
values_67,831980203,1750349766
values_61,831980203,455700511
values_43,1217994964,1990687985
values_2,72541196,1680287509
values_54,186775220,1693810635
values_30,424761276,236851356
values_59,186775220,1350513360
values_85,1300562152,284040843
values_74,2060802603,1693810635
values_90,1904030926,236851356
values_18,300460591,1662217176
values_52,186775220,1680287509
values_44,1217994964,1693810635
values_17,300460591,1750349766
values_36,424761276,344771915
values_49,1217994964,1350513360
values_86,1300562152,344771915
values_37,424761276,1750349766
values_56,186775220,344771915
values_63,831980203,1990687985
values_35,424761276,284040843
values_97,1904030926,1750349766
values_75,2060802603,284040843
values_57,186775220,1750349766
values_88,1300562152,1662217176
values_10,300460591,236851356
values_53,186775220,1990687985
values_8,72541196,1662217176
values_39,424761276,1350513360
values_47,1217994964,1750349766
values_60,831980203,236851356
values_89,1300562152,1350513360
values_51,186775220,455700511
values_14,300460591,1693810635
values_28,257536891,1662217176
values_16,300460591,344771915
values_34,424761276,1693810635
values_82,1300562152,1680287509
values_46,1217994964,344771915
values_27,257536891,1750349766
values_20,257536891,236851356
values_9,72541196,1350513360
values_92,1904030926,1680287509
values_3,72541196,1990687985
values_98,1904030926,1662217176
values_29,257536891,1350513360
values_80,1300562152,236851356
values_73,2060802603,1990687985
