inputName,size,goal,a[size][size]
values_11,23,116,"[[-31641, -351, -29466, 26373, 10699, 1770, 21424, 7981, 14190, 17519, 28872, -2121, -2176, 18755, -15424, 3334, 7006, -6002, 28503, 25443, 19221, 22272, -24548],[12332, -17467, 18711, -9954, 11051, -28943, -1435, 8218, -19908, -3194, 7031, 31825, -1449, -21831, -8425, -1013, -17770, -25449, 6215, 9872, 15876, -25444, 1942],[-27326, -18751, 8780, 3610, -23027, 8159, 16188, 15092, -26488, -20704, -976, -21842, -5546, -10937, -22428, -21667, 15819, -13065, -9402, -30234, -17726, 16457, 16733],[29260, 29589, 30365, -15858, -24749, -18201, -31133, -14396, -25869, 18594, 5966, 31920, -9095, 17463, -22501, 30597, 22605, 8952, -11132, -31679, 7710, -17371, 32760],[-18574, -21738, -25315, 23916, -10336, 5416, -1777, 2096, -31927, -23064, 8265, -27288, -7543, -16525, -29995, 3088, 30653, 24548, 23502, 6353, -9499, 25788, 17959],[-21200, -2415, -17803, -7882, -9513, 29978, -27100, 14130, -5616, 21400, 5898, 14109, -32186, 29568, 12943, 12487, -7804, -8032, 20474, 31378, 31433, 4210, 12310],[18789, 30648, 9324, 18639, 23775, 25379, 29413, -22155, 32187, -23323, -21324, -19122, -21648, -8981, 3362, 28560, 2989, 27447, 12050, -9886, 16528, -7319, 30054],[16647, -21580, 25355, 12868, 16801, -31506, 23582, -30129, -18890, -10415, -30399, 12063, -16328, 15534, 22122, 12024, 15453, 4442, 21134, -2678, -27384, -13511, -3001],[21036, -21211, 6916, 4014, 28629, 20684, 18217, 9315, 30043, 30592, 14575, 26714, -22892, -26422, 8476, 2334, 19951, -3930, 16781, 25242, 23819, 15196, 2315],[27158, -9810, 16399, 30116, 17517, -8133, -29654, -10088, -9811, -4218, -16923, 17866, 7632, 22419, 831, -14730, 8353, 16090, -6669, 23850, 7601, 2683, -4848],[31884, 2553, 2368, 5369, 31303, 6549, -24831, -5660, 30452, 30310, -27435, 30857, -7457, 7527, -9787, -2089, 15288, -30901, 13177, 9081, 28350, 8949, -6850],[-31893, -30205, 15968, 14219, -6600, -29821, -12269, -27546, 3480, -9805, 10619, 534, -8073, -15344, 13917, 19974, 20890, 20788, 9340, -4201, -20981, 8032, 28032],[31759, -29139, -12290, 30674, 16516, -1472, 2587, -1576, -32602, -89, 8007, -28459, 4409, 3502, 6399, 16906, -32251, 24462, -27712, 12029, -25520, -31498, -7516],[-20126, -12701, -16520, -2661, -3912, 5472, 8135, -23747, -26981, 28424, 2547, -4277, -19610, 983, -7023, 22557, -8433, 26311, -2223, 10679, -15121, -5812, 16942],[30352, 25394, 20515, -16584, 19216, -19513, -16350, -26654, -6511, 27011, 17279, -4456, 32309, 17272, 10269, 6898, 11081, 2972, 12170, 19253, 9859, 27988, -7822],[-7611, -24778, -9350, 27838, 14335, 8459, -10012, 1930, 12726, -30858, -13351, -30901, -21771, -113, -27795, -9409, -28671, -13505, -31157, 15895, -29773, 1803, 24324],[683, 28015, 13901, -25757, -23104, 30018, 32393, 25517, -18677, 23632, 26093, 21200, 18194, -30092, 30644, -24286, -22084, 30661, -18446, 31279, -29937, 4735, -18011],[-31908, -3071, 4094, 3199, -31286, 18011, -19951, 20117, -5264, -25176, 8099, 29538, -25843, -9332, -26777, -29001, -8122, -7197, -14963, -15163, 12333, -30975, -2486],[3589, -6155, -29355, 20378, -17386, 14932, 7512, 18940, 2619, 26136, -11735, 9020, -11854, 28144, -16989, 10026, -21891, 1025, 4077, -1920, 19482, -14000, 21280],[1507, -18370, -18977, 15675, -5425, 17098, 10888, -17296, 30174, 13701, -26340, 1257, 30849, 20657, 17391, 15494, -20429, -7105, -15012, -26311, -28454, -6372, -31667],[-30550, -17951, -1125, 5004, 16879, 15203, -18520, 26367, 32703, -11667, -23699, -11487, 11119, 1645, 3707, 8232, -15266, 25806, -5075, -12093, -29318, -12196, -19444],[10796, -25611, 18607, -14452, -21317, 32565, -20722, -21444, -32358, 14219, 24833, -24066, -27313, -1031, 11331, -17903, 7881, 2517, -29476, -20981, -5110, -18543, 10708],[32660, -25858, -119, -8159, 27378, -12072, -6351, -14345, -16976, -8194, 21283, 10829, -17200, -14070, 7176, -26116, -25501, 10090, -24047, -27225, -20192, 8304, 13036]]"
values_19,23,21,"[[-18290, 1801, -13448, -5076, -12480, -21429, -24346, -2227, -15370, 22872, -257, 7559, 8760, 32641, 26987, 7070, 16753, -20796, -13864, 18033, -14165, 21450, -27611],[-4448, -10201, -9341, 3499, 28295, 32098, 5156, -5077, 31442, -31032, -32488, 30557, 8159, 6242, -6589, -23228, -26800, 6728, 23701, -6431, -9150, -16487, 18642],[11942, 11697, -9466, 12307, -511, 22412, -1482, -7488, -30065, 32252, -7347, -29109, 14303, -10647, 5873, 23081, 32670, 20461, -5376, 14945, 569, -29066, 29116],[29594, -16143, 4781, -10293, 28166, 10636, -1012, 2284, 16794, -10693, 19477, 25226, -17178, 9315, 25570, 13015, -26543, 18760, 17817, 10807, -9784, 9718, -23076],[30112, 6349, 3307, 31053, -13793, 1431, -17802, 17921, -5360, 3300, -31703, 20719, 28904, -3030, 16294, -28040, -27565, -9051, -12874, 26596, -6933, 8140, -4442],[-31698, -18182, -9681, -11481, -14385, 4075, -5204, 31166, 13989, -7043, -22305, 27486, -26418, -20310, -1843, -22403, 16911, -27237, -18894, -16126, -17884, 19341, 3184],[5865, 12815, 5451, -31768, -18447, 1167, -26997, 26458, 14727, 11433, -17294, 6503, -9062, -18908, -21995, -7838, -19610, 22535, 23455, -11445, -1605, -9234, -22454],[-4184, -4237, 21853, -26261, -230, -22850, -14842, 15778, 30631, 10941, -15544, -26023, -14875, 27515, -19580, -31837, -23028, -6794, 2292, 139, 21579, -27734, 29685],[-26580, -3117, 15605, -401, 10061, -14156, 30849, -10786, -32202, 7046, -6452, 17843, 13564, 10053, 23237, 14521, 26761, 12291, 24305, -2018, 20604, 17095, -9011],[27044, -18330, 22710, -7314, -2027, 25102, -2267, 12086, -14792, 935, 6578, 24283, -27060, -5583, 5367, -9780, 2365, -4344, -1168, 15701, 22336, -32616, 16452],[5697, -20692, 22553, 22992, 29747, 24204, -3277, 29255, 21045, 14108, -2799, -27951, -14161, 2647, -4097, -22516, 26045, -21478, 30498, -14226, -29480, 4868, 21675],[-25172, -25974, -20609, 24318, 1468, 8371, 15461, 27090, -16956, 1445, -32336, -31602, -2232, -971, -20448, -14756, 28910, -31348, 19155, -1040, 19369, -3513, 20664],[2438, 15015, 8109, -23244, -26337, -15805, -23042, 28715, -28583, 25665, 3882, -29406, 28469, -11302, 5608, 14872, 14130, 16347, -20670, -22250, 11463, 6808, -4453],[-7005, -21131, 17531, 10187, 13887, 10747, 24137, -3189, -23303, 22474, -25599, -3155, -18598, -29977, -15273, -29588, 19045, -23359, 12059, -20705, 29675, -9631, 1803],[16569, -31796, -32518, 9280, -1677, -32094, 6808, -22952, 27323, -22236, 5494, -13008, -29698, -6991, 11923, -17672, -13777, -25768, 4512, 17378, 2445, -12342, 9212],[-226, -20210, 28686, 60, -4709, 26630, -22722, 30777, 30482, -11894, 5117, 31933, -4662, 6233, 30709, 10820, -23065, -15663, -9557, 7097, -350, -28047, 15819],[-29258, -29251, -9203, 861, -5315, -22903, 17846, -28496, -25, 11903, -30098, -1889, -25654, -6133, -6052, 15474, 22682, 4087, 9920, 8124, -5234, 22463, 11284],[-16446, -22675, -375, -31474, -30792, -27404, -23903, 25638, -16819, 9777, 12616, 16909, 7213, 9010, 9583, 22876, -2470, 16689, -31802, -10118, -12959, -1025, -1527],[-17091, 25744, 27859, 32403, 23563, -20511, 17189, -15890, -3430, -7139, 25491, -28150, -5694, -8856, -17900, -15519, 10040, 21395, -12155, -13766, 1307, 28247, 21139],[28729, 25441, 4165, -1861, -31983, -30099, -29075, -11215, -16186, -159, -29589, -32668, -6059, -21452, -15989, -32476, -15553, 11019, 18080, 20332, 13567, -5816, 21389],[14995, 25940, 32505, -29458, -265, -11947, -3270, 17582, -20615, -10876, 13028, 21125, -13766, -29547, 32065, 4027, -9150, -29274, 23990, 12235, -10594, -16258, -1755],[-9266, 5065, 6331, -24753, -18158, -22273, 17457, -25565, -24884, -21383, 1745, 1380, -20431, -13304, -18740, 17428, 27452, 13845, -3558, 9567, 16162, -26422, 11064],[-5280, 25793, -26877, -8800, -4276, -28279, -28571, -193, -23512, 26387, 20291, -18050, 32241, -7044, -28120, 25583, 10317, 8946, 308, -32319, -30845, -20825, 7399]]"
values_12,23,155,"[[21169, -13584, 16544, -13520, 29809, 17677, 5177, -14862, -6636, 31410, 14857, -20839, 29866, 13788, 11094, -25433, 25894, 22430, -29209, -2255, 3959, 24842, -31752],[5253, -8104, 30774, -5072, -8311, -2717, 21580, -13952, -10903, 23667, 12421, -24660, 22356, -9040, 16681, -27010, -27580, 4564, -9684, 9949, 12083, -16069, 14665],[6239, 23195, -7387, 9685, -15371, -23039, 25325, -3270, -6039, -30077, 30975, -32000, 3530, -14502, 5658, -5472, -7688, 32541, 14001, -29839, 12203, 31747, 25656],[2743, -23023, 19605, -29833, -8390, -17515, -22878, -3570, 8403, -18447, 5132, -32748, -12803, 12573, -14963, -27571, -27813, -10415, 29921, -31891, -27011, -26902, -4643],[20220, -19282, -17019, 26109, 1812, -6816, -29882, 27492, -32405, 15501, -22973, -23490, 7175, 22357, 17343, 18353, 2674, -18626, 8756, 4559, -25844, 22878, -22281],[-5382, 10051, -20121, -10506, -8003, -1842, 10763, 502, 15114, -24602, 14270, -27476, 31266, 28381, -10911, 11480, 14390, 11036, -291, 29641, -28727, -11309, -1786],[-4394, -30940, -1693, 11536, 19893, 16517, -32626, -26613, 2210, -11857, -5796, 13711, 4522, -30192, -29193, 5378, 12301, -83, -22176, 2249, -7203, 5230, 29623],[-32428, 26329, -31354, 18177, 1099, 25097, 13332, 30128, 11356, -22139, 28495, -30310, -13109, 31548, 11094, -14610, -24310, -17799, 2863, -30432, 24114, 26556, -29686],[-28957, -23453, 23398, -17995, 7882, -24188, -6344, 10846, 19756, -21049, 5499, -13100, -1, -29699, 12245, -16809, 21294, -7466, 14496, -25965, 23461, 3718, 158],[31730, -17503, 16095, -32403, -3124, 8767, 20424, -30799, -30863, -15418, 13874, -8315, -28119, -15061, 25292, -32343, -7959, 1955, 9527, 29444, 26462, -5988, 28250],[-20327, -15817, -18329, -19008, -13399, -15346, -13338, 32331, 1315, 30404, -2597, -13415, 16672, -16168, -17803, 24700, -26276, 14975, 8165, -21684, -14552, -24558, 574],[-30887, 19680, 9168, -13453, -26771, -7977, -31471, 19608, -3168, 21497, -12381, -24848, -8663, 21525, -29635, -4877, -20653, -9242, 27911, -16313, 3312, 18783, -31234],[-27418, 3485, 25489, -21320, -6050, 30000, -19611, -2990, -5422, 4360, 2030, 1221, 15850, -15841, 22818, 11558, 13953, 1482, -31349, 7090, 16396, -29374, -12407],[-18465, 30442, -23405, -27599, -9861, -14525, -23740, -24784, -4715, 13420, -31829, 11480, 9108, 4840, 14490, 12468, 24876, -8417, 788, 5955, -23212, 28482, -27301],[9314, 27595, 13875, 16555, 6371, -24860, 16934, -15831, 3531, -3231, 23369, 24464, -27039, -27987, 4162, 4331, -294, -20539, 11592, 30296, -12025, -30939, -31474],[-2455, -5878, -14697, 31412, -3026, 28356, 2870, 21016, 22779, -30517, -4401, 22840, 17414, 3618, -22089, -30593, -7587, 20436, -10262, -23121, -7024, 1147, -10023],[-29901, 8647, -18345, 16740, -718, -11713, 10190, 7595, -18643, -275, 26884, 21624, 4919, -29489, 2935, 18404, -8266, -335, 32680, 23862, -18382, 28635, -11816],[-9482, -28235, -6426, -10393, 26049, 7828, -31606, 17209, -24451, -320, 15669, -15831, -24494, -7585, -24366, -11477, 32199, 19858, 599, 20288, 12972, 5441, -5471],[18743, -9952, -26502, 27018, 23660, -1593, 19496, 26189, -11632, -29572, 6813, -15452, 470, 8022, -3816, -24844, -8702, 21746, -9997, -24641, 8413, 9593, 26640],[-26077, -26497, 25805, -17161, -3853, 12125, -8455, 29068, -20588, -28865, -29954, -10242, -24515, 31766, -5108, 8370, 23779, -7964, 31157, -24440, -3134, -9969, 19320],[-7800, 9079, -14275, 24250, 26383, 24164, 24548, -13938, -26353, -1061, -14895, 30972, -5704, 17054, -2348, 23615, 15351, -21642, 32432, -32690, 20566, -30875, 24971],[-21962, -25026, -12530, -8388, 15003, -28867, 1700, 27959, -19794, -2963, -11651, -22267, -2862, 21248, 27155, -20635, 5622, -16681, 9749, -15583, -19311, -22739, -32448],[20088, 24473, 28605, -10272, 19068, -13403, -10820, -19632, -16863, 7998, -25703, -30529, -31237, -12511, -8407, 6396, 17932, 16860, -29463, 12421, -28987, 12936, 28084]]"
values_38,3,184,"[[3102, -166, -29680],[-32151, -17416, -20551],[-30780, -31680, -11931]]"
values_81,5,116,"[[-21, 20842, 28962, 17569, -16608],[-9896, 4924, 11345, -16395, 21668],[1265, -6618, -31288, -10344, 5727],[-29171, 21108, -18049, 18746, -25571],[-27567, 17640, -25483, 29075, -27796]]"
values_5,10,225,"[[-28279, -26913, 18821, -31497, 13060, 26922, 17413, 17610, -16037, -6884],[23174, 28745, 10038, 9071, 19896, -2081, -28340, -31945, -11893, 29731],[29821, 10194, 25798, 8407, -23405, 1391, -17188, 1276, -3103, 22586],[10286, -13883, -5010, -16259, -19748, 5955, -17736, -6427, 3255, 23995],[-13902, -20401, -19706, -32328, 25385, 15357, 11806, -12898, -15575, -9935],[6851, -8045, -32757, 15538, -2749, 12447, 6524, -15230, -18393, 5704],[-17927, 5511, 23562, -14151, 29300, -24441, -28387, -31442, -22843, 31212],[-18341, -27170, 7430, -26060, 30631, -11320, -17580, -18449, -9129, 21459],[-30060, -4624, 23064, -16091, -23411, 4963, 4950, -17967, -20327, -1191],[-31757, 23757, -13791, 23650, 20114, 26556, 6546, 5438, -26471, 18828]]"
values_40,3,140,"[[5366, 3692, 18523],[7413, 28067, 15397],[8819, 19931, 8582]]"
values_70,4,140,"[[-4395, -14709, 6900, 17527],[-2251, -12014, -20630, -1533],[-31547, 7231, -12336, -14912],[23470, -28995, 9909, 8754]]"
values_23,25,109,"[[12280, -13852, 89, -7049, -15473, -7520, 16211, -23603, 10620, 152, 13709, -11339, -17523, -25733, -12883, -10587, 19099, -23393, -25487, 9410, -6315, 21074, -23206, 2632, -30389],[-26592, -16473, -19856, 13187, 2745, 26373, -5827, 10418, -30398, -12217, 5186, -19217, -19887, 23965, 24476, -5105, 8452, -4740, 6757, 7927, -17576, -10065, 12137, 17688, 959],[-12827, -10216, -20839, 18087, -24448, 10249, 1072, 3147, 27033, -31267, -26566, -22759, 8173, -16142, 23417, 8517, -4577, -26121, -28886, 24570, -3449, -19759, -14826, -20664, 6948],[-10953, -10015, -13941, 15597, 28911, 9584, -20839, 7778, 32266, 5951, -13311, -28038, 19884, 4924, -441, -2258, -1715, -17484, 4542, 32292, 19653, -20535, 17759, -4822, -7611],[25026, 13412, 22810, -4564, -9390, -30269, -30902, 27542, -25879, -17244, -485, -28149, 25257, 16479, -685, -9622, 15464, 28550, 3700, 8187, -7951, -12402, -15861, -13615, 21639],[-9846, 2359, -15007, -24181, 1926, 3522, -28946, 22296, -22958, 13895, -27132, 19471, 23476, 32594, -17140, -28748, -32257, -25623, 4259, 15963, 20270, -28561, 12780, 1467, -20524],[-20186, -18293, -2903, 19356, 9002, 12647, 11988, -2039, -26162, 12531, -20083, -795, 16910, 7786, -8845, -31400, -25701, 2503, 29437, -7588, -25355, 29748, -17281, 29506, -24789],[27481, 12596, -11119, 21098, 12210, 18677, -15401, -12033, -25765, 31099, -18428, -24576, -10483, 30007, -471, -22216, -23845, 31949, 14401, 20963, -21765, 20473, 10238, -30518, -22174],[31752, -27251, -3612, -2653, 32558, 9663, 28452, -3445, 30217, 13903, -20276, -18427, -25192, -23283, -11210, 12242, 21000, 5352, -28923, -11326, -539, 3858, -13513, 15535, 17088],[-5466, -5292, -12475, -11826, 17848, -10979, 31170, 1349, -8176, 31305, -26552, -8558, 27367, -19613, 12665, 6768, -4071, 28082, 2046, -3647, -22256, 30902, 15501, -22421, -13127],[-8526, 6150, -13210, -19625, 28701, 17882, -13572, 28263, -26746, 10072, 14154, -16822, 13910, 12183, 32201, 27547, 11155, -15773, -30575, 23002, 26721, -11276, 30197, -24997, -19684],[9096, 6239, -30606, 29468, -2474, -14629, -31098, 1170, 11845, 699, -31948, 15645, -10927, 32029, -25115, -31156, -28691, 15512, -30113, -25586, -16885, -19218, -16990, -9780, -17893],[-25450, -21426, -4121, 12942, 17463, -12508, 20688, -7551, -10656, 22535, -1045, -12156, 29495, 19269, -29686, 16936, -10791, 23320, -32434, -23373, -11840, 4769, -26566, 18999, 11984],[30423, 17381, 2407, 4300, 14355, -13438, -2609, -18897, -22916, 25810, 10916, -10877, 26361, 5372, 5260, 20087, 3833, -31416, -24277, -13843, 22439, 6024, 13754, 2158, 7961],[6811, -8973, -25245, -30166, -20226, 32110, -7220, 28255, 9576, -30110, 22145, -23329, -29405, -31965, -26413, 8566, 21559, -31679, -1898, -32600, 27289, 2827, 16136, 29704, 23963],[-30606, 13872, -32055, 24740, -18985, -9017, 19470, -6341, -19634, -27831, 18747, -9145, 4259, -19482, 9899, 3835, 17741, 31057, -12452, -9440, 32651, -12213, -23778, 10338, 28341],[3894, 29510, 21228, 12765, 19708, 24878, -1089, -13406, 20021, -27733, -23779, 25684, -899, -15187, -12503, 21856, -14184, -22033, -25860, 27067, -3628, -4547, -165, 5660, -19836],[-8365, -19194, -3964, -26176, 7395, 2764, 2949, -6371, 26237, 15875, 28546, -6331, -6582, -25021, 27053, 30855, -25630, -23906, -30568, -28628, 22252, 30567, -14316, 17466, 24071],[-28290, 9536, 555, -21670, -3118, -26735, 19654, -2272, 24374, -13721, -22482, -18005, -6367, 15884, 25119, -3925, 4447, -32299, 16261, -22669, -28927, 11947, 23836, 3670, -30198],[-30826, -16667, -8049, 17374, -17652, 3503, -6180, -9295, -7941, -28503, 6106, 6113, -31229, 27561, -20576, 24899, -2271, -15172, 18994, 9142, 9065, -4399, 16830, 13043, 17368],[12101, -20306, -24417, -26424, -13372, -5796, 6773, 11072, 8909, 21826, 23135, 7266, 21756, 31603, -25789, 6642, -17604, 9836, 24318, 17181, -16541, 6555, -24635, -6999, 8518],[1310, 14020, 5697, 18588, 5115, -12391, 30898, 4890, -20657, 5246, 4625, -13261, -7632, -19089, 7653, -31456, 25762, -29112, 21694, -23743, -10122, 31180, 16033, 15515, 5443],[26518, -21585, -13628, 5008, 15209, 18851, 20395, -11492, 29466, -24000, 29318, -14473, 4498, 30361, 9345, -9028, -12988, 27349, -5050, 19819, -13561, 25082, 15962, -21409, -25477],[29974, -22521, 16496, 10068, 22814, -15223, -24074, 5480, 3776, 11059, 24519, 21485, 30843, -28709, -2200, 23286, 14596, -13309, -8220, 18854, 28578, -457, 12110, -15820, 10673],[-31812, 15395, -12167, 2936, 2432, 6136, 4785, 20806, -19028, -1159, -15658, -14321, -31655, -27552, 9659, 14583, 99, -10263, 28923, 14983, 2619, 9670, 3795, -17648, 21501]]"
values_72,4,155,"[[3834, -25898, -16415, -19217],[8099, -23604, 30155, 8883],[-12469, -15845, 2251, 27745],[3772, 873, 21915, 20481]]"
