inputName,n
11,30
19,30
12,30
38,25
81,6
5,25
40,28
70,25
23,13
72,25
79,25
78,25
87,6
6,25
68,28
69,28
1,25
45,28
33,25
15,30
93,24
24,13
25,13
26,13
48,28
71,25
76,25
7,25
50,9
22,13
4,25
32,25
77,25
91,24
42,28
13,30
41,28
55,9
31,25
66,28
65,28
62,28
21,13
95,24
84,6
58,9
64,28
83,6
94,24
0,25
99,24
96,24
67,28
61,28
43,28
2,25
54,9
30,25
59,9
85,6
74,25
90,24
18,30
52,9
44,28
17,30
36,25
49,28
86,6
37,25
56,9
63,28
35,25
97,24
75,25
57,9
88,6
10,30
53,9
8,25
39,25
47,28
60,28
89,6
51,9
14,30
28,13
16,30
34,25
82,6
46,28
27,13
20,13
9,25
92,24
3,25
98,24
29,13
80,6
73,25
