inputName,m,n
11,671821371865610330,5118897799230041211
19,671821371865610330,787956994516527735
12,671821371865610330,2074253949985261709
38,4550262904834170812,4753274977679640421
81,5400272651871564155,5118897799230041211
5,7365833650386902035,4365683847365450521
40,1455628313057589117,5253731119339461384
70,8256440410814763220,5253731119339461384
23,3362160301077893586,1916511136568759154
72,8256440410814763220,2074253949985261709
79,8256440410814763220,787956994516527735
78,8256440410814763220,4753274977679640421
87,5400272651871564155,1297559473438137251
6,7365833650386902035,5668679154476944998
68,6345905176023391317,4753274977679640421
69,6345905176023391317,787956994516527735
1,7365833650386902035,5118897799230041211
45,1455628313057589117,4365683847365450521
33,4550262904834170812,1916511136568759154
15,671821371865610330,4365683847365450521
93,6193993867535519519,1916511136568759154
24,3362160301077893586,3160564544620107213
25,3362160301077893586,4365683847365450521
26,3362160301077893586,5668679154476944998
48,1455628313057589117,4753274977679640421
71,8256440410814763220,5118897799230041211
76,8256440410814763220,5668679154476944998
7,7365833650386902035,1297559473438137251
50,3170487587677167669,5253731119339461384
22,3362160301077893586,2074253949985261709
4,7365833650386902035,3160564544620107213
32,4550262904834170812,2074253949985261709
77,8256440410814763220,1297559473438137251
91,6193993867535519519,5118897799230041211
42,1455628313057589117,2074253949985261709
13,671821371865610330,1916511136568759154
41,1455628313057589117,5118897799230041211
55,3170487587677167669,4365683847365450521
31,4550262904834170812,5118897799230041211
66,6345905176023391317,5668679154476944998
65,6345905176023391317,4365683847365450521
62,6345905176023391317,2074253949985261709
21,3362160301077893586,5118897799230041211
95,6193993867535519519,4365683847365450521
84,5400272651871564155,3160564544620107213
58,3170487587677167669,4753274977679640421
64,6345905176023391317,3160564544620107213
83,5400272651871564155,1916511136568759154
94,6193993867535519519,3160564544620107213
0,7365833650386902035,5253731119339461384
99,6193993867535519519,787956994516527735
96,6193993867535519519,5668679154476944998
67,6345905176023391317,1297559473438137251
61,6345905176023391317,5118897799230041211
43,1455628313057589117,1916511136568759154
2,7365833650386902035,2074253949985261709
54,3170487587677167669,3160564544620107213
30,4550262904834170812,5253731119339461384
59,3170487587677167669,787956994516527735
85,5400272651871564155,4365683847365450521
74,8256440410814763220,3160564544620107213
90,6193993867535519519,5253731119339461384
18,671821371865610330,4753274977679640421
52,3170487587677167669,2074253949985261709
44,1455628313057589117,3160564544620107213
17,671821371865610330,1297559473438137251
36,4550262904834170812,5668679154476944998
49,1455628313057589117,787956994516527735
86,5400272651871564155,5668679154476944998
37,4550262904834170812,1297559473438137251
56,3170487587677167669,5668679154476944998
63,6345905176023391317,1916511136568759154
35,4550262904834170812,4365683847365450521
97,6193993867535519519,1297559473438137251
75,8256440410814763220,4365683847365450521
57,3170487587677167669,1297559473438137251
88,5400272651871564155,4753274977679640421
10,671821371865610330,5253731119339461384
53,3170487587677167669,1916511136568759154
8,7365833650386902035,4753274977679640421
39,4550262904834170812,787956994516527735
47,1455628313057589117,1297559473438137251
60,6345905176023391317,5253731119339461384
89,5400272651871564155,787956994516527735
51,3170487587677167669,5118897799230041211
14,671821371865610330,3160564544620107213
28,3362160301077893586,4753274977679640421
16,671821371865610330,5668679154476944998
34,4550262904834170812,3160564544620107213
82,5400272651871564155,2074253949985261709
46,1455628313057589117,5668679154476944998
27,3362160301077893586,1297559473438137251
20,3362160301077893586,5253731119339461384
9,7365833650386902035,787956994516527735
92,6193993867535519519,2074253949985261709
3,7365833650386902035,1916511136568759154
98,6193993867535519519,4753274977679640421
29,3362160301077893586,787956994516527735
80,5400272651871564155,5253731119339461384
73,8256440410814763220,1916511136568759154
