inputName,size,a[size]
values_11,6,"{6478230396618093194, -7263901537281447369, -8694211290001526321, -1645332917713227947, -5212735090389911362, -4803818185291814503"
values_19,13,"{-4427784406673319008, 6470911325262036691, -9204968252518764755, 7283111593767401168, 3233650904974487951, -6160561821297494545, 132143310055291282, 1631113943479278743, -6610154289414510818, -4827640062140347789, -2615074540511207455, 7289887547109801752, -5763465785332722548"
values_12,13,"{8405817781850709475, -3453329315713359516, 4632896528379824552, 6266690546547919999, 3518268681154478766, 6475126228701365765, 1051753912264473905, 2324665036727935620, -1088322823100119058, -9020267202550491725, 3031813555106363263, -3822482779306023059, 8197265300620845381"
values_38,28,"{6748755459212898944, 6548458634435401492, 7156880710757287153, 7082225838660299864, 6015750602897007031, 1147911384832549819, -4409408655997471010, -1469424481964546909, 4103859593853825387, -8785884151675801749, -2597036293643303359, -7247911514316506061, -1614883082447934395, 5540778913520399072, 5216925718915372487, 5833431862969330226, -8279285838055768306, -2839175931655215589, 8333077036040061163, -1830267312768627904, 6919466671505122438, -4337026734485826839, -8557715102559944589, -3127831689368283002, 1709518291090417641, 8749616938233198901, 2405602688726911597, -1884701856363781932"
values_81,24,"{64915020115776503, 5845848884739752307, -4049817136703093944, 357785798466597353, 1593178032356596043, -5515153329315500949, -5607701855717753812, -8309736565610243936, 4728995850215381347, -7272744841400439982, -1411949275419475318, -9058427981305802161, 6978110473381211035, -1508323706604514283, -998047295135581705, -6039525829424113788, 3118473757004776829, 5214284267858628226, -1232338159477821997, -579042879794359887, -2686343636034856206, -3975739450095028536, -717650897931672395, 6215605001937823967"
values_5,28,"{-5353518907767747060, 7865181994497270212, -4821696811964587722, -1451950482513352687, -7554825805438054904, -5702089612029824333, 271981564650451796, -6180550272331088162, -7472601113202834492, -4839203634893375591, -5024385045728649073, 4908430499877792927, -4832467720428200296, 8500755755399966519, -8436916992946971591, -5284605499723072076, 4469137393242183985, 6955829014188608500, -1739521795695580754, -2335782692576207968, -1696603251183991830, 5183448596989744315, -1376531624971273088, -7497554108110804619, 7381180825852090128, 6966188652952787965, -7483033958607346441, 3005697374794121351"
values_40,31,"{-5671113818150133334, -2242094099104612232, 5675062655005032081, 5417854878152713097, -5767955979663081949, -3711380589521256356, 377605243553318331, -6301320935238933226, -2458250435771690895, 2147759785980835994, 6270323676858513093, 6613723467781611488, 7624829291369153698, 95225804385890454, 5455367090270647601, 3688424105790357114, -8056787071627736505, -182510831896157446, -91658725611824522, -9176800747294560306, -4002304007112659640, 8852414046375966645, -5266341769703978548, 6317893260122867624, 1677438427573962861, 2289860260861508484, 1099362216305809833, -1774096863173290044, -6781607761036205017, -4306391241795943643, -8375160133800453438"
values_70,20,"{7290053195655829322, -7651488718200377672, 5059155869173715570, 4594806058135736650, -1023517447203963910, 7011709423748178647, -7754216366795128685, 798545979231947319, -4411952887328790712, -7587677807661491056, -3594815903450233935, -4500433297044160539, 8226175281456248890, -4360300095797361697, -1964937064179471613, -2980017342151055909, 4085325799431601502, 2270267314235874504, -2231005981752629863, 7565161754345149882"
values_23,24,"{6402783178502316112, 1571747306377868206, 7670152005394814803, 4935285413034792545, 1354732217301577748, -7300038182514629429, -8275196101882899342, 3743307914836790825, 5986678206236283855, 4357253531248535194, 678829402053304012, 2648860534844191223, -2086001669528228800, 7835928829521052162, 2418293771550835400, -6544171960628175652, -287217185868848154, 3067877826885289800, 3884202325118537794, -2390783218179935309, 7618316046361561117, -5149633411147098043, 4090930575859670563, 529356218702634803"
values_72,24,"{1973925895704312983, 3118181454043381249, 2076837864686346030, 4575594217063498851, -3523472766405473765, 3624671830943852035, -8169042498143310719, -3200393335638521653, 5054311702633037381, 6110957368316839164, -2886888332742377433, -4476161276825386263, -4718791084732550371, -8327795362258286921, 8688764036317156774, 5617394274138286501, -3882788839752795195, -5389520880858597233, 1570167666287067391, 6728992421120226973, 1367712510002362971, 8002649471766505402, 904622990196244372, -9080163647136247574"
values_79,5,"{-6624466928401984022, -8437358853576888945, -4936675805006948138, 8808098593969438785, 3919813051037170525"
values_78,2,"{6270050006557565339, -4659986051574143704"
values_87,2,"{-932996441917852941, 8666193996003897542"
values_6,10,"{-3417712981219407939, 3967456521903114733, 3186921086624622847, -7761016683426273013, 1181538933776457639, 5323415055968058743, -1297812175537816117, -3715161284107280734, -6858994508199880101, -1863660655785480002"
values_68,25,"{8262687271499514323, 2663622401812388143, -2639638757565790744, 5782916293514445190, 6307710555439714584, -4116256359532016995, 6229191270545826037, 8138640526751613935, 4667979163359155162, 4850005994031467234, -6202561149520509551, 842208811548993413, 1444326155187356528, -993134640440031950, 3959915335086162660, -1793749756786422541, 4460905091393425055, 7795944665791033909, -8232683012088416447, 630494539762181251, 1646541918247066882, 435113800379552397, 8215512555239150583, -881023280201734517, 3897256898806818213"
values_69,9,"{-6636224701653068360, 7616749356880687711, 4625644502668220872, -6753190937235327666, -5627471687436663028, -4096767729408302161, -7639854317826944224, -1989841082133976423, 8029204641226045743"
values_1,4,"{8182387853151355234, -5510096054743358789, -3277032468795507170, -8118657064275230388"
values_45,20,"{-7800650239697447955, -802835524163495512, -3143262112364682563, 7707428026071860238, -4828445191492948480, -5739426558995535424, 5952228683100413931, 3927579586596399517, -1570631498259898274, 5672009135971175734, -7914293988405543483, -1252416407061785066, -3237753804941226027, -3276292373840117359, 589716018798309485, 6639018745853378551, -4579195249579802273, 1646303036455672460, 3596131898426949547, -5182331633245278783"
values_33,24,"{-7107662409323041959, -13430154493434154, 7521311742965148017, 5607039498640850357, 5878103759060978669, -5641031049080451489, 7343635387555792400, 2474313604239889790, 2696818991241619567, 2304857890070580039, -2303273723769490498, -2307782824792237835, 1443778174730126348, -9014673375971955533, -969923158709142838, -5709181613537627687, -9173099645996926020, -4357594892658185329, 646757192273545694, -3207897154776993422, -4486477755914395585, -7162994861109653248, -7455331784155979487, 847923575578295346"
values_15,22,"{5504545813342113462, 9153330598918035365, 7027614693254096006, 1011391826231536797, -6180320555469507324, 5035681414428268824, 1333072439211026425, 3948196393875355844, 5541365393794358274, 306281948152253368, 5928619125304309414, 1303670187957071370, 3614082884429500648, -1754916131067613670, -3547917659024312935, -7352042698918968762, -4644922098312423423, -6050972351504139947, -5259680123515222802, -4606335179646012529, -8582448802077190273, 6561816391438884340"
values_93,16,"{5415589356020617368, 8813152016178014171, -184553061173232748, 790036788897638762, 1069439106580097291, 8551331285006922840, 3420474160982331983, 2195899854114207811, -805627339752289400, 1808817375463436274, 5160288568148247490, -236346657264908750, -7160745280342802146, 4287189888872025164, 6867489913399165899, -2324608558849944735"
values_24,13,"{-3379290195951066188, 3395475523926572741, -3342885649092737388, -2281026025694378872, 1762345582179578453, -6617044359736553256, -929121080895427795, -170786545126265387, 3467241349436988819, 6466447251183223267, -2856638043043449134, -2003830447936273955, -2585702869590944170"
values_25,30,"{2856949243283316301, -7731417096986138117, -2376109113573956599, -2395140448629285041, -3660008455005354272, 1077133519116458257, -7873459273913013095, 1339074089712067705, -8170572764468575287, 5585025403604342237, -3536422291989381332, -8763827084338620098, 6077138217799761447, 2613003806215684897, 8110461413587265292, 7880918800250511774, -9011861510671949664, -3195430548341610299, 5999304572209946002, 5417885560629723867, -4840368409398410124, 4775162615319339011, 4307728494831691460, 5773958345351312238, -2952324610351288919, -8585960289475598462, -2688575365110203812, -4090868773371532229, -4453519244893659057, -1767486599361672669"
values_26,11,"{4387311636871822859, -8882090221017426085, 7990241519470616735, 1924418506416392187, -5391769816753826436, 3067567819413940262, 4047955602316571030, -6871971363302547349, 4497134739789292355, -2364007143328774861, 7132933358909237590"
values_48,7,"{778193476627992209, 4271492314560973112, 2072570251098289423, 3913164906779268409, 5640113023432346612, -1318711452919855332, 8033249759506286542"
values_71,31,"{3658942413003997809, 1357857082962059536, 9069332333311787274, 5170806335997410296, -2006357936111360469, -5232537606737621534, 202857220880667239, 5614129937654573133, -4081495072497404963, -5505830366417077777, -8256713148797244466, 5129368574579002710, -8642770278391697212, -8047935094628432851, 5300770667150063511, 6549916371971212765, 4700275101097195604, 9078001057147588517, 268647523274637668, -4730897896727443234, -937103422687089898, 1451496462049834158, -1826108016442251821, -7750304321870070737, 4422250867642175045, -6040061091671383289, 5369390054271945722, 7191732062257102900, -1143992950236812018, -8694934917882403769, 6182522790517680102"
values_76,6,"{-4554873055627958036, -7800945960364467331, 1311915431343012381, -8769991723352793635, -8914924727401380492, 7708032868811115723"
values_7,14,"{4160468687616915680, 4137334992748845829, 6278125191433452072, 8344421434371949401, -5568757342993999815, -1399299707400211057, 4160610430920415308, -145838616134373894, -3857582265765986598, 8259503116341449483, 8562653838967280127, -2979923584875020417, 725482349731139990, 1685500344897376320"
values_50,22,"{-7211818078194482351, 3821964151522539306, -780213446512159423, 3724049041376209140, -7842700430714659615, -5054579655966041223, -5782149062497196201, 5230228318379609572, 3172327568037529671, 7055040261849585546, -8915267125563164095, 2499031734497999156, -4195980929138038869, 4258958081027183805, 1499205635109643075, -2878195318325754507, 8127178172265760888, -5872976214188446428, -5070709061431910025, -1751521707223765488, 5569725981018897299, -1907014276870818170"
values_22,16,"{429776718447044361, -8495219313241080590, -4730966072616301665, 1244198205708590152, -2057618444069882353, -6752110352186559049, 8954070607693689688, -99781664768224147, -8683621388260527388, -1293296401054552217, -8826684811543832083, -4712917630907649464, -5163187070638856843, 4848874254671237711, 999625070612169187, -1855849186746019092"
values_4,24,"{4373096015848923251, 2822009581571162450, 6932632487838393439, 6221857338944511689, 1264958666140460409, -8965054494601722274, 5944490253332208605, 1853847460947463887, -5407120379853586377, 8908582360763587716, -4948567976289093707, 6103529979897965484, -5616351313905254863, -3793932288719599272, -1595031944028721858, 2972612818776842693, -4161151415404436666, -2587655209390948157, 8283266040715695085, 5602418812554910855, -3102463083813300246, -2715711413955215428, -2419447739124515702, -3447874834839706640"
values_32,19,"{-1184068593887023483, -8409541068017249524, 3675306127910031001, -1556388441823831639, -4833613716115251489, 7500529261260546189, -8701765783116472273, -6136401591659628868, -5681175068136975186, 2228608781963766253, -5255315028890905746, 6119665432687754229, 7874332707794751618, -3965969619424183041, 1718042472376748022, 4014982007833463982, -1646611734885515712, -6686520999999209394, 6599843454759880016"
values_77,27,"{-2577386455488740878, 1472414600073465534, -8812197773059889251, 3767802194348549410, 1897318321225343515, 6616838538975620233, 5897150834564011919, -6223366381690253961, -5214927843000327955, 1336225736639412729, -9085448866636853496, -1756790801471773561, -8861517198837500228, 1076359931810396876, -6031989866137613315, -750700384557404211, -5331464116219595204, -8349910370810828176, 5050386824229518645, 420999905132989514, -5133667489595070860, 5775336681451492803, 3066605463481322419, -5745810985204640167, -4327363921821679025, 776127101964457025, 4611500643781381809"
values_91,27,"{-8730870045960446495, 1541525014190900571, -2736031030718507934, -7452902626399417906, -6862251390158950270, 4893056091885976813, -8878553188046749833, -4805609871713614074, 8943576970537468206, -8040817761369014746, -4541279754004028649, -1282330189315098095, 1723153620856462306, -5577714126329026070, -7641485503489589398, -8287739247640894103, -7385397871158876914, 8887025662418370042, -1972102029754203121, -1067477441630203073, 2429972014102651679, -7303830112048429631, -1977822026429744625, 2728944014683975939, -7928377276979513423, -5692254435578350964, -4110435864713915974"
values_42,21,"{-5007849620328381061, -5735015970484708440, -6337518444769795455, -331822112338189800, 3033892618718255699, 7356118186117998815, -1509793006005266994, 8771749892137225629, 7052982256846710649, -2139819347196446117, 5269602441367930764, -7523349044434771409, -5361662114693870393, -4332434155985206637, -5015881491014862112, 695987491952491590, 6146965700151040349, 7339582465007286438, -2289594572369697353, 415429142637760859, 7417862042109595319"
values_13,18,"{6382496246830514016, -4786179960668318672, -8502354892400724541, -3731005720090996585, 7716476905160672890, 2445482538858940994, 8591818246181470924, -5114090833627128921, 8720222838823209504, 4360532212713677185, 2297406096241691849, -774830397595907013, -2406033795973940230, 108866237238958321, -893924771701458036, 5801417171370564120, 7726160992293200765, 569696816397745912"
values_41,4,"{7867329519793717836, -9078748836880612534, 2210959089000625794, -780032047029304832"
values_55,29,"{-70377073870556685, 7738582698424231085, 200347588256528852, 8065941842103645385, 2714114099345037854, -217340840503438045, 1541448194234967942, -8978702730189842583, -8235419375863318290, 8990285179092958939, -6991548812098934229, 8616109253330210809, 8355585673811098172, -3456102853442755250, 1871587726395744772, -6600964493309072337, 8625950346179128225, 7756048717611766148, 3885690340438591184, -1867357989349312525, 3224757209021428847, 6757598948668223659, 8129962227622939261, 3163200590885811162, -3225211527931289108, 8366281288073204675, -6173089907826524132, 5212246864844142011, 8621606015519924570"
values_31,11,"{1633801665522754255, -5518148827783009316, 2479885568150526313, 2199679774519343536, 8070763122405917371, 5294749705203837090, 8078231507257285492, 7800903313855804428, 3186146282559472101, 4324805528214427715, -4936423015755757445"
values_66,3,"{7332192611358410803, 2607192192475652075, 7708146095675234859"
values_65,27,"{-2190715710980451152, -658482985915711743, 4809060599612736642, -6201450894573883068, -6139800011141118806, -2324264195517162234, -5920911704699595255, -6219710183230544083, -4107799707648852799, -4731558658499163716, -907719824491535555, 2718398637664293501, -4667349574170489293, -8733000638641246479, -1436862595286382703, -7198221739030826593, -3589660765030373712, -934087583442236602, 6535373503117011541, 781312212652643935, 4815602561628634811, -6452619715396742740, -6916972211327070744, -7213972693416380767, 3003492904604255741, -3158074445098509018, -3892268693331926676"
values_62,13,"{9105736055302708455, -1581643601638888547, 8804549163053918649, 1832449145507094375, -4757681691437320700, 5743110376652593016, -1428059630328483626, 4362002365940323237, 325497523153368320, -7681330093312072907, -5067653219543308906, 5284301541140192854, -7864926435839431018"
values_21,31,"{5759547238494900456, 8689472810899292478, -6379124027698841904, -7537716658452912126, -5136102102775080613, -1723391080947058097, -5069097846961738289, -1316064899432252590, 2218975132991119056, 4887590168205072469, -8357051245046515522, -1716908810834555943, 6061193020748231850, -549210726721322745, -3768380187383351672, 2732799575969485679, 3758703220336106998, -4424373517172891603, 8685578418498510347, 5641179471547710855, -4857079605445954282, 6434449534294823023, -6811519419841550400, -4500408835287241049, 6507522857393162205, -139363118866366302, -5916997230719642740, -670359860302773183, -7308079077981383182, 3532854377678863783, 5668526580063737632"
values_95,26,"{2003315982244557634, -7278033799382865722, -6938639321743854058, 1345325389798454687, 1077334011243582406, -5649797457609728387, -4775922915332000808, -2668362188784697368, -7072465787442806922, -855202883129254452, 1585723260287124855, -3492739632354813322, 5848526520767726425, -3331679354740947197, 1804992690475818966, 2543905868796845788, -3889297602936569701, 188604461045827852, 1192917420798843557, -5828597963904785784, 5281156002356946051, 4780141381564023305, -3811124103490079655, 1096998793914979618, 3044046885362194959, -7312684704319481938"
values_84,5,"{-7457400779992776886, 1652314347531129953, -7395136198199738872, -3435568557636409, 8817702445746534529"
values_58,21,"{5979899162148027005, -4010279358343239959, 6002830987804411930, -2063017813738848591, -3713586462762180795, -2285472758734174145, 3325795636908540884, -7615455928321486253, -6708507984446054805, 1520872718900373117, -8340725980745038150, 147306455094340342, -487179379434049448, -3461947847413872040, -8321672087111206349, -2483991737880376809, 7497220583021458914, 1075898138459222092, -7828553666754456309, -1305997230477077702, -7018764230151143857"
values_64,23,"{-4115278606251468146, -1575208512825789573, 6670719945486830398, 4823824721867324782, 3835089619093022703, -4481099906106721113, -3556305017422195008, 7788753623077067558, 246203653231260937, -7563090753129972592, 5095370384940881479, -8633497742438907889, -1183879618162421311, 4893606968123744974, 2150450679260058101, 1090245056944275595, -6956740806121320532, 968220436038254120, -5241946631991848834, -9123013765534985917, -3748329117616041366, 1210464153190877547, -649724459456190630"
values_83,6,"{-6114562158442580291, 8823204959802452969, -6147567028556180700, -1649407827328048283, 1358315288074362570, 3470723431219774510"
values_94,22,"{-9124031658265605153, -8189314273579359928, -7193693901496946487, 4979562645988040907, 2486406295483096017, 1929093880230633961, 2367133036587915551, -5045275874939535785, -8495741078337285705, -6379743770235507066, -1682981340740102497, -37761039112579737, 8011218069517126669, 1643498422472423177, -5210356233658060600, -9043022906431292016, -3049150088160206823, -5311908656303449306, -5818229671372008250, -3092191292101251774, 4527463281538745112, -6320330550652552567"
