inputName,size,a[size]
values_11,21,"{2599, 11508, -13019, 1500, 22591, 19039, -32042, -8569, -4048, -29613, 5698, -2026, -27110, -21659, 1387, 16892, -11227, 32227, -24454, 29790, -9002"
values_19,9,"{28225, -22810, -17812, -27699, 10548, -20507, 17688, -25764, -31600"
values_12,29,"{28380, -17992, -16707, 29747, 32703, 11896, -2865, 7353, 1168, -16193, -27241, 32555, 11738, 12451, 28284, -18583, -23374, -22865, -31251, -8702, 8496, -30281, -19034, 9509, 26413, -11854, -25257, -18970, 27422"
values_38,11,"{-7599, 30302, -4313, -29025, -12475, -16220, 22455, 31993, 27081, -3892, -29654"
values_81,7,"{-29062, -19855, 6905, -11489, -10166, -32498, 7599"
values_5,16,"{-25048, 9876, -4813, 5692, -9764, -12719, -10580, -16974, -26549, 16674, 32660, 9885, -23917, 23415, -11563, 1003"
values_40,2,"{21559, 19158"
values_70,30,"{-1514, 1433, 31468, -27193, 4302, 1412, 5643, -12736, -9217, -10490, 7152, 25327, 4330, -11821, 7900, -26625, -80, 6560, 11378, -23492, 104, -4606, 88, -30071, -10644, -22722, 6303, -1705, -18761, 30096"
values_23,29,"{-7357, 32046, 11801, 3457, 29638, -19477, 21828, -12661, 7800, -4446, -24022, 32402, 16947, 28546, 9245, 4396, -16555, -9196, 14841, -24281, -27101, 18590, -23224, 5754, -4663, 29199, 6467, -30447, -8350"
values_72,24,"{-19521, -9795, -9392, 22301, 25630, 21616, 16086, 2887, 31433, -3391, 14821, -13393, 6455, 28305, -28193, -25628, 13918, 16286, -8733, 15647, -29452, -1947, 3578, -8367"
values_79,6,"{-20880, 9519, 8214, 8573, 24974, -25754"
values_78,32,"{4589, 1608, 20853, 16067, 7013, 2364, -30422, 8821, 25010, -13830, 19972, 1118, 27927, -20495, -23933, -24466, -352, -3805, -11242, -16868, -25330, 11487, 6614, 23989, 17612, 7927, -25221, -18981, -19986, 17208, -1679, 29962"
values_87,14,"{5615, -10024, -1969, -10230, -15943, -21858, 10800, -12367, -24200, -30516, 31301, 8079, 26949, 3952"
values_6,22,"{2943, -24000, -3958, -32438, 29294, 27768, 22797, 22108, 4441, 11626, -20274, 1817, -22318, 7225, 12727, -26434, -6657, 5679, 12931, -8052, 22174, 7014"
values_68,25,"{29735, -29467, 19287, -4115, -4875, -11037, -22575, 18356, -24446, 19635, 14773, -15299, -1817, -22909, 4699, -23095, 29898, 10947, -69, -26315, -13339, -16343, 47, -24908, -17112"
values_69,3,"{2748, -17959, 6249"
values_1,30,"{32444, -6378, 26486, 31185, -8083, -8050, -16062, 5540, -15870, 32414, 17695, -18754, -2899, 19995, -21827, 13457, -22428, -4247, -19621, 25103, 18426, -23003, -31611, 23081, 26022, 28874, 30730, 4319, -24953, -16845"
values_45,32,"{-6297, 22085, -714, -3015, -1688, -12985, -8264, 15976, -28923, 27676, 25816, -29339, -28833, 16861, -18952, 1010, 18856, -12485, -15274, 17057, -22122, 10956, 9879, 22822, 11127, 7048, -12914, -11893, -309, 7753, 23851, -8850"
values_33,20,"{-3778, 32157, 27989, 19030, -12996, -8912, -11608, 20685, -31025, -4448, 7195, 14663, -32759, -17648, -3331, -3494, 8095, -8078, -12084, 374"
values_15,20,"{398, 29484, 4181, -3505, -28496, -14111, -4623, -4046, -30743, -15676, -13049, 15889, 2190, 14208, -21397, -11884, 2866, -28652, -6123, -11134"
values_93,30,"{-9988, 450, 18429, -13447, -12506, -9592, 25310, 1909, 25443, -17979, -31342, 2379, 25090, 1351, -31052, 9819, -10874, -12253, -28503, 27663, -21970, -9337, 2411, 22888, 20727, -21757, -13261, 5901, 7524, -20975"
values_24,30,"{20474, 23695, 2333, -19875, -14165, 30435, -11621, 22134, 20667, 16767, -8128, -28480, -18929, 21519, -9015, 18652, 16740, -20193, -16565, 583, -19339, -27434, 21723, -22169, -29069, 13285, 2108, 19358, -507, -9773"
values_25,4,"{-16905, 3007, 17025, -24209"
values_26,12,"{24860, 22017, -7128, 8813, 17494, -10671, 8107, 30490, 9801, -7389, -16509, 23185"
values_48,15,"{186, 10873, -20523, 16179, 29031, 3306, -31919, 12154, 24930, 24019, -9183, -9063, 10716, 4025, -27909"
values_71,21,"{11630, -17552, -23965, -29512, -2944, 9475, 19180, -2425, 20390, -24309, 23676, 11556, -10434, -14937, 2359, -29581, -9206, 3410, -7950, -23166, -15369"
values_76,22,"{-21207, 24117, 754, -7209, 5268, -31208, 19396, -15730, -1967, 20437, 6163, 9593, 31186, -22139, 10340, -27816, 22427, -1752, 20754, -2659, -3739, -874"
values_7,24,"{15785, -12882, 4484, 20955, -14151, 7922, 20723, 12898, -4342, -23352, -11537, 13938, 25467, 26107, 6242, 31080, 17129, -17075, -12486, 10709, -19751, -8556, 27037, -27151"
values_50,20,"{-25213, -3870, -4487, -16175, 5202, 31838, 23, 17859, 18943, -16428, -32696, 20713, 20428, -28503, 14092, -31552, 17814, -15186, -4365, 22105"
values_22,5,"{32741, -9588, -13885, 31181, 9120"
values_4,5,"{6766, 6664, -8813, -12298, 8395"
values_32,18,"{2440, -18126, -29508, 27519, 20702, 7685, -26486, -27604, -28069, -24968, -1716, 27668, -7689, 19801, 17816, 5500, -29595, -5773"
values_77,5,"{-30411, -27994, 16633, 2914, 22646"
values_91,10,"{16309, -6035, -17223, -14000, 17579, -10371, -16969, 209, -5073, -28046"
values_42,4,"{7589, 8294, -9038, -21614"
values_13,8,"{-28568, 13927, 20185, -22892, 8448, -29030, 1061, -13555"
values_41,21,"{8828, 3755, 19860, 28664, -15051, 21020, 12964, -11275, 4413, -13990, -31470, -8992, -1200, 31318, 15011, -26725, 15260, 32385, 7151, 5299, -8753"
values_55,21,"{21937, 8194, -10471, -16881, -23116, 14135, -19684, -19414, -13970, 27844, 529, 26041, 1968, -10563, 12847, 8476, 27158, 15580, 1158, -18608, 28164"
