inputName,size
11,21
19,4
12,30
38,12
81,27
5,4
40,4
70,26
23,4
72,25
79,24
78,25
87,7
6,26
68,14
69,7
1,16
45,19
33,23
15,2
93,13
24,12
25,2
26,26
48,18
71,18
76,31
7,17
50,4
22,17
4,23
32,20
77,26
91,20
42,7
13,12
41,12
55,7
31,27
66,22
65,14
62,13
21,28
95,19
84,24
58,5
64,16
83,8
94,27
0,7
99,8
96,20
67,29
61,4
43,20
2,20
54,25
30,31
59,21
85,22
74,8
90,13
18,23
52,26
44,27
17,9
36,7
49,14
86,4
37,31
56,20
63,30
35,15
97,19
75,28
57,19
88,15
10,4
53,32
8,19
39,23
47,15
60,16
89,22
51,26
14,8
28,29
16,21
34,22
82,15
46,26
27,28
20,16
9,6
92,26
3,24
98,22
29,28
80,22
73,8
