inputName,goal
11,22
19,225
12,113
38,69
81,22
5,15
40,18
70,18
23,196
72,113
79,225
78,69
87,79
6,85
68,69
69,225
1,22
45,15
33,196
15,15
93,196
24,152
25,15
26,85
48,69
71,22
76,85
7,79
50,18
22,113
4,152
32,113
77,79
91,22
42,113
13,196
41,22
55,15
31,22
66,85
65,15
62,113
21,22
95,15
84,152
58,69
64,152
83,196
94,152
0,18
99,225
96,85
67,79
61,22
43,196
2,113
54,152
30,18
59,225
85,15
74,152
90,18
18,69
52,113
44,152
17,79
36,85
49,225
86,85
37,79
56,85
63,196
35,15
97,79
75,15
57,79
88,69
10,18
53,196
8,69
39,225
47,79
60,18
89,225
51,22
14,152
28,69
16,85
34,152
82,113
46,85
27,79
20,18
9,225
92,113
3,196
98,69
29,225
80,18
73,196
