inputName,n
11,19
19,19
12,19
38,7
81,18
5,19
40,14
70,26
23,26
72,26
79,26
78,26
87,18
6,19
68,5
69,5
1,19
45,14
33,7
15,19
93,29
24,26
25,26
26,26
48,14
71,26
76,26
7,19
50,10
22,26
4,19
32,7
77,26
91,29
42,14
13,19
41,14
55,10
31,7
66,5
65,5
62,5
21,26
95,29
84,18
58,10
64,5
83,18
94,29
0,19
99,29
96,29
67,5
61,5
43,14
2,19
54,10
30,7
59,10
85,18
74,26
90,29
18,19
52,10
44,14
17,19
36,7
49,14
86,18
37,7
56,10
63,5
35,7
97,29
75,26
57,10
88,18
10,19
53,10
8,19
39,7
47,14
60,5
89,18
51,10
14,19
28,26
16,19
34,7
82,18
46,14
27,26
20,26
9,19
92,29
3,19
98,29
29,26
80,18
73,26
