inputName,size
11,13
19,26
12,13
38,23
81,4
5,18
40,20
70,15
23,12
72,14
79,31
78,14
87,9
6,27
68,22
69,30
1,11
45,9
33,9
15,26
93,9
24,4
25,23
26,11
48,2
71,11
76,23
7,2
50,27
22,29
4,11
32,5
77,3
91,2
42,11
13,11
41,11
55,9
31,23
66,23
65,30
62,29
21,13
95,21
84,10
58,15
64,14
83,21
94,10
0,24
99,13
96,5
67,20
61,30
43,31
2,23
54,31
30,7
59,29
85,4
74,22
90,6
18,16
52,17
44,23
17,2
36,26
49,28
86,13
37,32
56,27
63,20
35,20
97,7
75,4
57,10
88,4
10,26
53,23
8,9
39,17
47,31
60,5
89,30
51,6
14,23
28,7
16,27
34,21
82,29
46,9
27,5
20,23
9,13
92,24
3,29
98,21
29,10
80,15
73,16
