inputName,size,available[size],allocated[size][size],max[size][size]
values_11,6,"{8792477418874576661, 7703754794740772356, 4025046652696165939, 7776612953548820226, 1253570158568278560, 622761838958562869","[[1766315572347642068, 8854768731063411640, 5066851910944087890, 4228586491166283636, 4605819805207750689, 7801322626320376130],[1609976223543288869, 1728838718402411453, 1404086676413515205, 921560509642020511, 8234377056805782316, 2306340804616469813],[7106244724765028162, 7221132400053308440, 5607843666567826830, 8994637449826742493, 7081959371839030023, 1561664726243587062],[8102803894949120359, 4080122678879692077, 6451740411708105117, 2941651613485443991, 5057605076258191421, 5492691183831350813],[7745600043071840179, 2982583978483839810, 1594612164192692422, 9207065412780018393, 3141850930231450885, 2578558924921453378],[4822022091437944478, 1598235837501268495, 4897803049531993791, 7230343710350346078, 506243858347965403, 570925906865644428]]","[[8016276459845902772, 6577771204740392516, 8547106348465184126, 3629551830681207820, 7348666977258318131, 1982238083696943373],[2687199154646626708, 8626789119915170454, 1956880704146492380, 1433531664297836417, 8346326785170954428, 2829446774731585184],[7813486707132377546, 761944130600535223, 689436387155647742, 8023627183600908610, 8907688804487728745, 7092782894553345051],[7239602434666405392, 4042037028688470416, 2051950524465211051, 1539043749062792229, 7820408125446865024, 6279754272559761330],[3980320574524332807, 2132631591478031115, 6017008938587418580, 1821379133616408588, 6858590248674108717, 2363138432326695129],[634997130342741243, 5912615789080353642, 6714342796279548732, 6297099774313225090, 7844387319428865044, 4664991426094572205]]"
values_19,6,"{6143614050418446947, 6438813375080471409, 344849274364186337, 7910790469961169388, 9189941181107806589, 5235849446054855837","[[6978826416876078340, 6465388382872862396, 6328334156819588802, 6969204340520743571, 7995627957547185140, 5809355476050566023],[4705336892887493857, 2189452905215958071, 334958581189789296, 313828551459783701, 2212410800139257595, 6633579064572939537],[5187892084942968471, 9036817429412114424, 2130759104534188814, 7440983947500876723, 6460421628256694711, 4142543313550031538],[659067222953830188, 3589964817473752134, 1215699671907713347, 758154887427099504, 2244685335288950040, 8164275491282268527],[5386737878051956282, 7269427542560401212, 1488611235474663117, 2344589552075899897, 4285717918423677614, 4938295370514372315],[2102124122704365029, 1634304215725119936, 9038187230610836532, 5843479512758487041, 8582561617525634030, 3697498066726979282]]","[[4691297844954461688, 9186267071957501087, 9121497339998818615, 3105119266778998231, 5066220028439922922, 2458995098995608342],[1524339384639701216, 2776687445061599934, 5478200721117689364, 8402825753478894218, 5389702194925412351, 3251762527186944282],[4776612090394666034, 8807003958787778604, 3109820611849140589, 7987833266692383363, 7599686574146920578, 5705848719673543396],[7828127932008349329, 8633723046584539346, 8230168350070310077, 1420003693576491943, 916544417584936342, 5720048756767399054],[8553063258325029772, 3652727542658866073, 4286177075296667310, 6532563358516372167, 2285246932664388692, 4047954996099276316],[8173996607210877158, 2311881558606095001, 1509792196957073830, 5919028382590911332, 5545493802669875084, 6341855752284799949]]"
values_12,9,"{5621681148729919793, 1468408432767393573, 1697113910618200620, 1101232195931378401, 3596355623822876740, 3861386635281626695, 336464138120943940, 3423516964508406736, 1172399475973576058","[[8313982347638525899, 5466795624926610971, 5123736316996938340, 893182307178425339, 2660013528584262586, 7600948686851388892, 1790622496547747288, 3408515862520926455, 1014284466992035871],[3581538905481177948, 2917384436409779063, 3101443802974177295, 4985468284232937200, 4485874320842335854, 6531995980236065529, 7360253204970296970, 4523030142377412267, 3786035928820507183],[9166150681020521901, 1634482959155669545, 4702055347463858714, 7057322066770760305, 7860099630750358364, 4300073637507671994, 2724466389625340660, 9077376876372221863, 1628227765138597393],[1120016265175781913, 6035713754883880218, 4922159273219319516, 85604384600347792, 2223944549896790630, 8217969946821412711, 3575147164124346283, 7873848605474330620, 4564987829449496561],[8669750634740441698, 7065987684164190265, 818283548755421775, 1513225430054926519, 8796137110218960702, 4647958312798126561, 238863820882132255, 2830849124992502518, 7023088253896484180],[3063775693366819636, 3427691542196094148, 2891149299179451085, 3422882498600199043, 4753793239685513351, 5196992057235386730, 2659772793165351961, 874100192037513502, 2895174358015570317],[5137195685800572367, 2928322891219135419, 3965522819438422160, 5543572792037927216, 3583640200154039248, 3310851927595323382, 8057914709354813038, 8558248151307890715, 5153053317533398157],[1700667855957790785, 4747323725391686630, 8852010105837615966, 581372312425431637, 158458769012226945, 6148794135403795196, 1897020061949486779, 3348350542208681575, 3426133108734148654],[6030247782708691062, 1706612454362319193, 1311598703283794543, 3982797780180286775, 3536017089537440475, 1484858201019907446, 5275656570839870018, 6364459517201154762, 3090560623611677331]]","[[9057341755566113235, 903074992981929848, 6647840959457179409, 1522881255633330518, 3496441827111741624, 4162683799464728806, 6964862061902764536, 815687380706552648, 4331985170887672198],[2606410516452255926, 2909921693219154547, 1966767140512056214, 8323908885808821028, 2584564734326073898, 3025018361953634445, 6488789627515588841, 101027522762076864, 8002330438484382125],[2349678098246109363, 7957103568822222835, 49146350666529816, 9181154164112803814, 8355695999625150109, 3833357702470664638, 1606682126996405941, 4905252860081385240, 7926854004086530446],[2732823340209373902, 9223238759030899416, 552562951877718162, 5055367617270564022, 4238437318892282756, 1240008151120619350, 5868251308263203442, 2507797128795162539, 3636559132373479657],[4008107199586098486, 8011326170297760610, 5521505656006203628, 5478295028824111922, 725593980643423473, 6361294129513425132, 1682047388217429411, 5822126403556793612, 6191558776681499544],[2982535096180013458, 8893072080770511140, 6045831821213058819, 4544903392160696640, 9073219547269534996, 2968644447674387475, 2113841433079165606, 2353301735984190398, 9162368754597719565],[2542476901146808143, 3740223079303459441, 3273948326995006773, 7640741404579393031, 4470727493089162203, 4001383750062907373, 5871019424163851870, 8948022348003566819, 4204058679277091336],[6493046163467569873, 8764353612027906316, 6263171500831262300, 8814254550471556288, 8711939020234385271, 2703911910804360138, 5742290992892564682, 7819947428533014832, 4694268562766904294],[7632316728043502195, 6622446804350580498, 6119549957024238536, 3487213850292746384, 7949932443559130630, 1014097920492684994, 8470624251936900778, 18910516405291589, 992979051391885273]]"
values_38,2,"{5515030221122165748, 5179191746956047590","[[8677739013735536133, 5106427841526624503],[1541364542573873069, 1909473126735418247]]","[[187958258515296565, 6380689004756095631],[228508027558201539, 3318922622812135685]]"
values_81,3,"{5976030654652015267, 7218986196320487428, 3921455723293792996","[[7050428275435829833, 2697144728967915314, 1837832007588464363],[4519207861745735016, 3877074409802614669, 3641230182106843348],[8849393700265375286, 7316346653120042220, 6607121250300473190]]","[[8618417497207297361, 4168864818607522573, 7817575165806045496],[5638118204938734182, 5191078051418998550, 1396646758885646594],[1461998277952658761, 4786108858341141402, 971808930429478147]]"
values_5,2,"{3897741751651266171, 1187370037978679129","[[457977134057677594, 8057714830645688412],[6741767608891729503, 1048992823456329301]]","[[7146221533209108985, 4642324553367692771],[2459630400226818266, 3231049705004524616]]"
values_40,4,"{4570317520855040637, 2676876240770624187, 4295942467589171300, 2954756923692194813","[[4315006543515739557, 6033704751086390668, 3478664426385108797, 5901370074313201003],[5979135069808106218, 801448405696059965, 2942970130969646899, 155722339480114840],[5028222855065594355, 4158909065090299207, 1502019284903725828, 3153945971659239845],[2136695239767565812, 4302523490258027773, 1475394413637290899, 7179546765532658906]]","[[1529089544832747090, 8476458042616693310, 6057404837061234568, 6834807265932061561],[8361244269288519275, 7304152458034998547, 9059587175698029002, 2669110200214458538],[2879424888966673415, 7472949376365461920, 2069486743119295989, 3766773655864455562],[5668889827395481070, 1136150313644434128, 5350544196196708378, 6299017389232167436]]"
values_70,2,"{242650361749100495, 5719860786200716385","[[7223782189612448937, 4275937354862207827],[8233186049357569525, 4285465456928274442]]","[[9053716979481377587, 5621135572461554946],[8887381284314194935, 2820345710385183846]]"
values_23,2,"{442989809331899374, 487377414325835996","[[2151137241923268267, 6625285781711490756],[8773374396458215844, 3131889086818455848]]","[[8960403629865954340, 6061876165503089576],[1488263203022794643, 3826168809864165224]]"
values_72,7,"{1055461372094728947, 3676164846598221223, 3063756403618374226, 2359745135035573523, 8736532131531567304, 3114803496731013298, 6358195555840200733","[[7252915644703640594, 2666251737891013709, 708764238919704091, 4514653212950371490, 6365579014717427645, 2051829358735870358, 8388463241468799933],[5070881066277126219, 7280318755848221114, 5571815178421632437, 8078236646622499634, 838400717107240526, 5517664370325579286, 7606053799275642912],[7648300193185124337, 8852459573344586141, 4430839614951536288, 2213004432941663457, 4894160364425868796, 5526273531684289491, 3608802290218067552],[6662739072770344659, 5186075610061130000, 8782111078024302797, 3771549508855691715, 5234914799327764714, 1419818201183950161, 6929056316712477851],[3963184179055096805, 3949335582480204463, 2862539644449312017, 238737620429227774, 4490144064687100321, 1603778752796178856, 6011850497960797384],[2809334490903896218, 4894685252602775277, 8411133092338082680, 6242777219569125616, 2484671596400442951, 5640166424531059705, 3552459105086061222],[993701353910064294, 5525192236586188692, 8560714486644030938, 1891961610757511333, 7636857295654016432, 3986300449531810322, 6538515666805872883]]","[[1286694598980785849, 6811231347275797146, 9166367453765436548, 8758699218741896684, 1164829344750108322, 6320609707079162405, 5636003612355420405],[5630159155205675492, 7191060923341149948, 6691527001726884862, 2595693177362978079, 3027435618642721123, 9160124245525663973, 6748263766411186905],[3931119835538212438, 5985459090730226203, 3767131493365270325, 5421957792164066010, 7251090062951952630, 923497268315227031, 1366494169581045125],[6462514887580293389, 2057490813369175346, 3985852486061875126, 449891786935992048, 1982742600431918142, 6274449301998823759, 1529195364659120595],[6729574941712695133, 3470325808964324828, 6601449356929270236, 7119051357078877653, 6002260710117217741, 8555969048484379964, 5188136772080978323],[8403983304994310525, 1607400535137973377, 3224153500073513773, 6805561609254520021, 8685010795878937442, 3443772696788329585, 8254798640477871487],[6575708737313450979, 8047512511743669709, 4564283518761622265, 2592731339040258794, 2088802804025341696, 2592480309078684393, 6649569720416451782]]"
